step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	count_0	Fmax
0	0	1.49159	8949.53	6191.13	2453.58	0	0	-11663.8	0	0	0
1000	1	2.47963	14877.8	157.38	2386.72	0	0	-11702.8	0	0	6144.29
2000	2	2.43974	14638.5	192.271	2435.21	0	0	-11865.9	0	0	6739.06
3000	3	2.41759	14505.5	176.309	2522.63	0	0	-11723.4	0	0	7188.46
4000	4	2.49107	14946.4	162.273	2373.94	0	0	-11817.4	0	0	6270.86
5000	5	2.47268	14836.1	155.758	2515.36	0	0	-11603.6	0	0	6419.03
6000	6	2.42934	14576	158.771	2460.24	0	0	-11489.7	0	0	6549.63
7000	7	2.48821	14929.2	149.32	2519.92	0	0	-11662.6	0	0	6592.79
8000	8	2.43858	14631.5	174.302	2389.27	0	0	-11411.9	0	0	6533.48
9000	9	2.4277	14566.2	165.268	2349.02	0	0	-11628	0	0	6249.83
10000	10	2.50843	15050.6	173.647	2413.87	0	0	-11445.8	0	0	7168.03
11000	11	2.46755	14805.3	169.93	2417.92	0	0	-11444.4	0	0	6354.02
12000	12	2.4679	14807.4	156.092	2390.37	0	0	-11577.2	0	0	6883.6
13000	13	2.4071	14442.6	162.763	2442.79	0	0	-11426.9	0	0	6172.31
14000	14	2.48105	14886.3	145.197	2516.42	0	0	-11616.3	0	0	7394.59
15000	15	2.45168	14710.1	157.549	2431.36	0	0	-11397.7	0	0	6480.57
16000	16	2.49105	14946.3	155.102	2511.5	0	0	-11371.5	0	0	6435.86
17000	17	2.50334	15020.1	153.411	2456.69	0	0	-11526.4	0	0	6248.24
18000	18	2.46273	14776.4	165.779	2448.3	0	0	-11442.9	0	0	6228.05
19000	19	2.50045	15002.7	185.188	2459.49	0	0	-11478.4	0	0	6161.51
20000	20	2.41167	14470	142.832	2504.46	0	0	-11369	0	0	6093.25
21000	21	2.49648	14978.9	150.481	2357.8	0	0	-11501.4	0	0	6157.74
22000	22	2.4749	14849.4	169.218	2389.75	0	0	-11512.2	0	0	6403.63
23000	23	2.49495	14969.7	194.831	2292.99	0	0	-11786.8	0	0	6852.14
24000	24	2.50715	15042.9	177.518	2327.54	0	0	-11493.4	0	0	6651.03
25000	25	2.50798	15047.9	165.352	2420.98	0	0	-11413.6	0	0	6745.73
26000	26	2.41839	14510.3	195.205	2384.88	0	0	-11472.1	0	0	6524.18
27000	27	2.43293	14597.6	181.262	2399.04	0	0	-11465.9	0	0	5974.01
28000	28	2.50342	15020.5	185.459	2390.44	0	0	-11465.7	0	0	6791.73
29000	29	2.49572	14974.3	160.19	2349.9	0	0	-11191.1	0	0	6310.95
30000	30	2.5483	15289.8	174.44	2464.51	0	0	-11336.5	0	0	6130
31000	31	2.46101	14766	186.566	2460.16	0	0	-11375.6	0	0	6717.3
32000	32	2.46563	14793.8	247.322	2534.11	0	0	-11320.4	0	0	6523.79
33000	33	2.48218	14893.1	169.221	2412.85	0	0	-11593.3	0	0	6603.03
34000	34	2.47856	14871.3	158.703	2490.03	0	0	-11603.1	0	0	6254.74
35000	35	2.53165	15189.9	199.279	2364.01	0	0	-11421.2	0	0	6357.96
36000	36	2.46795	14807.7	166.456	2504.19	0	0	-11237.2	0	0	6304.45
37000	37	2.38883	14333	172.101	2427.35	0	0	-11320.2	0	0	5792.74
38000	38	2.47753	14865.2	192.951	2567.2	0	0	-11727.5	0	0	6602.2
39000	39	2.51251	15075	157.653	2379.12	0	0	-11482.7	0	0	6101.48
40000	40	2.52467	15148	171.665	2398.49	0	0	-11506.3	0	0	7756.33
41000	41	2.48814	14928.8	158.78	2581.72	0	0	-11395.5	0	0	6000.52
42000	42	2.47373	14842.4	158.104	2576.29	0	0	-11314.9	0	0	6378.9
43000	43	2.4804	14882.4	194.446	2483.49	0	0	-11566.1	0	0	7066.4
44000	44	2.47806	14868.4	185.242	2513.12	0	0	-11462.1	0	0	6238.52
45000	45	2.46758	14805.5	203.862	2554.35	0	0	-11642.7	0	0	6680.87
46000	46	2.50826	15049.6	176.901	2538.43	0	0	-11843.8	0	0	7057.21
47000	47	2.5313	15187.8	167.4	2493.66	0	0	-11742.7	0	0	6685.5
48000	48	2.45921	14755.3	186.041	2433.16	0	0	-11595.9	0	0	7576.11
49000	49	2.48673	14920.4	178.014	2401.43	0	0	-11762.5	0	0	6575.03
50000	50	2.52454	15147.2	182.118	2318.25	0	0	-11505.9	0	0	6257.55
51000	51	2.47655	14859.3	157.279	2447.52	0	0	-11525.4	0	0	7090.83
52000	52	2.46387	14783.2	176.128	2397.58	0	0	-11640.9	0	0	6426.77
53000	53	2.46086	14765.1	169.749	2531.11	0	0	-11618.3	0	0	6739.5
54000	54	2.45435	14726.1	199.049	2344.81	0	0	-11696.1	0	0	6400.02
55000	55	2.47778	14866.7	172.62	2222.58	0	0	-11639.8	0	0	6366.8
56000	56	2.43803	14628.2	170.77	2482.75	0	0	-11575.8	0	0	6447.5
57000	57	2.47185	14831.1	210.834	2431.01	0	0	-11506.1	0	0	6461.35
58000	58	2.54066	15244	197.321	2532.76	0	0	-11600.5	0	0	6417.21
59000	59	2.52858	15171.5	200.913	2624.4	0	0	-11783.5	0	0	6701.3
60000	60	2.50092	15005.5	173.525	2497.82	0	0	-11428.9	0	0	7173.53
61000	61	2.5273	15163.8	170.159	2521.23	0	0	-11710	0	0	6666.7
62000	62	2.46851	14811	162.116	2454.75	0	0	-11842.2	0	0	6509.49
63000	63	2.47457	14847.4	147.048	2398.86	0	0	-11784.4	0	0	6211.06
64000	64	2.50187	15011.2	171.358	2437.78	0	0	-11731.2	0	0	6659.52
65000	65	2.53432	15205.9	169.432	2330.47	0	0	-11783	0	0	5903.59
66000	66	2.4794	14876.4	164.54	2503.86	0	0	-11898.6	0	0	6618.11
67000	67	2.49091	14945.4	189.361	2555.96	0	0	-11644.5	0	0	6234.62
68000	68	2.47021	14821.3	177.121	2382.82	0	0	-11411.4	0	0	6134.8
69000	69	2.48365	14901.9	162.731	2347.63	0	0	-11293.1	0	0	6264.74
70000	70	2.50464	15027.8	180.311	2458.16	0	0	-11548.5	0	0	6215.1
71000	71	2.47456	14847.4	164.861	2478.42	0	0	-11527.9	0	0	6425.58
72000	72	2.46959	14817.5	200.532	2506.25	0	0	-11513.5	0	0	6687.93
73000	73	2.50222	15013.3	215.323	2300.24	0	0	-11572.5	0	0	6200.84
74000	74	2.44416	14665	170.26	2519.48	0	0	-11366.8	0	0	6527.4
75000	75	2.46491	14789.5	152.831	2423.6	0	0	-11326.3	0	0	6921.75
76000	76	2.40506	14430.4	190.715	2415.02	0	0	-11351	0	0	6828.28
77000	77	2.46128	14767.7	194.866	2379.82	0	0	-11600.2	0	0	7189.12
78000	78	2.49708	14982.5	194.356	2609.83	0	0	-11569.2	0	0	6194.83
79000	79	2.48307	14898.4	173.596	2427.46	0	0	-11794.2	0	0	6601.71
80000	80	2.51719	15103.1	182.083	2419.59	0	0	-11627.9	0	0	6821.6
81000	81	2.49489	14969.4	178.257	2409.32	0	0	-11416.8	0	0	6818.74
82000	82	2.45992	14759.5	203.328	2439.62	0	0	-11614.9	0	0	6508.64
83000	83	2.46454	14787.3	167.09	2419.16	0	0	-11670.6	0	0	6147.6
84000	84	2.46667	14800	188.771	2372.02	0	0	-11529.2	0	0	6531.77
85000	85	2.51925	15115.5	196.85	2447.7	0	0	-11637.8	0	0	6330.42
86000	86	2.49883	14993	173.836	2416.74	0	0	-11589.8	0	0	7120.79
87000	87	2.52227	15133.6	170.421	2396.95	0	0	-11451.7	0	0	6699.37
88000	88	2.50204	15012.2	189.509	2288.84	0	0	-11313.3	0	0	6861.82
89000	89	2.42657	14559.4	205.43	2398.35	0	0	-11458.9	0	0	6546.81
90000	90	2.53822	15229.3	172.584	2385.23	0	0	-11445.9	0	0	6060.2
91000	91	2.46441	14786.4	158.476	2305.14	0	0	-11469.8	0	0	6657.29
92000	92	2.45534	14732	182.443	2666.34	0	0	-11735.6	0	0	6602.31
93000	93	2.44588	14675.3	196.246	2501.03	0	0	-11724.7	0	0	7102.18
94000	94	2.49024	14941.5	164.261	2495.84	0	0	-11729	0	0	8115.04
95000	95	2.45126	14707.6	183.416	2394.98	0	0	-11715.1	0	0	6529.12
96000	96	2.50167	15010	200.765	2630.05	0	0	-11529.6	0	0	6715.53
97000	97	2.41635	14498.1	198.942	2342.1	0	0	-11309	0	0	6216.96
98000	98	2.43883	14633	181.674	2583.6	0	0	-11438.1	0	0	6300.08
99000	99	2.46477	14788.6	166.791	2494.91	0	0	-11861.3	0	0	6229.18
100000	100	2.49806	14988.4	173.923	2523.32	0	0	-11791.7	0	0	6462.35
101000	101	2.46828	14809.7	159.383	2395.23	0	0	-11354.3	0	0	6551.93
102000	102	2.46841	14810.5	174.106	2448.4	0	0	-11455.3	0	0	6193.2
103000	103	2.48236	14894.1	181.125	2546.25	0	0	-11173	0	0	6423.1
104000	104	2.46899	14813.9	180.417	2411.3	0	0	-11177.5	0	0	6514.35
105000	105	2.42186	14531.1	189.391	2494.48	0	0	-11136.2	0	0	7270.47
106000	106	2.47685	14861.1	185.313	2427.02	0	0	-11728	0	0	6229.58
107000	107	2.48828	14929.7	180.387	2298.28	0	0	-11463.3	0	0	6289.5
108000	108	2.41241	14474.5	217.56	2457.44	0	0	-11845.4	0	0	6745.07
109000	109	2.45585	14735.1	145.556	2228.91	0	0	-11430.3	0	0	5947.95
110000	110	2.49141	14948.5	199.488	2510.94	0	0	-11374.3	0	0	6664.04
111000	111	2.45647	14738.8	178.059	2345.73	0	0	-11558.4	0	0	7251.53
112000	112	2.47292	14837.5	187.904	2510.36	0	0	-11445.9	0	0	6545.82
113000	113	2.46713	14802.8	213.929	2459.99	0	0	-11292.7	0	0	7719.23
114000	114	2.44112	14646.7	175.931	2667.89	0	0	-11405.2	0	0	6859.97
115000	115	2.45877	14752.6	175.186	2392.23	0	0	-11507.4	0	0	6935.2
116000	116	2.53241	15194.5	167.271	2386.15	0	0	-11741.5	0	0	6657.12
117000	117	2.5154	15092.4	166.717	2505.53	0	0	-11757.4	0	0	6538.39
118000	118	2.52975	15178.5	210.256	2521.39	0	0	-11562.1	0	0	6159.59
119000	119	2.50154	15009.2	208.897	2503.37	0	0	-11201.9	0	0	6456.5
120000	120	2.46738	14804.3	163.197	2426.01	0	0	-11288.4	0	0	6953.38
121000	121	2.49524	14971.4	187.317	2357.74	0	0	-11828.1	0	0	6371.52
122000	122	2.48281	14896.9	202.007	2443.49	0	0	-11815.7	0	0	6841.01
123000	123	2.52049	15122.9	168.916	2339	0	0	-11610	0	0	6679.81
124000	124	2.48675	14920.5	158.476	2286.73	0	0	-11797.4	0	0	6592.92
125000	125	2.46166	14770	159.152	2566.14	0	0	-11844.7	0	0	6280.96
126000	126	2.43413	14604.8	186.554	2356.52	0	0	-11499.3	0	0	7215.3
127000	127	2.46658	14799.5	204.697	2599.92	0	0	-11269.4	0	0	7523.48
128000	128	2.47507	14850.4	150.489	2403.41	0	0	-11404.2	0	0	6462.2
129000	129	2.43512	14610.7	192.174	2437.54	0	0	-11370.3	0	0	6378.85
130000	130	2.50325	15019.5	192.204	2543.79	0	0	-11315.2	0	0	7249.24
131000	131	2.47697	14861.8	169.348	2459.73	0	0	-11229.5	0	0	6836.05
132000	132	2.43172	14590.3	219.923	2428.66	0	0	-11395.1	0	0	6363.48
133000	133	2.50901	15054.1	205.473	2339.33	0	0	-11393.9	0	0	6414.28
134000	134	2.49465	14967.9	184.75	2419.25	0	0	-11695.2	0	0	6795.59
135000	135	2.48048	14882.9	158.353	2352.26	0	0	-11629.2	0	0	6218.62
136000	136	2.46938	14816.3	149.756	2480.78	0	0	-11737.6	0	0	6718.03
137000	137	2.49998	14999.9	214.392	2481.68	0	0	-11688.7	0	0	6099.96
138000	138	2.40131	14407.9	155.998	2404.87	0	0	-11337.6	0	0	6120.79
139000	139	2.46363	14781.8	139.731	2486.53	0	0	-11520.2	0	0	6941.7
140000	140	2.52509	15150.6	147.59	2541.59	0	0	-11420.6	0	0	7291.9
