step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
0	0	1.49159	8949.53	6191.13	2453.58	0	0	-11663.8	0	0	0	0
1000	1	2.51065	15063.9	147.045	2371.99	0	0	-11700.2	0	0	0	7000
2000	2	2.46439	14786.3	212.375	2329.1	0	0	-11823.2	0	0	0	7643.02
3000	3	2.49165	14949.9	225.016	2460.42	0	0	-11520.4	0	0	0	7000
4000	4	2.50146	15008.8	189.706	2512.12	0	0	-11412.1	0	0	0	7000
5000	5	2.5407	15244.2	173.541	2420.53	0	0	-11668.3	0	0	0	7000
6000	6	2.4505	14703	193.226	2405.31	0	0	-11906.6	0	0	0	7000
7000	7	2.42318	14539.1	166.161	2380.6	0	0	-11565.5	0	0	0	7000
8000	8	2.46863	14811.8	193.81	2411.56	0	0	-11424.9	0	0	0	7000
9000	9	2.44877	14692.6	177.537	2514.57	0	0	-11357.6	0	0	0	7726.1
10000	10	2.51371	15082.2	154.844	2447.35	0	0	-11392.9	0	0	0	7110.66
11000	11	2.47227	14833.6	194.772	2508.46	0	0	-11519.9	0	0	0	7857.63
12000	12	2.50172	15010.3	158.867	2550.53	0	0	-11380.6	0	0	0	7000
13000	13	2.51167	15070	162.124	2509.74	0	0	-11414.5	0	0	0	7000
14000	14	2.46608	14796.5	213.62	2467.95	0	0	-11717.5	0	0	0	7457.06
15000	15	2.4876	14925.6	202.306	2309.27	0	0	-11439	0	0	0	7000
16000	16	2.50165	15009.9	193.283	2409.55	0	0	-11716.5	0	0	0	7000
17000	17	2.49853	14991.2	162.015	2272.32	0	0	-11610.6	0	0	0	7000
18000	18	2.45902	14754.1	213.715	2336.85	0	0	-11641.5	0	0	0	7000
19000	19	2.39013	14340.8	251.267	2376.26	0	0	-11430.8	0	0	0	7408.37
20000	20	2.49028	14941.7	226.106	2532.17	0	0	-11430	0	0	0	7000
21000	21	2.44974	14698.5	169.772	2429.22	0	0	-11472.1	0	0	0	7040.32
