step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0
500	0.5	4.45309	26718.5	0	5295.61	4543.54	0	25759.3	0	0	0
1000	1	4.36749	26204.9	0	5138.86	4146.82	0	26032.4	0	0	0
1500	1.5	4.43049	26582.9	0	5154.4	4372.36	0	25632.7	0	0	0
2000	2	4.44704	26682.2	1736.18	5299.25	4400.36	9.86655	25516.5	0	0.002	4
2500	2.5	4.39881	26392.8	5.14235	5004.64	4505.44	6.01957	25370.5	0	0.002	4
3000	3	4.31916	25915	430.081	5265.45	4296.25	5.61079	25596.5	0	0.0025	5
3500	3.5	4.50372	27022.3	10.513	5430.83	4460.23	6.05101	25850.2	0	0.0025	5
4000	4	4.46948	26816.9	580.28	5019.64	4178.79	21.4716	25423.4	0	0.0035	7
4500	4.5	4.46551	26793.1	20.9463	5132.34	4370.61	15.7011	26009	0	0.0035	7
5000	5	4.37842	26270.5	450.645	5298.76	4412.19	7.28092	25750.4	0	0.004	8
5500	5.5	4.4395	26637	39.6477	5112.33	4671.94	10.5968	25632	0	0.004	8
6000	6	4.4742	26845.2	987.731	5565.49	4261.08	23.546	25434.9	0	0.0055	11
6500	6.5	4.3889	26333.4	25.505	5308.31	4426.54	18.4152	25527.9	0	0.0055	11
7000	7	4.34983	26099	1685.57	5328.41	4211.67	27.0344	25628.2	0	0.007	14
7500	7.5	4.38584	26315	59.5471	5056.19	4312.56	29.1034	25571.2	0	0.007	14
8000	8	4.46726	26803.6	1835.69	5037.96	4353.73	34.8768	25661	0	0.009	18
8500	8.5	4.45646	26738.8	42.7944	5219.28	4530.75	28.7433	25625.8	0	0.009	18
9000	9	4.42941	26576.5	924.704	5282.57	4382.63	27.0651	25597.9	0	0.01	20
9500	9.5	4.51032	27061.9	44.9247	5342.06	4143.13	41.5633	25515.3	0	0.01	20
10000	10	4.50115	27006.9	1845.4	5681.06	4463.62	52.5693	25679.2	0	0.0115	23
10500	10.5	4.35861	26151.7	79.3018	5227.35	4416.79	35.2583	25335.2	0	0.0115	23
11000	11	4.43017	26581	972.917	5129.56	4380.21	56.4254	25080.9	0	0.0125	25
11500	11.5	4.42659	26559.5	47.1491	5149.86	4567.37	40.747	25302.3	0	0.0125	25
12000	12	4.494	26964	1254.82	5529.87	4233.69	51.6909	25251.5	0	0.014	28
12500	12.5	4.51079	27064.8	63.343	5323.25	4310.97	28.5256	25314.9	0	0.014	28
13000	13	4.4766	26859.6	1041.1	5185.69	4350.61	55.8653	25330.4	0	0.015	30
13500	13.5	4.45985	26759.1	130.217	5203.56	4521.87	73.4334	25058.5	0	0.015	30
14000	14	4.37796	26267.7	239.134	5105.71	4384.72	58.484	25427.7	0	0.0155	31
14500	14.5	4.31472	25888.3	75.9217	5039.9	4445.02	63.5584	25374.7	0	0.0155	31
15000	15	4.29528	25771.7	729.751	5443.69	4488.02	42.154	25001.8	0	0.016	32
15500	15.5	4.46414	26784.9	82.2689	4980.96	4483.27	40.9515	25649	0	0.016	32
16000	16	4.30703	25842.2	2139.54	5495.41	4486.7	71.7954	25323.6	0	0.018	36
16500	16.5	4.38982	26338.9	53.9549	5223.24	4435.33	68.5776	25110.3	0	0.018	36
17000	17	4.44122	26647.3	1032.69	5505.13	4445.36	72.8297	24850.4	0	0.0195	39
17500	17.5	4.43106	26586.3	79.938	5484.87	4266.69	74.7485	24687.3	0	0.0195	39
18000	18	4.27024	25621.5	69.4592	5517.56	4432.13	69.0176	24819	0	0.0195	39
18500	18.5	4.40733	26444	69.9726	5454.85	4373.43	64.4783	25355.3	0	0.0195	39
19000	19	4.34671	26080.3	78.5049	5269.14	4381.86	69.0459	24830.1	0	0.0195	39
19500	19.5	4.44864	26691.8	56.5753	5218.52	4601.63	61.8149	24875.5	0	0.0195	39
20000	20	4.385	26310	401.676	5466.49	4550.49	110.797	25292.3	0	0.02	40
20500	20.5	4.43906	26634.4	58.4283	5140.38	4501.8	74.1206	24853.6	0	0.02	40
21000	21	4.44711	26682.7	94.2377	5404.71	4458.24	60.7024	24914.7	0	0.02	40
21500	21.5	4.42623	26557.4	93.7626	5205.36	4503.03	92.4597	24716	0	0.02	40
22000	22	4.63971	27838.2	1939.87	5331.16	4603.37	90.8798	25082.5	0	0.022	44
22500	22.5	4.43101	26586.1	94.4154	5415.67	4248.23	93.2998	24912.4	0	0.022	44
23000	23	4.36914	26214.8	101.505	4917.56	4428.74	91.0502	25289.5	0	0.022	44
23500	23.5	4.4064	26438.4	70.6226	5409.19	4796.75	78.9408	25096.1	0	0.022	44
24000	24	4.32407	25944.4	112.026	5476.22	4602.72	81.2112	24817.7	0	0.022	44
24500	24.5	4.48673	26920.4	104.366	5333.88	4626.99	73.8269	25308.4	0	0.022	44
25000	25	4.36484	26189.1	1405.8	5768.34	4711.71	97.0449	25007.3	0	0.0235	47
25500	25.5	4.47606	26856.4	94.1723	5346.13	4411.42	81.6626	24978.3	0	0.0235	47
26000	26	4.43971	26638.2	138.841	5398.38	4513.59	94.1168	24712.6	0	0.0235	47
26500	26.5	4.36063	26163.8	129.672	5270.56	4531.74	80.8528	25110.8	0	0.0235	47
27000	27	4.44876	26692.6	774.265	5301.39	4379.14	98.7417	24588.4	0	0.0245	49
27500	27.5	4.45039	26702.3	132.42	5408.53	4547.11	92.6428	24804.8	0	0.0245	49
28000	28	4.40444	26426.7	110.033	5227.33	4375.58	74.1923	24965.4	0	0.0245	49
28500	28.5	4.37599	26256	107.417	5281.85	4394.14	98.4931	25223.9	0	0.0245	49
29000	29	4.4656	26793.6	1536.01	5969.76	4333.54	82.3272	24990.7	0	0.026	52
29500	29.5	4.51808	27108.5	110.226	5676.23	4637.77	94.9681	24958.5	0	0.026	52
30000	30	4.4662	26797.2	2503.37	7537.81	4410.86	97.0271	25133.2	0	0.028	56
30500	30.5	4.44838	26690.3	119.775	5487.34	4372.52	107.889	24754.1	0	0.028	56
31000	31	4.49389	26963.4	88.6207	5423.49	4385.56	85.7913	24856.6	0	0.028	56
31500	31.5	4.48467	26908	96.5764	5311.44	4289.64	99.1938	24878.3	0	0.028	56
32000	32	4.34973	26098.4	600.58	5183.13	4455.69	99.879	24199.6	0	0.029	58
32500	32.5	4.40488	26429.3	118.63	5205.94	4408.28	113.908	24691.7	0	0.029	58
33000	33	4.39445	26366.7	736.535	5620.06	4416.67	148.205	24736.6	0	0.0305	61
33500	33.5	4.32006	25920.4	158.055	5344.03	4540.52	140.786	24815.2	0	0.0305	61
34000	34	4.44078	26644.7	128.934	5389.09	4396.66	107.039	24571.3	0	0.0305	61
34500	34.5	4.45744	26744.6	196.724	5017.56	4432.49	120.945	24721	0	0.0305	61
35000	35	4.44214	26652.9	636.819	5485.89	4403.75	123.107	24654.4	0	0.031	62
35500	35.5	4.3916	26349.6	148.041	5379.72	4385.84	117.119	24774.9	0	0.031	62
36000	36	4.46961	26817.7	527.85	5337.57	4357.96	116.852	24674.7	0	0.0315	63
