step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	0
1000	1	4.43824	26629.4	0	5337.15	4357.21	0	25358.5	0	0	0	7627.66
2000	2	4.47944	26876.6	0	5379.33	4706.05	0	25554.3	0	0	0	7683.42
3000	3	4.46477	26788.6	0	5435.48	4591.16	0	25367.1	0	0	0	7529.82
4000	4	4.31966	25918	0	5464.62	4465.5	0	25333.4	0	0	0	7685.02
5000	5	4.4158	26494.8	0	5250.59	4312.82	0	25292	0	0	0	7786.81
6000	6	4.36385	26183.1	0	5357.45	4287.91	0	25475.2	0	0	0	8145.56
7000	7	4.45121	26707.3	0	5022.6	4479.84	0	24982.9	0	0	0	7626.54
8000	8	4.44472	26668.3	0	5323.03	4331.27	0	25076.2	0	0	0	8045.96
9000	9	4.44613	26676.8	0	5167.8	4427.91	0	25613	0	0	0	8038.32
10000	10	4.42012	26520.7	0	5224.19	4488.98	0	25263.3	0	0	0	7979.6
11000	11	4.43895	26633.7	0	4776.61	4425.36	0	25297.6	0	0	0	7582.05
12000	12	4.42792	26567.5	0	5168.18	4530.54	0	25178.3	0	0	0	7937.37
13000	13	4.44048	26642.9	0	5240.49	4441.03	0	25912.2	0	0	0	7997.09
14000	14	4.38866	26331.9	0	4957.53	4366.73	0	26017.4	0	0	0	7975.97
15000	15	4.37728	26263.7	0	5243.58	4601.51	0	25653.7	0	0	0	7631.72
16000	16	4.49044	26942.7	0	5190.52	4413.25	0	25435.7	0	0	0	7635.38
17000	17	4.46855	26811.3	0	5344.51	4343.48	0	25560.3	0	0	0	7619.99
18000	18	4.47828	26869.7	0	5456.12	4454.24	0	25300.4	0	0	0	7524.43
19000	19	4.40512	26430.7	0	5213.22	4319.72	0	25070.8	0	0	0	7672.89
20000	20	4.34686	26081.2	0	5337.3	4325.12	0	25387.6	0	0	0	7518.37
21000	21	4.37471	26248.3	0	5195.86	4516.04	0	25730.4	0	0	0	8183.37
22000	22	4.41257	26475.4	0	4908.49	4314.62	0	25571.8	0	0	0	7799.87
23000	23	4.30197	25811.8	0	5191.38	4500.13	0	25593.4	0	0	0	8050.92
24000	24	4.4416	26649.6	0	5225.03	4433.8	0	25527.3	0	0	0	7753.62
25000	25	4.51502	27090.1	0	5287.53	4415.9	0	25093.1	0	0	0	8256.5
26000	26	4.38527	26311.6	0	5245.4	4368.11	0	25510.3	0	0	0	7909.86
27000	27	4.47444	26846.6	0	5532.58	4544.44	0	25693	0	0	0	7821.32
28000	28	4.36631	26197.9	0	5051.96	4388.54	0	25556.2	0	0	0	7658.59
29000	29	4.46166	26769.9	0	5344.09	4547.51	0	26057.3	0	0	0	8071.58
30000	30	4.49685	26981.1	0	5073.79	4486.11	0	25776.8	0	0	0	7647.78
31000	31	4.44439	26666.3	0	5262.87	4412.36	0	25705.4	0	0	0	8125.16
32000	32	4.44389	26663.3	0	5211.81	4320.44	0	25611.7	0	0	0	8280.57
33000	33	4.47503	26850.2	0	5256.32	4468.96	0	25416.9	0	0	0	7801.33
34000	34	4.47296	26837.8	0	5463.3	4399	0	25658.2	0	0	0	8039.06
35000	35	4.39961	26397.7	0	5430.62	4187.53	0	26144.2	0	0	0	8032.63
36000	36	4.40324	26419.5	0	5226.64	4376.01	0	25218.1	0	0	0	7631.22
37000	37	4.48658	26919.5	0	5058.48	4389.16	0	25188.5	0	0	0	7745.64
38000	38	4.43885	26633.1	0	5516.18	4481.32	0	25179.9	0	0	0	7362.31
39000	39	4.43498	26609.9	0	4970.59	4277.22	0	25155.4	0	0	0	7564.66
40000	40	4.48853	26931.2	0	5140.3	4133.3	0	25881.2	0	0	0	8123.76
41000	41	4.48452	26907.1	0	5137.09	4416	0	25494.1	0	0	0	7661.24
42000	42	4.44314	26658.8	0	5276.68	4426.9	0	25632	0	0	0	10492.6
43000	43	4.50302	27018.1	0	5181.24	4485.6	0	25462.9	0	0	0	8121.23
44000	44	4.39766	26386	0	5088.82	4045.65	0	25435.3	0	0	0	7719.04
45000	45	4.49969	26998.2	0	5198.88	4352.33	0	25486.7	0	0	0	11460.8
46000	46	4.43621	26617.2	0	5234.67	4440.31	0	25533.9	0	0	0	7939.98
47000	47	4.3855	26313	0	5118.48	4197.17	0	25463.1	0	0	0	8286.82
48000	48	4.46614	26796.8	0	5071.54	4378.58	0	25284.7	0	0	0	7827.06
49000	49	4.51471	27088.2	0	5087.61	4370.38	0	25769	0	0	0	7811.12
50000	50	4.37493	26249.6	0	5131.86	4484.55	0	25722.8	0	0	0	7475.89
51000	51	4.45461	26727.7	0	5249.3	4329.13	0	25399.1	0	0	0	7722.22
52000	52	4.53123	27187.4	0	5116.36	4420.68	0	25277.4	0	0	0	7796.96
53000	53	4.40645	26438.7	0	4879.93	4537.97	0	25198.5	0	0	0	7796.04
54000	54	4.38476	26308.6	0	5161.56	4430.99	0	25119.5	0	0	0	7858.73
55000	55	4.41858	26511.5	0	5380.73	4256.85	0	25157.9	0	0	0	8525.87
56000	56	4.50048	27002.9	0	5317.88	4152.35	0	25315.5	0	0	0	7932.4
57000	57	4.42566	26554	0	5432.59	4480.71	0	25455.8	0	0	0	8046.02
58000	58	4.46164	26769.9	0	5055.68	4656.07	0	25637.4	0	0	0	7509.89
59000	59	4.32956	25977.4	0	5135.68	4403.3	0	26004.4	0	0	0	8056.36
60000	60	4.45319	26719.1	0	5026.46	4548.97	0	25769.6	0	0	0	7776.66
61000	61	4.39598	26375.9	0	5017.44	4337.65	0	25620.5	0	0	0	7835.1
62000	62	4.52548	27152.9	0	5192	4405.88	0	25520	0	0	0	7658.38
63000	63	4.37409	26244.6	0	5030.58	4477.06	0	25488.1	0	0	0	8316.33
64000	64	4.50715	27042.9	0	5037.17	4477.89	0	25261.2	0	0	0	8362.24
65000	65	4.47371	26842.3	0	5137.6	4552.39	0	25514.7	0	0	0	7576.01
