step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	-nan
1000	1	4.44372	26662.3	0	5182.2	4351.22	0	25487	0	0	0	-nan
2000	2	4.42825	26569.5	0	5008.45	4380.94	0	25561.9	0	0	0	-nan
3000	3	4.52175	27130.5	0	5280.96	4311.32	0	25277.2	0	0	0	-nan
4000	4	4.39531	26371.9	0	4829.55	4409.61	0	25298.7	0	0	0	-nan
5000	5	4.56829	27409.7	0	5236.52	4535.26	0	25148.3	0	0	0	-nan
6000	6	4.40619	26437.1	0	5467.24	4256.44	0	25213.6	0	0	0	-nan
7000	7	4.44496	26669.8	0	5036.02	4599.43	0	25272.9	0	0	0	-nan
8000	8	4.37427	26245.6	0	4770.93	4749.02	0	25323.5	0	0	0	-nan
9000	9	4.42049	26523	0	5048.53	4429.89	0	25727.8	0	0	0	-nan
10000	10	4.38909	26334.5	0	5349.05	4530.98	0	25615.2	0	0	0	-nan
11000	11	4.46088	26765.3	0	5145.64	4305.16	0	25699.5	0	0	0	-nan
12000	12	4.37393	26243.6	0	5236.53	4418.29	0	25484.7	0	0	0	-nan
13000	13	4.47797	26867.8	0	4977.47	4534.42	0	25792.9	0	0	0	-nan
14000	14	4.36157	26169.4	0	5191.27	4495.43	0	25662.4	0	0	0	-nan
15000	15	4.41682	26500.9	0	5037.16	4339.27	0	25654.7	0	0	0	-nan
16000	16	4.50436	27026.1	0	5154.87	4500.5	0	26377.1	0	0	0	-nan
17000	17	4.37761	26265.7	0	5373.94	4556.43	0	25592.1	0	0	0	-nan
18000	18	4.41778	26506.7	0	5111.01	4463.65	0	25588.5	0	0	0	-nan
19000	19	4.52554	27153.2	0	5101.86	4501.87	0	25707.4	0	0	0	-nan
20000	20	4.36654	26199.2	0	5289.43	4733.19	0	25655.8	0	0	0	-nan
21000	21	4.50683	27041	0	5331.8	4380.68	0	25634.9	0	0	0	-nan
22000	22	4.56014	27360.8	0	5268.72	4222.44	0	25612.4	0	0	0	-nan
23000	23	4.40089	26405.3	0	5276.05	4038.64	0	25873	0	0	0	-nan
24000	24	4.50814	27048.8	0	5168.62	4813.32	0	25305.4	0	0	0	-nan
25000	25	4.42792	26567.5	0	5412.79	4449.24	0	25223.9	0	0	0	-nan
26000	26	4.43908	26634.5	0	5449.25	4439.85	0	25582.7	0	0	0	-nan
27000	27	4.41982	26518.9	0	5056.63	4493.67	0	25399.7	0	0	0	-nan
28000	28	4.42368	26542.1	0	5153.79	4282.7	0	25137.8	0	0	0	-nan
29000	29	4.45118	26707.1	0	5176.27	4329.91	0	25102.8	0	0	0	-nan
30000	30	4.47859	26871.6	0	5439.43	4454.66	0	25429.6	0	0	0	-nan
31000	31	4.46114	26766.9	0	5250.36	4293.78	0	25612	0	0	0	-nan
32000	32	4.39195	26351.7	0	4826.55	4623.87	0	25219.5	0	0	0	-nan
33000	33	4.37178	26230.7	0	5326.21	4443.36	0	25408	0	0	0	-nan
34000	34	4.41592	26495.5	0	5285.39	4333.87	0	25383.6	0	0	0	-nan
35000	35	4.39231	26353.8	0	5386.51	4146.98	0	26023.3	0	0	0	-nan
36000	36	4.40927	26455.6	0	5140.5	4391.78	0	25393.8	0	0	0	-nan
37000	37	4.38641	26318.4	0	5236.48	4387.8	0	25355.3	0	0	0	-nan
38000	38	4.37228	26233.7	0	5200.98	4271.51	0	25295.6	0	0	0	-nan
39000	39	4.42739	26564.3	0	5038.67	4236.68	0	25586	0	0	0	-nan
40000	40	4.51913	27114.8	0	5308.31	4518.82	0	25422.1	0	0	0	-nan
41000	41	4.46669	26800.1	0	5425.24	4479.68	0	25530	0	0	0	-nan
42000	42	4.41494	26489.6	0	5009.08	4621.45	0	25471	0	0	0	-nan
43000	43	4.41233	26474	0	4904.81	4624.33	0	25741.3	0	0	0	-nan
44000	44	4.44418	26665.1	0	5326.01	4505.15	0	25450.9	0	0	0	-nan
45000	45	4.56369	27382.1	0	5096.05	4490.62	0	25539.1	0	0	0	-nan
46000	46	4.52691	27161.5	0	5118.27	4414.1	0	25454.9	0	0	0	-nan
47000	47	4.38341	26300.5	0	4948.46	4096.25	0	25531.3	0	0	0	-nan
48000	48	4.43952	26637.1	0	5375.73	4502.33	0	25027.8	0	0	0	-nan
49000	49	4.4739	26843.4	0	5147.17	4422.54	0	25149.5	0	0	0	-nan
50000	50	4.46086	26765.1	0	5350.72	4276.42	0	25021.8	0	0	0	-nan
51000	51	4.51223	27073.4	0	5333.6	4355.72	0	25368.3	0	0	0	-nan
52000	52	4.38976	26338.6	0	5101.93	4450.25	0	25667.8	0	0	0	-nan
53000	53	4.372	26232	0	5428.28	4332.4	0	25615.6	0	0	0	-nan
54000	54	4.40949	26456.9	0	5335.8	4431.19	0	25833.3	0	0	0	-nan
55000	55	4.43018	26581.1	0	5030.28	4367.27	0	25880.2	0	0	0	-nan
56000	56	4.53212	27192.7	0	5351.5	4356.67	0	25891	0	0	0	-nan
57000	57	4.41071	26464.2	0	5225.38	4396.38	0	26047.7	0	0	0	-nan
58000	58	4.49918	26995.1	0	5396.88	4255.79	0	26021.1	0	0	0	-nan
59000	59	4.40287	26417.2	0	4757.06	4371.39	0	25932	0	0	0	-nan
60000	60	4.49548	26972.9	0	5139.1	4497.6	0	25829.7	0	0	0	-nan
61000	61	4.46713	26802.8	0	5395.77	4525.78	0	26076.9	0	0	0	-nan
62000	62	4.40864	26451.8	0	5295.65	4109.85	0	25906.5	0	0	0	-nan
63000	63	4.50644	27038.6	0	5110.98	4440.45	0	25902.9	0	0	0	-nan
64000	64	4.3659	26195.4	0	5522.22	4402.78	0	25828	0	0	0	-nan
65000	65	4.43222	26593.3	0	5259.21	4345.58	0	25876.6	0	0	0	-nan
66000	66	4.43869	26632.1	0	5384.58	4327.7	0	25355.1	0	0	0	-nan
67000	67	4.4051	26430.6	0	4905.7	4357.06	0	25845.6	0	0	0	-nan
68000	68	4.22327	25339.6	0	5008.42	4587.25	0	25737.6	0	0	0	-nan
69000	69	4.40648	26438.9	0	4973.51	4524.7	0	25634.8	0	0	0	-nan
70000	70	4.38774	26326.5	0	5291.79	4624.06	0	25454.8	0	0	0	-nan
71000	71	4.25036	25502.2	0	5349.86	4271.15	0	25821.9	0	0	0	-nan
72000	72	4.42242	26534.5	0	4929.57	4402.74	0	25677.8	0	0	0	-nan
73000	73	4.41956	26517.3	0	5420.33	4201.39	0	25672.4	0	0	0	-nan
74000	74	4.52265	27135.9	0	5180.95	4441.87	0	25594.7	0	0	0	-nan
75000	75	4.43826	26629.5	0	5183.55	4247.58	0	25928.2	0	0	0	-nan
76000	76	4.53701	27222.1	0	5356.88	4487.61	0	25544.2	0	0	0	-nan
77000	77	4.47247	26834.8	0	5022.22	4370.13	0	25396.7	0	0	0	-nan
78000	78	4.40739	26444.3	0	5114.77	4251.3	0	25753.6	0	0	0	-nan
79000	79	4.48289	26897.3	0	5140.81	4679.35	0	25758.9	0	0	0	-nan
80000	80	4.47506	26850.3	0	5089.52	4402.53	0	25954.3	0	0	0	-nan
81000	81	4.30527	25831.6	0	5305.76	4590.31	0	25771.9	0	0	0	-nan
82000	82	4.4614	26768.4	0	5007.49	4452.11	0	25790.8	0	0	0	-nan
83000	83	4.4434	26660.4	0	4819.76	4112.55	0	25920.6	0	0	0	-nan
84000	84	4.48383	26903	0	5306.84	4633.79	0	26142.8	0	0	0	-nan
85000	85	4.36907	26214.4	0	5070.76	4258.55	0	25598.1	0	0	0	-nan
86000	86	4.45011	26700.6	0	4978.07	4219.66	0	25662	0	0	0	-nan
87000	87	4.35696	26141.7	0	5093.3	4456.01	0	25451.8	0	0	0	-nan
88000	88	4.57454	27447.3	0	5115.82	4639.83	0	25379	0	0	0	-nan
89000	89	4.35398	26123.9	0	5267.7	4469.03	0	25354	0	0	0	-nan
90000	90	4.57142	27428.5	0	5232.76	4408.35	0	25498	0	0	0	-nan
91000	91	4.46374	26782.4	0	5201.82	4347.29	0	25020.8	0	0	0	-nan
92000	92	4.42082	26524.9	0	4931.96	4433.78	0	25370.1	0	0	0	-nan
93000	93	4.44992	26699.5	0	5057.87	4483.47	0	25604.4	0	0	0	-nan
94000	94	4.42656	26559.3	0	5205.39	4362.53	0	25470.5	0	0	0	-nan
95000	95	4.38522	26311.3	0	4911.75	4415.84	0	25595.8	0	0	0	-nan
96000	96	4.50768	27046.1	0	5087.97	4623.48	0	25595.4	0	0	0	-nan
97000	97	4.39019	26341.1	0	5533.38	4414.64	0	25372.2	0	0	0	-nan
98000	98	4.43545	26612.7	0	5183.17	4436.08	0	25359.4	0	0	0	-nan
99000	99	4.38486	26309.2	0	5160.34	4283.7	0	25507.3	0	0	0	-nan
100000	100	4.49058	26943.5	0	5329.76	4722.43	0	25601	0	0	0	-nan
101000	101	4.47439	26846.3	0	5094.2	4370.32	0	25689.4	0	0	0	-nan
102000	102	4.4663	26797.8	0	5248.83	4386.28	0	25407.3	0	0	0	-nan
