step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
0	0	0	0	0	5087.16	4467.66	0	15737.1	0	10063.7	0	0	-nan
1000	1	4.46845	26810.7	0	5229.08	4504.39	0	15457.5	0	10177.7	0	0	-nan
2000	2	4.42692	26561.5	0	5015.8	4503.02	0	15595.4	0	9681.5	0	0	-nan
3000	3	4.37886	26273.2	0	5175.6	4449.63	0	15721.5	0	9866.43	0	0	-nan
4000	4	4.44984	26699.1	0	5142.96	4347.79	0	15124.8	0	10253.5	0	0	-nan
5000	5	4.41775	26506.5	0	4850.79	4401.22	0	15415.3	0	10071.7	0	0	-nan
6000	6	4.34875	26092.5	0	5416.86	4389.13	0	15560.6	0	9581.52	0	0	-nan
7000	7	4.50775	27046.5	0	5418.15	4421.69	0	15636.2	0	9975.36	0	0	-nan
8000	8	4.44274	26656.4	0	5420.84	4152.3	0	15595.1	0	9839.99	0	0	-nan
9000	9	4.26703	25602.2	0	5066.38	4701.23	0	15541.7	0	9817.7	0	0	-nan
10000	10	4.41628	26497.7	0	5115.91	4619.42	0	15562.7	0	9682.26	0	0	-nan
11000	11	4.4112	26467.2	0	5154.04	4331.67	0	15779.4	0	9800.68	0	0	-nan
12000	12	4.42673	26560.4	0	5477.3	4241.5	0	16077.1	0	9822.86	0	0	-nan
13000	13	4.39915	26394.9	0	5022.13	4302.2	0	15502.3	0	9975.31	0	0	-nan
14000	14	4.48533	26912	0	4983.18	4569.32	0	15723.8	0	9887.26	0	0	-nan
15000	15	4.42383	26543	0	5131.91	4419.29	0	15507.3	0	9847.9	0	0	-nan
16000	16	4.45371	26722.3	0	5333.02	4822.02	0	15617.5	0	9957.12	0	0	-nan
17000	17	4.32132	25927.9	0	5000.1	4450.58	0	15722.4	0	9678.37	0	0	-nan
18000	18	4.42964	26577.9	0	5252.2	4302.63	0	15632.8	0	9692.66	0	0	-nan
19000	19	4.42843	26570.6	0	4973.78	4561.11	0	15739.5	0	9798.42	0	0	-nan
20000	20	4.36905	26214.3	0	5252.22	4469.97	0	15445.3	0	10081.1	0	0	-nan
21000	21	4.31887	25913.2	0	5073.7	4526.25	0	15530.9	0	9797.37	0	0	-nan
22000	22	4.42014	26520.8	0	4838.54	4877.47	0	15777.5	0	9809.39	0	0	-nan
23000	23	4.53881	27232.9	0	5283.86	4422.46	0	15535.4	0	9641.49	0	0	-nan
