step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0
1000	1	4.50005	27000.3	0	5288.38	4436.87	0	25804.8	0	0	0
2000	2	4.44125	26647.5	0	5375.17	4144.81	0	25651.4	0	0	0
3000	3	4.41249	26474.9	0	5309.02	4580.76	0	25611.4	0	0	0
4000	4	4.48559	26913.5	0	5167.94	4381.2	0	25832	0	0	0
5000	5	4.3944	26366.4	0	5049.2	4474.38	0	26006.9	0	0	0
6000	6	4.35175	26110.5	0	4904.93	4303.99	0	26211.7	0	0	0
7000	7	4.36986	26219.2	0	5081.93	4470.41	0	25634.1	0	0	0
8000	8	4.44668	26680.1	0	5042.74	4383.57	0	25641.6	0	0	0
9000	9	4.38235	26294.1	0	5262.28	4523.98	0	25289.8	0	0	0
10000	10	4.3566	26139.6	0	5192.51	4464.83	0	25763.2	0	0	0
11000	11	4.39977	26398.6	0	4972.95	4499.71	0	25244.1	0	0	0
12000	12	4.54034	27242	0	5366.73	4416.99	0	25484	0	0	0
13000	13	4.50661	27039.7	0	5476.26	4676.78	0	25635.2	0	0	0
14000	14	4.46634	26798.1	0	5147.12	4341.51	0	25713.9	0	0	0
15000	15	4.37385	26243.1	0	5222.82	4637.55	0	25633.4	0	0	0
16000	16	4.47971	26878.3	0	5103.02	4345.89	0	25600.5	0	0	0
17000	17	4.37549	26252.9	0	5082.14	4487.37	0	25983.8	0	0	0
18000	18	4.45988	26759.3	0	5081.23	4357.79	0	25686.5	0	0	0
19000	19	4.43437	26606.2	0	5378.33	4567.17	0	25616.6	0	0	0
20000	20	4.43122	26587.3	0	5162.5	4282.7	0	25594.6	0	0	0
21000	21	4.45493	26729.6	0	5338.45	4310.56	0	25737	0	0	0
22000	22	4.44933	26696	0	5278.31	4310.73	0	25886.3	0	0	0
23000	23	4.51472	27088.3	0	5081.86	4213.09	0	25678.6	0	0	0
24000	24	4.41091	26465.5	0	5166.28	4595.34	0	25456.4	0	0	0
25000	25	4.38148	26288.9	0	5221.21	4431.64	0	25515.7	0	0	0
26000	26	4.39401	26364.1	0	5302.72	4558.36	0	25481.9	0	0	0
27000	27	4.38175	26290.5	0	4979.75	4508.9	0	25776.2	0	0	0
28000	28	4.36625	26197.5	0	5134.53	4196.93	0	26011.9	0	0	0
29000	29	4.35054	26103.2	0	5167.62	4440.39	0	25668.5	0	0	0
30000	30	4.40114	26406.8	0	5106.32	4402.82	0	25889.9	0	0	0
31000	31	4.41523	26491.4	0	5175.96	4597.99	0	25752.7	0	0	0
32000	32	4.37112	26226.7	0	5376.03	4356.2	0	25751.2	0	0	0
33000	33	4.39173	26350.4	0	5150.99	4740.11	0	25797	0	0	0
34000	34	4.39762	26385.7	0	4996.32	4606.49	0	25474	0	0	0
35000	35	4.44909	26694.6	0	5273.49	4437.09	0	25956.3	0	0	0
36000	36	4.49149	26948.9	0	4841.89	4468.09	0	25844.3	0	0	0
37000	37	4.404	26424	0	5112.07	4522.48	0	25929.2	0	0	0
38000	38	4.50537	27032.2	0	5081.62	4269.82	0	25685.6	0	0	0
39000	39	4.40643	26438.6	0	5206.99	4413.43	0	25778.8	0	0	0
40000	40	4.4104	26462.4	0	5170.13	4442.98	0	25407.5	0	0	0
41000	41	4.47512	26850.7	0	5280.56	4497.95	0	25680.7	0	0	0
42000	42	4.34512	26070.7	0	5151.3	4652.16	0	25519.7	0	0	0
43000	43	4.47667	26860	0	4982.77	4408.81	0	25517.4	0	0	0
44000	44	4.29173	25750.4	0	5296.6	4384.42	0	25837.7	0	0	0
45000	45	4.40601	26436	0	5220.68	4627.15	0	25926.6	0	0	0
46000	46	4.50019	27001.1	0	5097.45	4469.92	0	25847	0	0	0
47000	47	4.4397	26638.2	0	5243.99	4690.97	0	26028	0	0	0
48000	48	4.42807	26568.4	0	5205.28	4559.41	0	25953.2	0	0	0
49000	49	4.40101	26406	0	5135.15	4348.07	0	25740.9	0	0	0
50000	50	4.40495	26429.7	0	5244.19	4190.75	0	25470.8	0	0	0
51000	51	4.44451	26667	0	5251.15	4367.42	0	25759.5	0	0	0
52000	52	4.48005	26880.3	0	5255.63	4453.93	0	25616.8	0	0	0
