# chidx ee rg n
0 1.5310 1.1010 44.0000
1 1.4120 0.9860 28.0000
2 0.2560 0.7880 20.0000
3 2.0330 1.2600 57.0000
4 2.8400 1.8720 144.0000
5 4.3200 2.5670 112.0000
6 0.8010 0.3310 5.0000
7 3.7570 1.9270 121.0000
8 1.3230 3.6360 199.0000
9 1.4320 1.1900 40.0000
10 1.8310 1.5880 83.0000
11 2.1290 1.1130 39.0000
12 2.7710 1.7530 100.0000
13 0.8040 1.1720 51.0000
14 0.2570 0.8640 24.0000
15 0.2570 0.4390 7.0000
16 1.7120 1.9420 92.0000
17 2.7230 1.5640 100.0000
18 1.6490 1.1710 49.0000
19 1.8140 2.8040 99.0000
20 1.4540 1.0720 37.0000
21 1.8480 1.1440 52.0000
22 2.3180 1.0050 36.0000
23 1.0480 1.1130 47.0000
24 1.2460 1.1420 55.0000
25 0.2570 0.4900 9.0000
26 0.2570 1.0090 32.0000
27 0.8060 1.1070 44.0000
28 0.8050 0.8750 23.0000
29 2.1310 1.1200 47.0000
30 1.8270 0.8350 24.0000
31 1.4510 1.0500 39.0000
32 0.8820 0.7080 15.0000
33 1.5560 1.0070 23.0000
34 1.0620 0.6700 17.0000
35 1.1000 0.6740 17.0000
36 0.8810 0.4340 7.0000
37 1.6830 1.0130 37.0000
38 1.2170 1.3430 47.0000
39 1.3620 0.5780 12.0000
40 1.6310 1.4900 72.0000
41 1.2180 1.0100 36.0000
42 1.5330 1.2810 53.0000
43 0.8060 0.6740 15.0000
44 1.3490 1.5990 111.0000
45 2.6300 1.2850 39.0000
46 0.8030 3.0500 167.0000
47 0.2570 0.3310 5.0000
48 1.6960 1.0580 37.0000
49 3.4160 1.4570 56.0000
50 0.8060 0.5850 13.0000
51 1.3550 0.8750 23.0000
52 1.2600 0.5980 13.0000
53 0.8150 0.5730 12.0000
54 2.4820 1.2260 60.0000
55 0.2570 0.5530 16.0000
56 2.7770 1.2930 48.0000
57 0.9860 0.5420 16.0000
58 0.2570 0.5510 11.0000
59 4.9740 1.9090 76.0000
60 2.1960 1.0870 36.0000
61 1.6400 1.4250 52.0000
62 0.8040 0.6650 16.0000
63 0.2570 0.8970 29.0000
64 0.2570 0.6740 15.0000
65 0.2570 0.7900 23.0000
66 2.6480 1.4830 47.0000
67 1.4810 0.7620 20.0000
68 1.0200 0.7540 19.0000
69 0.7770 0.3640 8.0000
70 1.0460 0.6080 12.0000
71 1.5100 0.8990 27.0000
72 2.6720 1.2270 63.0000
73 3.5650 1.9040 84.0000
74 0.8810 0.3030 4.0000
75 0.8810 0.4390 7.0000
76 0.2560 0.5820 13.0000
77 1.4600 0.8360 24.0000
78 0.8820 0.3030 4.0000
79 1.2830 0.8340 28.0000
80 0.2570 0.8290 19.0000
81 1.2130 1.1750 43.0000
82 0.2570 0.4360 7.0000
83 1.2850 0.9790 32.0000
84 0.8140 0.3320 5.0000
85 0.8120 0.6350 16.0000
86 0.2560 0.4530 8.0000
87 1.7330 1.0260 27.0000
88 1.5460 0.9290 28.0000
89 0.7790 0.3640 8.0000
90 0.8820 0.6840 15.0000
91 0.2560 0.4360 7.0000
92 0.2570 0.3310 5.0000
93 1.0370 0.4710 8.0000
94 0.2570 1.0630 40.0000
95 0.8110 0.6990 17.0000
96 0.8020 0.7240 17.0000
97 0.8820 0.3030 4.0000
98 0.2570 0.6840 24.0000
99 0.8810 0.3030 4.0000
100 0.8820 0.4600 8.0000
101 1.5940 0.7240 16.0000
102 1.0520 0.6580 16.0000
103 0.8050 0.5730 12.0000
104 1.0060 0.4580 8.0000
105 1.6660 0.6870 16.0000
106 1.4990 0.7390 20.0000
107 0.8010 0.4580 8.0000
108 1.0270 0.4610 8.0000
109 0.8810 0.5550 11.0000
110 0.2570 0.3640 8.0000
111 0.8010 0.3310 5.0000
112 0.8180 0.6110 12.0000
113 0.8810 0.4380 7.0000
114 0.2570 0.3030 4.0000
115 1.0030 0.4560 8.0000
