# chidx ee rg n
0 3.4150 2.3260 129.0000
1 0.2570 0.9430 27.0000
2 1.1670 0.8510 24.0000
3 2.6630 1.4610 60.0000
4 1.7390 1.8680 72.0000
5 3.2710 1.5790 83.0000
6 0.2570 0.9640 27.0000
7 1.6020 1.8360 73.0000
8 1.9290 1.0970 39.0000
9 1.4310 0.8980 24.0000
10 0.2570 1.2040 60.0000
11 2.1850 2.0030 92.0000
12 1.5520 1.3790 68.0000
13 0.8200 1.7220 60.0000
14 1.8270 1.2670 40.0000
15 3.0920 1.8730 116.0000
16 1.7780 1.2860 36.0000
17 1.7130 1.3590 37.0000
18 2.1770 1.4390 44.0000
19 0.8180 0.8160 20.0000
20 2.2840 1.9730 137.0000
21 1.0210 1.0240 41.0000
22 3.4860 1.9360 95.0000
23 0.2570 0.4440 7.0000
24 0.8080 1.1550 36.0000
25 2.4860 1.3980 87.0000
26 2.2820 1.3060 39.0000
27 1.5240 1.0270 39.0000
28 0.8820 0.3030 4.0000
29 5.1020 2.0120 64.0000
30 2.6970 1.0720 40.0000
31 0.8130 1.0280 51.0000
32 1.4100 1.0870 39.0000
33 0.2560 0.6580 12.0000
34 1.2940 1.0370 31.0000
35 3.4720 1.7960 115.0000
36 0.8110 0.7390 19.0000
37 3.0930 2.1470 76.0000
38 2.0250 1.4290 88.0000
39 1.6730 0.9450 27.0000
40 0.8050 1.2390 32.0000
41 2.2310 1.1420 41.0000
42 0.2570 0.7220 16.0000
43 0.2570 1.3700 44.0000
44 0.2570 0.5700 12.0000
45 2.0460 1.2000 40.0000
46 0.2560 0.5950 11.0000
47 1.2620 1.0970 36.0000
48 1.0380 0.6800 15.0000
49 0.2570 0.7660 17.0000
50 1.0330 0.9350 31.0000
51 0.2570 1.1380 31.0000
52 0.2570 0.6670 15.0000
53 0.2570 0.4650 8.0000
54 1.8060 0.8560 25.0000
55 3.0980 1.2610 40.0000
56 0.8120 0.4620 8.0000
57 0.8040 0.8170 20.0000
58 1.1980 1.2690 52.0000
59 1.4390 1.5770 84.0000
60 0.8060 0.8960 27.0000
61 1.9120 1.6500 55.0000
62 1.3100 0.4920 8.0000
63 1.0260 0.7690 19.0000
64 0.8180 0.9610 28.0000
65 1.0430 0.7840 24.0000
66 0.2570 0.7290 16.0000
67 0.2570 0.5880 12.0000
68 1.6800 1.6330 59.0000
69 1.0420 1.0210 25.0000
70 0.8820 0.5600 11.0000
71 2.8650 1.5390 43.0000
72 1.0310 0.8530 27.0000
73 0.2570 1.2270 36.0000
74 1.5590 0.7460 17.0000
75 0.2560 0.3030 4.0000
76 0.8050 0.9300 24.0000
77 0.8170 1.1280 37.0000
78 1.1940 1.4120 67.0000
79 1.1200 0.9920 33.0000
80 0.2570 1.0510 36.0000
81 0.8090 0.5840 12.0000
82 0.8220 1.0450 41.0000
83 0.8090 0.6110 12.0000
84 1.1190 0.4820 9.0000
85 1.8660 0.8940 20.0000
86 1.3220 0.9690 24.0000
87 1.1230 0.5850 11.0000
88 1.4240 0.9390 19.0000
89 1.3390 1.0390 43.0000
90 2.2170 1.4040 79.0000
91 1.2560 0.9590 31.0000
92 0.8810 0.3030 4.0000
93 0.8810 0.3030 4.0000
94 2.5470 1.4040 48.0000
95 0.2570 0.6250 12.0000
96 0.8130 0.3320 5.0000
97 2.4450 1.1610 39.0000
98 0.2570 0.3310 5.0000
99 0.2570 0.8630 20.0000
100 0.8100 0.9960 32.0000
101 0.2570 0.4600 8.0000
102 1.0240 0.9210 20.0000
103 0.8820 0.4370 7.0000
104 0.8810 0.4760 7.0000
105 1.3340 0.7150 16.0000
106 0.2560 0.5690 12.0000
107 0.2570 0.7070 19.0000
108 0.2570 0.3030 4.0000
109 0.8810 0.3030 4.0000
110 1.0910 0.5800 12.0000
