step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	231.739	5260.21	4145.55	0	0	25269.5	0
1000	1	4.37721	26263.3	253.14	4852.67	4174.44	0	0	25790.4	0
2000	2	4.32081	25924.9	241.387	5353.58	4125.26	0	0	25455.5	0
3000	3	4.4044	26426.4	240.439	5169.52	4274.93	0	0	25793.8	0
4000	4	4.37836	26270.1	241.922	5264.35	4303.23	0	0	25516.8	0
5000	5	4.49186	26951.2	240.896	5279.72	4388.83	0	0	25254	0
6000	6	4.42489	26549.4	245.18	5277.13	4667.31	0	0	25295.9	0
7000	7	4.37677	26260.6	249.092	5014.81	4495.55	0	0	25265.4	0
8000	8	4.44281	26656.9	242.869	5167.61	4893.12	0	0	25546.9	0
9000	9	4.50314	27018.8	248.508	5156.89	4499.72	0	0	25405.1	0
10000	10	4.42555	26553.3	243.967	5064.03	4327.86	0	0	25252.5	0
11000	11	4.40941	26456.5	240.496	5250.35	4543.2	0	0	25414.2	0
12000	12	4.39668	26380.1	245.737	5028.65	4346.47	0	0	25240.8	0
13000	13	4.4024	26414.4	251.357	5311.52	4638.98	0	0	25271.8	0
14000	14	4.50121	27007.3	254.415	4959.3	4457.86	0	0	25290.7	0
15000	15	4.43644	26618.6	244.136	5383.34	4330.33	0	0	25627.8	0
16000	16	4.37135	26228.1	253.011	4813.78	4335.94	0	0	25453.7	0
17000	17	4.404	26424	251.58	5333.5	4406.44	0	0	25463.1	0
18000	18	4.44291	26657.4	241.411	4998.89	4711.77	0	0	25444.3	0
19000	19	4.57713	27462.8	239.834	4976.83	4614.07	0	0	25498.2	0
20000	20	4.37781	26266.9	256.642	5137.19	4474.75	0	0	25342.3	0
21000	21	4.36495	26189.7	248.237	5331.36	4186.06	0	0	25610.3	0
22000	22	4.44454	26667.2	246.656	5186.44	4466.89	0	0	25389.5	0
23000	23	4.28165	25689.9	253.742	5134.45	4360.34	0	0	26124.3	0
24000	24	4.4143	26485.8	254.437	5249.22	4407.28	0	0	25963.1	0
25000	25	4.45682	26740.9	250.121	5540.52	4465.87	0	0	25362.2	0
26000	26	4.36048	26162.9	254.702	5311.31	4631.7	0	0	25176.1	0
27000	27	4.45806	26748.4	243.541	5011.36	4414.29	0	0	25371.9	0
28000	28	4.5332	27199.2	243.605	5124.14	4602.7	0	0	25874.5	0
29000	29	4.49466	26968	248.987	5283.78	4126.45	0	0	25667.5	0
30000	30	4.43628	26617.7	243.442	5144.5	4319.75	0	0	25321	0
31000	31	4.45292	26717.5	255.418	5244.12	4457.93	0	0	24946.1	0
32000	32	4.53672	27220.3	250.713	5110.65	4504.29	0	0	25706.9	0
33000	33	4.44786	26687.1	241.792	4935.78	4504.35	0	0	25574.6	0
34000	34	4.50967	27058	245.569	5171.58	4434.12	0	0	25203.7	0
35000	35	4.49978	26998.7	236.815	5159.92	4426.85	0	0	25067.5	0
36000	36	4.35626	26137.6	246.102	5093.16	4315.03	0	0	25352.5	0
37000	37	4.46154	26769.3	246.347	5089.3	4531.9	0	0	25611.4	0
38000	38	4.39658	26379.5	235.947	5111.02	4352.02	0	0	25429.9	0
39000	39	4.40482	26428.9	244.725	5148.55	4317.74	0	0	25401.5	0
40000	40	4.42764	26565.8	240.2	5171.37	4494.61	0	0	25490.7	0
41000	41	4.40694	26441.7	241.754	5337.58	4518.06	0	0	25632	0
42000	42	4.43203	26592.2	252.217	5429.02	4523.79	0	0	25307	0
43000	43	4.47023	26821.4	235.134	5303.37	4331.42	0	0	25341.6	0
44000	44	4.4197	26518.2	242.319	5277.21	4393.54	0	0	25356	0
45000	45	4.4006	26403.6	252.344	5024.05	4435.92	0	0	25629.5	0
46000	46	4.37216	26232.9	252.562	5071.69	4749.48	0	0	25592.8	0
47000	47	4.32666	25959.9	240.082	5356.57	4669.29	0	0	25482.8	0
48000	48	4.48224	26893.4	255.874	5179.12	4346.28	0	0	25924.2	0
49000	49	4.47239	26834.4	249.55	5047.37	4719.1	0	0	25913.3	0
50000	50	4.44095	26645.7	232.498	5244.18	4439.18	0	0	25854.4	0
51000	51	4.3886	26331.6	244.569	5124.99	4495.73	0	0	25552.2	0
52000	52	4.38968	26338.1	237.413	5232.48	4328.88	0	0	25733.9	0
53000	53	4.40357	26421.4	245.269	5114.18	4365.18	0	0	25692.1	0
54000	54	4.43229	26593.7	246.418	5250.19	4347.84	0	0	25398.9	0
55000	55	4.48077	26884.6	263.796	5255.58	4184.74	0	0	25648.8	0
56000	56	4.45475	26728.5	251.042	5257.68	4626.17	0	0	25182	0
57000	57	4.53774	27226.5	244.098	5214.91	4404.54	0	0	25241.7	0
58000	58	4.42587	26555.2	245.046	4950.06	4453.06	0	0	25205.5	0
59000	59	4.40989	26459.4	255.072	5454.03	4403.65	0	0	25517.2	0
60000	60	4.46189	26771.3	249.918	5364.54	4452.86	0	0	25584	0
61000	61	4.45104	26706.2	236.436	5184.02	4350.58	0	0	25483.5	0
62000	62	4.40094	26405.6	259.68	5253.39	4244.94	0	0	25567.7	0
63000	63	4.50818	27049.1	253.48	5171.53	4565.51	0	0	25603.6	0
64000	64	4.41337	26480.2	246.73	5192.31	4590.47	0	0	25746.9	0
65000	65	4.48537	26912.2	261.332	5206.85	4377.11	0	0	25543.8	0
