step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
0	0	0	0	0	5087.16	4467.66	0	25800.8	0	0	0	-nan
1000	1	4.51245	27074.7	0	4988.4	4194.42	0	25585	0	0	0	-nan
2000	2	4.49683	26981	0	5041.19	4424.59	0	25636.2	0	0	0	-nan
3000	3	4.48512	26910.7	0	4797.01	4549.33	0	25674.8	0	0	0	-nan
4000	4	4.43779	26626.7	0	5538.59	4416.1	0	25389.6	0	0	0	-nan
5000	5	4.44337	26660.2	0	5239.06	4482.4	0	25541	0	0	0	-nan
6000	6	4.39375	26362.5	0	4964.03	4609.39	0	25947.4	0	0	0	-nan
7000	7	4.53475	27208.5	0	5231.81	4602.73	0	25613.3	0	0	0	-nan
8000	8	4.45534	26732	0	5236.93	4524.31	0	25452.3	0	0	0	-nan
9000	9	4.43377	26602.6	0	5287.27	4464.34	0	25651.8	0	0	0	-nan
10000	10	4.42569	26554.1	0	5078.76	4546.53	0	25455	0	0	0	-nan
11000	11	4.43351	26601.1	0	5174.03	4546.42	0	25266.2	0	0	0	-nan
12000	12	4.47255	26835.3	0	5007.92	4272.39	0	25541.7	0	0	0	-nan
13000	13	4.46981	26818.9	0	5299.42	4297.84	0	25548.2	0	0	0	-nan
14000	14	4.50176	27010.5	0	4946.18	4429.16	0	25681.2	0	0	0	-nan
15000	15	4.45842	26750.5	0	5480.81	4185.5	0	25252.5	0	0	0	-nan
16000	16	4.45188	26711.3	0	5262.82	4347.06	0	25489.4	0	0	0	-nan
17000	17	4.44195	26651.7	0	5138.44	4496.66	0	25798.8	0	0	0	-nan
18000	18	4.53099	27186	0	5556.27	4445.22	0	25475	0	0	0	-nan
19000	19	4.39212	26352.7	0	5614.84	4443.68	0	25525.8	0	0	0	-nan
20000	20	4.47071	26824.3	0	5397.27	4330.09	0	25817.4	0	0	0	-nan
21000	21	4.38511	26310.7	0	5103.06	4636.49	0	25771	0	0	0	-nan
22000	22	4.44718	26683.1	0	5148.76	4384.36	0	25612.7	0	0	0	-nan
23000	23	4.38866	26332	0	5384.29	4335.17	0	25253.6	0	0	0	-nan
24000	24	4.46835	26810.1	0	5047.61	4662.76	0	25283.5	0	0	0	-nan
25000	25	4.54575	27274.5	0	5181.72	4442.67	0	25639.8	0	0	0	-nan
26000	26	4.44185	26651.1	0	4992.6	4341.17	0	25689.2	0	0	0	-nan
27000	27	4.44351	26661	0	5079.58	4519.23	0	25358.6	0	0	0	-nan
28000	28	4.41681	26500.8	0	5191.58	4496.28	0	25459.6	0	0	0	-nan
29000	29	4.51693	27101.6	0	5143.63	4381.46	0	25459	0	0	0	-nan
30000	30	4.37757	26265.4	0	5059.84	4465.13	0	25201.2	0	0	0	-nan
31000	31	4.41381	26482.9	0	5129.42	4433.45	0	25333.7	0	0	0	-nan
32000	32	4.41624	26497.4	0	5172.73	4361.17	0	25738.6	0	0	0	-nan
33000	33	4.46996	26819.7	0	5060.92	4497.83	0	25312.3	0	0	0	-nan
34000	34	4.49129	26947.7	0	5306.47	4838.49	0	25607.7	0	0	0	-nan
35000	35	4.46404	26784.2	0	5081.95	4297.94	0	25355.3	0	0	0	-nan
36000	36	4.51122	27067.3	0	5031.34	4304.9	0	25609	0	0	0	-nan
37000	37	4.46118	26767.1	0	4913.65	4479.67	0	25541.9	0	0	0	-nan
38000	38	4.38016	26281	0	5282.16	4247.05	0	25370.6	0	0	0	-nan
39000	39	4.4986	26991.6	0	5279.89	4393.4	0	25774.6	0	0	0	-nan
40000	40	4.3743	26245.8	0	5036	4557.11	0	25701	0	0	0	-nan
41000	41	4.51106	27066.3	0	5154.46	4429.76	0	25400	0	0	0	-nan
42000	42	4.39479	26368.7	0	5289.84	4543.21	0	25473.6	0	0	0	-nan
43000	43	4.42111	26526.7	0	5126.3	4260.35	0	25371.4	0	0	0	-nan
44000	44	4.50509	27030.5	0	5397.14	4308.1	0	25672.6	0	0	0	-nan
45000	45	4.30181	25810.8	0	5053.3	4260.37	0	25710	0	0	0	-nan
46000	46	4.36091	26165.5	0	5231.11	4489.6	0	25727.7	0	0	0	-nan
47000	47	4.33984	26039	0	5205.71	4326.75	0	25590.6	0	0	0	-nan
48000	48	4.42771	26566.3	0	5029.42	4404.23	0	24980.7	0	0	0	-nan
49000	49	4.54092	27245.5	0	5288.81	4419.19	0	25425.1	0	0	0	-nan
50000	50	4.45162	26709.7	0	5192.98	4149.12	0	25506.7	0	0	0	-nan
51000	51	4.4108	26464.8	0	5514.49	4536.86	0	25677.8	0	0	0	-nan
52000	52	4.34464	26067.8	0	5109.45	4380.41	0	25429.1	0	0	0	-nan
53000	53	4.40767	26446	0	5184.19	4464.65	0	25908.5	0	0	0	-nan
54000	54	4.37125	26227.5	0	5444.16	4276.37	0	25672.1	0	0	0	-nan
55000	55	4.39266	26355.9	0	5122.24	4332.34	0	25739.8	0	0	0	-nan
56000	56	4.3856	26313.6	0	5301.75	4339.74	0	25610	0	0	0	-nan
57000	57	4.41519	26491.1	0	5340.55	4421.62	0	25342.7	0	0	0	-nan
58000	58	4.42377	26542.6	0	5248.2	4352.83	0	25440.3	0	0	0	-nan
59000	59	4.48551	26913	0	5416.72	4426.34	0	25535.4	0	0	0	-nan
60000	60	4.41913	26514.8	0	5400.9	4591.56	0	25403.3	0	0	0	-nan
61000	61	4.46092	26765.5	0	5096.15	4312.08	0	25145.9	0	0	0	-nan
62000	62	4.41622	26497.3	0	5066.64	4194.69	0	25147.6	0	0	0	-nan
63000	63	4.46732	26803.9	0	4965.6	4526.11	0	25320.8	0	0	0	-nan
64000	64	4.39662	26379.7	0	5302.78	4478.86	0	25688.2	0	0	0	-nan
65000	65	4.43911	26634.7	0	5092.99	4343.35	0	25936.5	0	0	0	-nan
66000	66	4.44547	26672.8	0	5217.15	4457.72	0	25544.2	0	0	0	-nan
67000	67	4.37062	26223.7	0	5335.89	4248.57	0	25289.2	0	0	0	-nan
68000	68	4.45305	26718.3	0	5104.09	4452.1	0	25661.9	0	0	0	-nan
69000	69	4.48766	26926	0	5417.33	4486.38	0	25302.4	0	0	0	-nan
70000	70	4.50041	27002.5	0	5082.53	4246.61	0	25061.1	0	0	0	-nan
71000	71	4.3684	26210.4	0	5178.97	4340.25	0	25446	0	0	0	-nan
72000	72	4.28078	25684.7	0	5123.16	4253.28	0	25419.9	0	0	0	-nan
73000	73	4.37135	26228.1	0	5263.81	4299.46	0	25274.7	0	0	0	-nan
74000	74	4.33595	26015.7	0	5204.83	4166.22	0	25637.6	0	0	0	-nan
75000	75	4.41709	26502.6	0	5151.22	4647.76	0	25656.7	0	0	0	-nan
76000	76	4.38889	26333.4	0	5191.98	4437.1	0	25453.8	0	0	0	-nan
77000	77	4.47107	26826.4	0	4979.78	4315.63	0	25944.7	0	0	0	-nan
78000	78	4.40135	26408.1	0	4974.57	4452.67	0	25448.4	0	0	0	-nan
79000	79	4.41329	26479.7	0	5248.26	4623.87	0	25507.8	0	0	0	-nan
80000	80	4.44292	26657.5	0	5359.63	4442.23	0	25863.7	0	0	0	-nan
81000	81	4.46272	26776.3	0	5143.43	4423.76	0	25403.4	0	0	0	-nan
82000	82	4.41942	26516.5	0	5327	4353.96	0	25710.8	0	0	0	-nan
83000	83	4.42681	26560.9	0	5238.78	4406.19	0	25627.8	0	0	0	-nan
84000	84	4.44877	26692.6	0	5238.18	4478.24	0	25391.3	0	0	0	-nan
85000	85	4.37191	26231.5	0	5398.73	4535	0	25880.7	0	0	0	-nan
86000	86	4.44295	26657.7	0	5055.11	4249.38	0	25720.6	0	0	0	-nan
87000	87	4.36163	26169.8	0	5193.19	4343.75	0	25685.3	0	0	0	-nan
88000	88	4.44678	26680.7	0	5354.38	4313.33	0	25416	0	0	0	-nan
89000	89	4.43403	26604.2	0	5193.6	4452.81	0	25393.5	0	0	0	-nan
90000	90	4.49492	26969.5	0	5294.26	4513.03	0	25506	0	0	0	-nan
91000	91	4.41479	26488.7	0	5100.43	4577.23	0	25656	0	0	0	-nan
92000	92	4.40755	26445.3	0	5157.97	4632.73	0	25532.5	0	0	0	-nan
93000	93	4.51092	27065.5	0	5016.49	4613.74	0	25842.7	0	0	0	-nan
94000	94	4.38189	26291.4	0	5212.93	4447.41	0	25551.6	0	0	0	-nan
95000	95	4.41414	26484.8	0	5123.65	4432.99	0	25418.2	0	0	0	-nan
96000	96	4.42713	26562.8	0	5035.39	4489.36	0	25381.2	0	0	0	-nan
97000	97	4.42552	26553.1	0	5038.37	4587.45	0	25471.4	0	0	0	-nan
98000	98	4.51315	27078.9	0	5216.29	4145.27	0	25510.6	0	0	0	-nan
99000	99	4.49003	26940.2	0	5541.76	4595.88	0	25534.6	0	0	0	-nan
100000	100	4.39051	26343.1	0	5072.39	4782.38	0	25331	0	0	0	-nan
101000	101	4.45872	26752.3	0	5129.81	4589.48	0	25301.5	0	0	0	-nan
102000	102	4.4079	26447.4	0	5472.44	4293.05	0	25691.8	0	0	0	-nan
103000	103	4.4439	26663.4	0	5139.11	4545.23	0	25744.4	0	0	0	-nan
104000	104	4.42065	26523.9	0	5123.89	4333.49	0	25450.6	0	0	0	-nan
105000	105	4.42342	26540.5	0	5168.37	4442.26	0	25673.2	0	0	0	-nan
106000	106	4.33848	26030.9	0	5487.38	4346.88	0	25631.2	0	0	0	-nan
107000	107	4.43778	26626.7	0	5275.27	4398.64	0	25565.7	0	0	0	-nan
108000	108	4.44276	26656.6	0	5246.85	4395.9	0	25443.1	0	0	0	-nan
109000	109	4.44289	26657.3	0	5013.93	4235.43	0	26106.1	0	0	0	-nan
110000	110	4.42115	26526.9	0	5358.91	4339.35	0	25924	0	0	0	-nan
111000	111	4.4519	26711.4	0	5521.31	4355.33	0	25445.7	0	0	0	-nan
112000	112	4.5767	27460.2	0	5217.25	4512.11	0	25404.6	0	0	0	-nan
113000	113	4.56236	27374.2	0	5368.73	4326.87	0	25642.8	0	0	0	-nan
114000	114	4.38444	26306.6	0	4905.98	4522.76	0	25795.2	0	0	0	-nan
115000	115	4.35815	26148.9	0	5160.84	4605.07	0	25529	0	0	0	-nan
116000	116	4.3241	25944.6	0	5364.83	4519.29	0	25252.8	0	0	0	-nan
117000	117	4.42423	26545.4	0	5140.35	4411.35	0	25732.5	0	0	0	-nan
118000	118	4.45575	26734.5	0	5009.19	4269.55	0	25358.8	0	0	0	-nan
119000	119	4.32548	25952.9	0	5146.62	4416.3	0	25934.7	0	0	0	-nan
120000	120	4.50912	27054.7	0	5251.26	4510.32	0	25561.7	0	0	0	-nan
121000	121	4.53228	27193.7	0	5280.15	4455.2	0	25341	0	0	0	-nan
122000	122	4.45398	26723.9	0	4985.41	4440.27	0	25493	0	0	0	-nan
123000	123	4.53745	27224.7	0	5090.64	4455.01	0	25841.1	0	0	0	-nan
124000	124	4.41683	26501	0	5530.87	4327.03	0	25684.5	0	0	0	-nan
125000	125	4.53532	27211.9	0	5118.71	4302.72	0	25430.8	0	0	0	-nan
126000	126	4.53721	27223.3	0	5290.51	4434.78	0	25484.1	0	0	0	-nan
127000	127	4.46759	26805.5	0	5627.71	4286.78	0	25917.6	0	0	0	-nan
128000	128	4.43552	26613.1	0	5196.91	4633.71	0	25796.2	0	0	0	-nan
129000	129	4.42287	26537.2	0	5267.25	4523.43	0	25449.3	0	0	0	-nan
130000	130	4.41085	26465.1	0	5309.95	4554.76	0	25303.1	0	0	0	-nan
131000	131	4.5559	27335.4	0	5354.1	4430.26	0	25450.3	0	0	0	-nan
132000	132	4.46061	26763.7	0	5356.76	4527.32	0	26024.2	0	0	0	-nan
133000	133	4.3122	25873.2	0	5292.58	4303.15	0	25694.7	0	0	0	-nan
134000	134	4.36638	26198.3	0	5389.55	4384.85	0	25324.8	0	0	0	-nan
135000	135	4.36614	26196.8	0	5211.63	4285.11	0	25464	0	0	0	-nan
136000	136	4.44118	26647.1	0	5306.58	4701.54	0	26022.2	0	0	0	-nan
137000	137	4.37565	26253.9	0	5366.33	4602.24	0	25833.8	0	0	0	-nan
138000	138	4.5124	27074.4	0	5133.88	4527.7	0	25527.1	0	0	0	-nan
139000	139	4.42182	26530.9	0	5265.46	4605.45	0	25772.3	0	0	0	-nan
140000	140	4.40435	26426.1	0	5233.22	4537.95	0	25581.3	0	0	0	-nan
141000	141	4.45978	26758.7	0	5276.17	4525.27	0	25517.1	0	0	0	-nan
142000	142	4.48327	26899.6	0	5040.57	4607.97	0	25662	0	0	0	-nan
143000	143	4.4553	26731.8	0	5198.87	4448.84	0	25483.3	0	0	0	-nan
144000	144	4.44032	26641.9	0	5227.89	4470.58	0	25459.1	0	0	0	-nan
145000	145	4.46309	26778.5	0	5380.91	4437.57	0	25623.9	0	0	0	-nan
146000	146	4.40549	26433	0	5180.28	4378.54	0	25868.5	0	0	0	-nan
147000	147	4.45866	26751.9	0	5519.77	4186.13	0	25796.3	0	0	0	-nan
148000	148	4.37887	26273.2	0	5254.21	4558.43	0	25564.5	0	0	0	-nan
149000	149	4.41807	26508.4	0	5223.86	4349.27	0	25314.2	0	0	0	-nan
150000	150	4.4116	26469.6	0	5193.6	4270.98	0	25454.1	0	0	0	-nan
151000	151	4.37783	26267	0	5278.83	4384.92	0	25845.4	0	0	0	-nan
152000	152	4.45609	26736.6	0	5079.02	4517.78	0	25563.1	0	0	0	-nan
153000	153	4.35996	26159.8	0	5228.4	4254.31	0	25874.6	0	0	0	-nan
154000	154	4.37142	26228.5	0	5397.23	4655.78	0	25716	0	0	0	-nan
155000	155	4.47201	26832	0	5123.54	4366.76	0	25721.7	0	0	0	-nan
