step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	5260.21	4145.55	0	0	25269.5	0
1000	1	4.36601	26196.1	5447.33	4417.31	0	1286.87	25039.3	4
2000	2	4.40028	26401.7	5352.29	4642.36	7.85187	870.652	24969.7	6
3000	3	4.42392	26543.5	5398	4454.11	8.98534	2194.93	25505.1	10
4000	4	4.48667	26920	5182.28	4590.71	20.4793	2103.91	25061.8	15
5000	5	4.38682	26320.9	4901.31	4358.51	39.9906	1987.29	24996.4	19
6000	6	4.3851	26310.6	5346.16	4395.46	34.3424	870.311	25250.4	21
7000	7	4.49801	26988	5254.36	4363.89	48.5772	3911.78	25000.1	28
8000	8	4.43936	26636.2	5210.1	4549.53	51.4702	1209.11	24610.3	31
9000	9	4.35178	26110.7	5312.25	4425.64	77.8348	677.569	25127	32
10000	10	4.44766	26685.9	5491.47	4344.24	79.4461	1455.08	24977.4	35
11000	11	4.39862	26391.7	5235.89	4506.49	68.4795	2824.02	24953.1	40
12000	12	4.40622	26437.3	5181.24	4471.65	70.4801	1240.44	25360.7	43
13000	13	4.45794	26747.6	5418.64	4283.07	76.0974	1009.6	25072.9	46
14000	14	4.46278	26776.7	5418.23	4553.83	99.6604	362.347	24968.9	47
15000	15	4.48973	26938.4	5523.47	4462.16	121.072	285.963	24903.8	48
16000	16	4.42575	26554.5	5041.81	4420.01	128.833	1447.37	24941.6	50
17000	17	4.38506	26310.3	5509.77	4557.2	112.808	3961.82	25073.8	57
18000	18	4.33996	26039.8	5400.65	4362.71	153.037	3436.96	25113.2	64
19000	19	4.41044	26462.6	5381.15	4342.24	131.049	2195.64	25156.3	69
20000	20	4.41969	26518.1	5311.38	4447.86	134.04	2233.24	25074.5	74
21000	21	4.45392	26723.5	5204.3	4458.26	144.637	1928.71	24832.7	78
22000	22	4.34912	26094.7	5449.3	4317.18	194.902	1850.54	24852.7	81
23000	23	4.42307	26538.4	5408.79	4253.45	194.945	2114.49	24570.3	86
24000	24	4.3668	26200.8	5432.38	4188.24	205.445	1748.3	24988.1	90
25000	25	4.52781	27166.9	5585.43	4277.49	218.53	1664.56	24708.1	93
26000	26	4.50776	27046.5	5698.83	4455.84	241.683	1464.85	25143.2	96
27000	27	4.43022	26581.3	5334.01	4732.45	187.933	1715	24769.4	100
28000	28	4.39072	26344.3	5667.84	4422.68	256.039	3687.68	24361.3	108
29000	29	4.41569	26494.2	5600.56	4173.22	208.593	1397.07	24766.4	111
30000	30	4.4548	26728.8	5590.61	4486.99	273.79	3115.61	24353.1	116
31000	31	4.4005	26403	5466.65	4444.61	233.138	1319.53	24554.2	119
32000	32	4.5003	27001.8	5531.23	4552.64	223.167	1626.92	24012.4	121
33000	33	4.45777	26746.6	5315.82	4431.73	253.662	949.548	24268.3	124
34000	34	4.42751	26565	5436.77	4238.67	277.23	1664.64	24508.4	127
35000	35	4.47153	26829.2	5676.45	4406.15	264.072	1941.97	24621.7	131
36000	36	4.39634	26378	5412.12	4672.48	241.514	1340.06	24251.4	133
37000	37	4.40295	26417.7	5510.27	4365.16	248.981	1417.59	24364.1	136
38000	38	4.34968	26098.1	5650.28	4556.39	261.34	2248.8	24114.3	141
39000	39	4.38295	26297.7	5483.23	4574.1	275.466	1847.99	23952.3	144
40000	40	4.49113	26946.8	5621.26	4572.04	340.119	741.527	23952.8	145
41000	41	4.47675	26860.5	5606.12	4262.05	283.133	1080.72	24296.3	147
42000	42	4.5053	27031.8	5695.31	4430.26	286.205	1492.5	24254.1	149
43000	43	4.45364	26721.8	5438.02	4593.16	328.846	3539.07	23976.6	156
44000	44	4.68789	28127.3	5498.08	5134.54	401.369	1885.86	24007.3	159
45000	45	4.4143	26485.8	5445.8	4266.61	388.106	3057.49	24065.4	165
46000	46	4.51145	27068.7	5637.33	4415.43	399.71	2993.6	23720	170
47000	47	4.47217	26833	5744.73	4556.14	397.464	4108.41	23844.6	178
48000	48	4.56196	27371.8	5691.48	4817.23	343.942	1181.58	23798.5	180
49000	49	4.46513	26790.8	5617.54	4637.7	437.699	3246.82	23864.2	186
50000	50	4.44513	26670.8	5664.62	4362.56	448.054	3652.56	23807.2	193
51000	51	4.45064	26703.9	5436.77	4432.96	487.729	1365.09	23382.9	195
52000	52	4.49465	26967.9	5778.4	4593.7	527.125	2330.76	23231.6	200
53000	53	4.46496	26789.8	5842.84	4545.03	473.322	1022.67	23439.8	202
54000	54	4.33638	26018.3	5657.52	4330.54	546.424	2086.6	23507.7	205
55000	55	4.48049	26882.9	5799.55	4365.46	634.457	1364.49	23078.9	207
56000	56	4.43889	26633.3	5982.58	4424.73	606.624	2833.37	23642.5	213
57000	57	4.42259	26535.5	5581.33	4657.19	554.093	1553.84	23361.9	215
58000	58	4.36833	26210	5681.51	4529.77	511.246	1759.46	23414.2	219
59000	59	4.60564	27633.8	5726.55	4372.78	530.44	1076.19	23186.8	220
60000	60	4.49174	26950.4	5680.16	4554.51	601.216	1375.16	23270.6	222
61000	61	4.35349	26121	5705.78	4597.2	570.219	2327.61	23873.7	228
62000	62	4.49637	26978.2	5678.55	4336.63	612.361	1937.71	23733.1	231
63000	63	4.44253	26655.2	5720.66	4563.35	644.78	1397.22	23290.4	233
64000	64	4.3944	26366.4	5776.97	4465.92	610.14	2852.29	23261.8	238
65000	65	4.55361	27321.7	5883.26	4708.91	620.219	805.249	23074.4	239
66000	66	4.39648	26378.9	5966.86	4447.6	675.678	1445.81	22866.4	241
67000	67	4.45003	26700.2	5916.09	4368.64	688.29	2087.32	22955.1	244
68000	68	4.47679	26860.7	5766.23	4590.14	736.904	1339.8	23315.2	246
69000	69	4.39137	26348.2	5960.06	4214.06	612.165	1301.75	23148.3	248
70000	70	4.52937	27176.2	5986.54	4329.92	635.448	2696.28	23274.8	252
71000	71	4.44431	26665.8	5876.24	4447.3	725.736	1138.23	23212.9	253
72000	72	4.3929	26357.4	6112.15	4473.97	683.786	2004.8	22823.2	256
73000	73	4.40626	26437.6	5729.07	4497.96	760.203	1574.84	22742.7	259
74000	74	4.44701	26682.1	6135.17	4658.3	676.095	3658.02	22989.7	266
75000	75	4.44448	26666.9	5901.65	4776.32	640.951	870.395	23176.2	268
76000	76	4.54986	27299.2	6039.32	4296.56	641.287	1524.2	22797.8	271
77000	77	4.58142	27488.5	6108.04	4311.62	725.107	2569.93	23114.6	275
78000	78	4.55677	27340.6	5798.05	4499.64	726.735	931.395	23173.3	276
79000	79	4.48383	26903	6045.77	4373.63	736.531	3307.18	23116.8	283
80000	80	4.43561	26613.7	5682.7	4510.72	769.733	1899.88	23210.7	286
81000	81	4.48875	26932.5	5968.42	4519.79	739.356	2296.91	23086.5	290
82000	82	4.48651	26919	6058.65	4474.74	782.784	1018.6	22769.1	291
83000	83	4.49496	26969.8	5926.09	4596.16	751.139	2119.71	22900.2	294
84000	84	4.42095	26525.7	6020.11	4328.38	810.676	2633.44	22929.8	298
85000	85	4.45399	26723.9	6017.81	4328.55	798.152	1832.15	22790.5	301
86000	86	4.52824	27169.4	6224.51	4724.45	861.158	950.098	22508	302
87000	87	4.47097	26825.8	6231.19	4577.44	851.208	1864.09	22559.6	304
88000	88	4.51074	27064.5	6235.39	4504.1	802.176	2348.49	22379.5	308
89000	89	4.50839	27050.3	6061.79	4387.47	795.557	2096.66	22565.6	311
90000	90	4.51058	27063.5	5857.54	4022.43	878.554	1418.76	22807.1	314
91000	91	4.47569	26854.1	5947.25	4728.58	848.674	2777.49	22460.3	319
92000	92	4.44647	26678.8	6169.89	4280.09	939.941	1051.92	22257.9	320
93000	93	4.49025	26941.5	6045.87	4651.43	882.407	1006.37	22588.1	321
94000	94	4.50993	27059.6	6035.28	4543.33	780.167	1572.62	21958.5	323
95000	95	4.50981	27058.9	6364.76	4252.09	854.776	1560.2	22636.9	325
96000	96	4.45482	26728.9	6333.31	4444.34	915.612	929.39	22334.7	326
97000	97	4.42983	26579	5986.5	4712.21	945.732	867.7	22286.1	327
98000	98	4.42124	26527.4	6143.03	4621.51	964.751	1855	22214.4	329
99000	99	4.4398	26638.8	5945.49	4535.59	918.357	3282.5	22651.3	334
100000	100	4.50812	27048.7	6289.97	4475.5	987.379	2161.79	22295.2	337
101000	101	4.54876	27292.6	6210.67	4457.58	888.506	3020.43	22613.1	341
102000	102	4.43695	26621.7	6102.14	4307.67	955.191	1381.34	22512.2	343
103000	103	4.45714	26742.9	6384.99	4702.62	912.212	2579.34	22777.1	348
104000	104	4.38253	26295.2	6515.75	4519.84	926.458	802.356	22451.5	349
105000	105	4.4551	26730.6	6251.12	4610.66	1053.85	1677.36	22145.3	351
106000	106	4.49167	26950	6133.7	4416.67	1002.79	1299.82	22324.5	353
107000	107	4.36376	26182.6	6368.38	4809.39	974.546	3436.92	22129.6	358
108000	108	4.50944	27056.6	5995	4509	1029.65	2237.18	22473.1	361
109000	109	4.45244	26714.6	6275.55	4398.71	966.169	1458.77	22061	362
110000	110	4.43931	26635.9	6103.87	4519.1	1004.51	2686.92	22487	366
111000	111	4.48886	26933.2	6362.34	4627.95	954.374	783.382	22285.1	366
112000	112	4.47087	26825.2	6183.28	4302.62	972.348	2234.29	22775.1	369
113000	113	4.55987	27359.2	6200.29	4587.11	967.287	2985.24	22378	373
114000	114	4.57509	27450.6	6217.41	4470.45	1076.76	1320.53	22191.7	374
115000	115	4.44861	26691.6	6170.39	4387.45	1075.41	1953.4	22525.4	376
116000	116	4.52464	27147.9	6328.35	4388.03	1040.71	939.631	22297.2	377
117000	117	4.5255	27153	6125.14	4575.1	1097.41	1340.86	22198.7	378
118000	118	4.45336	26720.2	6267.52	4871.11	1068.5	1781.28	22153.9	380
119000	119	4.51865	27111.9	6308.93	4780.08	1036.4	1894.68	21913.7	382
120000	120	4.35838	26150.3	6417.12	4463.28	1003.74	3914.42	22031.5	388
121000	121	4.51861	27111.6	6515.48	4607.65	1043.01	3081.97	22510	393
122000	122	4.58671	27520.3	6394.6	4761.95	981.22	2100.3	22259.8	396
123000	123	4.46692	26801.5	6243.68	4660.54	1012.86	3080.71	22196	400
124000	124	4.5283	27169.8	6363.95	4567.61	1085.15	1864.98	22049	402
125000	125	4.60437	27626.2	6352.96	4816.49	1052.39	3610.44	21899.9	408
126000	126	4.54266	27256	6316.8	4405.63	1072.33	3966.87	22252.1	414
127000	127	4.40279	26416.7	6260.07	4544.32	1048.83	2242.6	22252.1	417
128000	128	4.61084	27665.1	6526.64	4311.11	1143.06	2719.55	21762.5	421
129000	129	4.45108	26706.5	6164.15	4649.5	1070.67	3658.16	21802.7	427
130000	130	4.57009	27420.5	6377.57	4569.97	1155.9	1294.83	21843.8	429
131000	131	4.53361	27201.7	6456.65	4600.19	1116.75	1652.3	21729	431
132000	132	4.47052	26823.1	6580.46	4274.14	1159.08	2495.66	21750.5	434
133000	133	4.4619	26771.4	6248.16	4637.1	1198.35	2244.19	21716.8	437
134000	134	4.58603	27516.2	6228.08	4342.2	1117.85	1081.64	21632.7	437
135000	135	4.4781	26868.6	6443.39	4638.63	1171.45	2245.71	21930.3	439
136000	136	4.5775	27465	6790.7	4740.56	1150.34	2284.73	21839.4	441
137000	137	4.47744	26864.7	6452.16	4432.3	1181.37	3238.64	21771.7	445
138000	138	4.42666	26560	6459.15	4631.44	1229.32	2219.99	21686.5	449
139000	139	4.54202	27252.1	6351.99	4497.22	1199.76	2858.27	22144.9	453
140000	140	4.53649	27219	6442.54	5083.51	1149.35	2300.93	21289.6	455
141000	141	4.49235	26954.1	6427.03	4612.55	1190.37	2531.18	21903.8	458
142000	142	4.5842	27505.2	6306.47	4459.22	1155.73	1851.94	21826.1	460
143000	143	4.56506	27390.3	6304.03	4718.62	1269.81	1635.31	21885.1	461
144000	144	4.45962	26757.7	6465.92	4363.38	1190.77	1835.18	22301	464
145000	145	4.49663	26979.8	6793.18	4524.53	1183.91	1405.65	21567.8	465
146000	146	4.56873	27412.4	6369.62	4622.19	1310.96	1768.3	22183.3	467
147000	147	4.5798	27478.8	6404.07	4762.15	1168.95	3095.84	21711.3	472
148000	148	4.56163	27369.8	6507.23	4529.17	1242.75	1689.15	21781.3	473
149000	149	4.55263	27315.8	6441.42	4486.38	1219.68	1287.36	21625.4	474
150000	150	4.56451	27387	6354.03	4503.8	1211.21	1147.6	21543.8	474
151000	151	4.50698	27041.9	6340.1	4496.26	1246.86	1978.49	21235.4	476
152000	152	4.6097	27658.2	6496.4	4512.83	1357.12	1557.08	21785.8	478
153000	153	4.60006	27600.3	6698.14	4674.52	1321.1	1133.5	21524.6	478
154000	154	4.58675	27520.5	6092.23	4694.62	1380.16	2046.57	21242.4	480
155000	155	4.45783	26747	6349.09	4982.45	1328.59	3344.19	21810.1	484
156000	156	4.49042	26942.5	6736.76	4275.04	1249.91	2380	21792.4	487
157000	157	4.44856	26691.3	6368.55	4528.34	1440.77	2626	21424.3	490
158000	158	4.54593	27275.6	6557.28	4594.92	1418.96	2028.88	21639.4	492
159000	159	4.55908	27354.5	6623.05	4763.27	1414.27	3010.17	21596.4	495
160000	160	4.54096	27245.8	6348.15	4507.92	1416.06	3117.52	21637.9	499
161000	161	4.54401	27264.1	6718.24	4676.48	1349.57	2075.6	21508.7	501
162000	162	4.67983	28079	6344.48	4709.18	1319.32	2526.63	21449.2	503
163000	163	4.53428	27205.7	6592.88	4588.4	1456.02	2331.52	21609.5	505
