step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	0
1000	1	4.41982	26518.9	0	5410.69	4557.33	0	25504.6	0	0	0	7902.72
2000	2	4.46824	26809.4	0	4962.2	4643.89	0	25803.1	0	0	0	8184.62
3000	3	4.46712	26802.7	0	5111.85	4450.43	0	25378.6	0	0	0	7439.68
4000	4	4.39173	26350.4	0	4887.54	4330.85	0	25625.4	0	0	0	7252.18
5000	5	4.42488	26549.3	0	4894.47	4170.8	0	25534.9	0	0	0	7863.63
6000	6	4.40155	26409.3	0	4958.2	4681.64	0	25677.6	0	0	0	8015.79
7000	7	4.46627	26797.6	0	5400.99	4243.09	0	25774.2	0	0	0	7556.3
8000	8	4.41752	26505.1	0	4964.47	4403.93	0	25629.3	0	0	0	7620.09
9000	9	4.43978	26638.7	0	5235.92	4510.46	0	25744.4	0	0	0	7572.31
10000	10	4.38932	26335.9	0	5321.36	4388.25	0	25686.3	0	0	0	7768.93
11000	11	4.43645	26618.7	0	4880.5	4430.41	0	25124.6	0	0	0	7968.97
12000	12	4.37869	26272.1	0	4834.84	4718.75	0	25828.2	0	0	0	7830.42
13000	13	4.46715	26802.9	0	5162.02	4290.49	0	25742.9	0	0	0	8087.2
14000	14	4.4437	26662.2	0	5360.66	4546.63	0	25439.6	0	0	0	7786.47
15000	15	4.49902	26994.1	0	5215.7	4604.12	0	25506.6	0	0	0	7693.01
16000	16	4.45472	26728.3	0	5404.74	4373.03	0	25712.4	0	0	0	7648.44
17000	17	4.44438	26666.3	0	4993.78	4775.17	0	25682.8	0	0	0	7819.13
18000	18	4.41937	26516.2	0	5047.34	4309.61	0	25520.2	0	0	0	7627.54
19000	19	4.42953	26577.2	0	5192.19	4335.77	0	26227.8	0	0	0	8216.79
20000	20	4.39837	26390.2	0	5250.46	4316.42	0	25759.4	0	0	0	7941.53
21000	21	4.43788	26627.3	0	5232.75	4574.86	0	25457	0	0	0	7827.59
22000	22	4.4002	26401.2	0	5084.15	4077.9	0	25725.6	0	0	0	7422.89
23000	23	4.35896	26153.7	0	5198.02	4480.37	0	25480.6	0	0	0	7560.61
24000	24	4.45471	26728.2	0	5381.95	4295.46	0	25566.3	0	0	0	7798.08
25000	25	4.38012	26280.7	0	5310	4391.97	0	25645.8	0	0	0	7200.37
26000	26	4.39955	26397.3	0	5113.33	4403.16	0	25576.5	0	0	0	8012.59
27000	27	4.43619	26617.1	0	5574.44	4544.04	0	25868.1	0	0	0	7615.77
28000	28	4.44966	26697.9	0	5253.64	4285.61	0	25539.4	0	0	0	7627.06
29000	29	4.38442	26306.5	0	5417.17	4563.52	0	25622.9	0	0	0	7780.59
30000	30	4.41787	26507.2	0	5292.93	4622.61	0	25482.7	0	0	0	7796.77
