step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0
1000	1	4.48409	26904.5	0	5076.79	4351.9	0	25427.7	0	0	0
2000	2	4.31148	25868.9	0	5162.21	4476.42	0	25215.7	0	0	0
3000	3	4.41763	26505.8	0	5393.02	4478.61	0	25361.3	0	0	0
4000	4	4.49258	26955.5	0	5269.11	4007.36	0	25647.2	0	0	0
5000	5	4.47398	26843.9	0	5016.28	4635.13	0	25545.5	0	0	0
6000	6	4.51961	27117.7	0	5197.91	4331.29	0	25496	0	0	0
7000	7	4.4312	26587.2	0	5204.86	4479	0	25654.1	0	0	0
8000	8	4.38422	26305.3	0	4946.66	4428.96	0	25473.5	0	0	0
9000	9	4.4243	26545.8	0	5366.94	4505.93	0	25687.3	0	0	0
10000	10	4.33245	25994.7	0	5091.53	4650.11	0	25359.3	0	0	0
11000	11	4.45684	26741	0	4939.84	4435.46	0	25662.2	0	0	0
12000	12	4.41497	26489.8	0	5193.86	4218.2	0	25410.1	0	0	0
13000	13	4.44411	26664.6	0	5157.88	4342.88	0	25694.9	0	0	0
14000	14	4.37849	26271	0	5156.07	4472.11	0	25544.6	0	0	0
15000	15	4.38122	26287.3	0	5083.06	4275.34	0	25552.2	0	0	0
16000	16	4.45073	26704.4	0	5095.66	4464.15	0	25719.8	0	0	0
17000	17	4.50227	27013.6	0	4886.34	4367.6	0	25845	0	0	0
18000	18	4.35897	26153.8	0	5364.38	4520.43	0	25497.3	0	0	0
19000	19	4.50576	27034.6	0	5265.93	4416.6	0	25562.6	0	0	0
20000	20	4.48624	26917.4	0	5151.3	4620.62	0	25343.6	0	0	0
21000	21	4.44244	26654.6	0	5109.09	4500.33	0	25638.5	0	0	0
22000	22	4.35201	26112	0	5009.85	4427.73	0	26020.1	0	0	0
23000	23	4.36146	26168.8	0	5043.79	4299.86	0	25785.8	0	0	0
24000	24	4.40702	26442.1	0	5074.3	4303.57	0	25548.1	0	0	0
25000	25	4.46246	26774.8	0	5542.44	4326.45	0	25747.1	0	0	0
26000	26	4.46161	26769.7	0	5556.97	4426.03	0	25906	0	0	0
27000	27	4.41381	26482.8	0	5294.22	4412.66	0	25588.3	0	0	0
28000	28	4.38487	26309.2	0	5287.25	4427.51	0	25787.8	0	0	0
29000	29	4.45092	26705.5	0	5383.14	4327.51	0	25709.5	0	0	0
30000	30	4.39218	26353.1	0	5277.7	4595.41	0	25531.1	0	0	0
31000	31	4.45247	26714.8	0	5403.68	4457.58	0	25776.9	0	0	0
32000	32	4.43106	26586.4	0	5228.36	4499.14	0	25303.6	0	0	0
33000	33	4.55546	27332.8	0	5235.87	4343.76	0	25564.5	0	0	0
34000	34	4.43696	26621.8	0	5211.44	4250.56	0	25440.1	0	0	0
35000	35	4.34633	26078	0	5346.34	4333.71	0	25288.3	0	0	0
36000	36	4.43814	26628.8	0	5306.69	4527.15	0	25084.4	0	0	0
37000	37	4.43168	26590.1	0	5011.73	4376.47	0	25647.5	0	0	0
38000	38	4.46752	26805.1	0	5209.27	4286.76	0	25723.9	0	0	0
39000	39	4.39179	26350.7	0	5214.37	4362.49	0	25762.2	0	0	0
40000	40	4.52063	27123.8	0	5022.92	4726.34	0	25655.8	0	0	0
41000	41	4.46792	26807.5	0	5026.6	4618.59	0	25434	0	0	0
42000	42	4.36063	26163.8	0	5077.93	4634.23	0	25540.2	0	0	0
43000	43	4.45665	26739.9	0	5302.1	4518.72	0	25182.7	0	0	0
44000	44	4.3873	26323.8	0	5226.32	4351.47	0	25367.2	0	0	0
45000	45	4.45973	26758.4	0	5233.99	4110.19	0	25579.5	0	0	0
46000	46	4.54177	27250.6	0	5282.07	4481.51	0	25493.8	0	0	0
47000	47	4.41112	26466.7	0	5350.4	4687.56	0	25391.8	0	0	0
48000	48	4.38543	26312.6	0	5289.44	4307.68	0	25479.9	0	0	0
49000	49	4.40676	26440.6	0	5521.74	4716.14	0	25261.5	0	0	0
50000	50	4.56153	27369.2	0	5005.71	4561.58	0	25256	0	0	0
51000	51	4.48146	26888.8	0	5178.58	4450.83	0	25227.7	0	0	0
52000	52	4.43596	26615.8	0	5283.18	4677.29	0	25889.8	0	0	0
53000	53	4.50336	27020.1	0	5032.72	4497.28	0	25755.2	0	0	0
54000	54	4.44287	26657.2	0	5476.95	4380.41	0	25674.6	0	0	0
55000	55	4.50762	27045.7	0	5153.71	4646.73	0	25353.8	0	0	0
56000	56	4.43386	26603.2	0	5006.26	4085	0	25533.3	0	0	0
57000	57	4.37777	26266.6	0	5153.2	4564.67	0	25697.5	0	0	0
58000	58	4.34538	26072.3	0	5130.13	4312.72	0	25684.1	0	0	0
59000	59	4.48804	26928.2	0	5292.53	4228.61	0	25547.6	0	0	0
60000	60	4.38575	26314.5	0	5085.72	4527.31	0	25519.2	0	0	0
61000	61	4.37135	26228.1	0	5367.84	4407.81	0	25903.6	0	0	0
62000	62	4.43091	26585.5	0	5412	4420.77	0	25874.9	0	0	0
63000	63	4.43728	26623.7	0	5191.28	4436.3	0	25771.8	0	0	0
64000	64	4.48075	26884.5	0	5192.15	4323.07	0	25133.7	0	0	0
65000	65	4.44224	26653.4	0	5197.83	4369.44	0	25496.2	0	0	0
66000	66	4.4373	26623.8	0	5223.44	4502.54	0	25689.8	0	0	0
67000	67	4.46692	26801.5	0	5254.08	4509.23	0	25486.3	0	0	0
68000	68	4.45399	26723.9	0	5449.35	4335.28	0	25571.1	0	0	0
69000	69	4.43294	26597.6	0	5293.31	4406.01	0	25789.3	0	0	0
70000	70	4.41283	26477	0	5141.93	4827.95	0	25690.1	0	0	0
71000	71	4.32206	25932.4	0	5133.01	4275.33	0	25728.7	0	0	0
72000	72	4.4138	26482.8	0	5425.19	4235.92	0	25436.2	0	0	0
73000	73	4.46672	26800.3	0	5316.03	4447.03	0	25655.2	0	0	0
74000	74	4.34797	26087.8	0	5054.78	4300.92	0	25181.6	0	0	0
75000	75	4.34332	26059.9	0	5260.8	4677.27	0	25698	0	0	0
76000	76	4.50417	27025	0	5019.27	4365.64	0	25409.6	0	0	0
77000	77	4.455	26730	0	5302.86	4190.17	0	25414.8	0	0	0
78000	78	4.39718	26383.1	0	5422.99	4575.99	0	25772	0	0	0
79000	79	4.36753	26205.2	0	5043.28	4238.62	0	25624.2	0	0	0
