step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0
1000	1	4.392	26352	0	5109.08	4548.21	0	25505.2	0	0	0
2000	2	4.458	26748	0	5420.73	4691.53	0	25935.2	0	0	0
3000	3	4.44161	26649.6	0	5225.07	4416.41	0	25519.9	0	0	0
4000	4	4.43445	26606.7	0	5108.39	4386.95	0	25431.9	0	0	0
5000	5	4.56329	27379.7	0	5212.06	4424.21	0	25588.2	0	0	0
6000	6	4.37418	26245.1	0	5244.29	4236.36	0	25335.6	0	0	0
7000	7	4.4061	26436.6	0	5136.92	4537.5	0	25254.1	0	0	0
8000	8	4.49835	26990.1	0	5165.67	4628.96	0	25830.1	0	0	0
9000	9	4.47493	26849.6	0	5295.52	4457.91	0	25507.7	0	0	0
10000	10	4.43972	26638.3	0	5226.52	4603.08	0	25796.5	0	0	0
11000	11	4.41842	26510.5	0	4978.76	4302.46	0	25809.6	0	0	0
12000	12	4.42453	26547.2	0	5331.03	4484.49	0	25458.7	0	0	0
13000	13	4.43083	26585	0	5098.66	4429.4	0	25579.6	0	0	0
14000	14	4.35788	26147.3	0	5161.07	4363.54	0	25794.5	0	0	0
15000	15	4.36077	26164.6	0	5210.21	4342.53	0	25830	0	0	0
16000	16	4.43813	26628.8	0	5162.18	4354.34	0	25866.8	0	0	0
17000	17	4.43981	26638.8	0	5222.37	4536.16	0	25718.1	0	0	0
18000	18	4.42736	26564.1	0	5154.2	4540.64	0	25648.8	0	0	0
19000	19	4.4921	26952.6	0	5272.99	4538.45	0	25442.1	0	0	0
20000	20	4.406	26436	0	5026.7	4432.59	0	25190.1	0	0	0
21000	21	4.3225	25935	0	5266.68	4438.85	0	25359.8	0	0	0
22000	22	4.29901	25794.1	0	5166.66	4418.03	0	25478.5	0	0	0
23000	23	4.37091	26225.4	0	5251.56	4197.8	0	25019.8	0	0	0
24000	24	4.42033	26522	0	5006.91	4325.45	0	25452.8	0	0	0
25000	25	4.36661	26199.6	0	5095.24	4725.46	0	25708.5	0	0	0
26000	26	4.50264	27015.8	0	5371.57	4448.24	0	25583.8	0	0	0
