# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
2.000000000000000000e+00 1.998000000000000000e+03 1.001001001001001089e+00 1.001999999999945157e+00 1.001001001001001089e+00 1.000997999999945209e+00
3.000000000000000000e+00 1.997000000000000000e+03 1.001502253380070151e+00 1.002999999999945047e+00 1.001502253380070151e+00 1.001495499999945027e+00
4.000000000000000000e+00 1.996000000000000000e+03 1.002004008016031955e+00 1.003999999999944936e+00 1.002004008016031955e+00 1.001991999999945149e+00
5.000000000000000000e+00 1.995000000000000000e+03 1.002506265664160345e+00 1.004999999999944826e+00 1.002506265664160345e+00 1.002487499999945131e+00
6.000000000000000000e+00 1.994000000000000000e+03 1.003009027081243731e+00 1.005999999999944716e+00 1.003009027081243731e+00 1.002981999999944973e+00
8.000000000000000000e+00 1.992000000000000000e+03 1.004016064257028162e+00 1.007999999999944496e+00 1.004016064257028162e+00 1.003967999999944682e+00
1.000000000000000000e+01 1.990000000000000000e+03 1.005025125628140614e+00 1.009999999999944276e+00 1.005025125628140614e+00 1.004949999999944721e+00
1.200000000000000000e+01 1.988000000000000000e+03 1.006036217303822866e+00 1.011999999999944055e+00 1.006036217303822866e+00 1.005927999999944422e+00
1.300000000000000000e+01 1.987000000000000000e+03 1.006542526421741357e+00 1.012999999999943945e+00 1.006542526421741357e+00 1.006415499999944174e+00
1.400000000000000000e+01 1.986000000000000000e+03 1.007049345417925457e+00 1.013999999999943835e+00 1.007049345417925457e+00 1.006901999999944231e+00
1.700000000000000000e+01 1.983000000000000000e+03 1.008572869389813498e+00 1.016999999999943505e+00 1.008572869389813498e+00 1.008355499999944005e+00
1.800000000000000000e+01 1.982000000000000000e+03 1.009081735620585230e+00 1.017999999999943395e+00 1.009081735620585230e+00 1.008837999999943946e+00
1.900000000000000000e+01 1.981000000000000000e+03 1.009591115598182709e+00 1.018999999999943284e+00 1.009591115598182709e+00 1.009319499999943748e+00
