# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
8.900000000000000000e+01 1.911000000000000000e+03 1.046572475143903613e+00 1.092999999999938909e+00 1.046572475143903613e+00 1.044361499999941767e+00
1.620000000000000000e+02 1.838000000000000000e+03 1.088139281828073957e+00 1.175999999999937096e+00 1.088139281828073957e+00 1.080743999999942195e+00
2.460000000000000000e+02 1.754000000000000000e+03 1.140250855188141399e+00 1.284999999999936637e+00 1.140250855188141399e+00 1.126944999999944352e+00
3.170000000000000000e+02 1.683000000000000000e+03 1.188354129530600156e+00 1.389999999999937952e+00 1.188354129530600156e+00 1.169684999999947683e+00
3.780000000000000000e+02 1.622000000000000000e+03 1.233045622688039522e+00 1.482999999999940144e+00 1.233045622688039522e+00 1.202712999999951293e+00
4.350000000000000000e+02 1.565000000000000000e+03 1.277955271565495154e+00 1.581999999999941231e+00 1.277955271565495154e+00 1.237914999999954135e+00
5.120000000000000000e+02 1.488000000000000000e+03 1.344086021505376261e+00 1.729999999999942251e+00 1.344086021505376261e+00 1.287119999999957187e+00
5.890000000000000000e+02 1.411000000000000000e+03 1.417434443656980791e+00 1.879999999999945937e+00 1.417434443656980791e+00 1.326339999999961883e+00
6.380000000000000000e+02 1.362000000000000000e+03 1.468428781204111688e+00 2.005999999999950489e+00 1.468428781204111688e+00 1.366085999999966161e+00
6.810000000000000000e+02 1.319000000000000000e+03 1.516300227445034121e+00 2.124000000000004551e+00 1.516300227445034121e+00 1.400778000000002965e+00
7.270000000000000000e+02 1.273000000000000000e+03 1.571091908876669274e+00 2.246000000000043961e+00 1.571091908876669274e+00 1.429579000000027911e+00
7.770000000000000000e+02 1.223000000000000000e+03 1.635322976287816754e+00 2.391000000000047976e+00 1.635322976287816754e+00 1.462096500000029442e+00
8.160000000000000000e+02 1.184000000000000000e+03 1.689189189189189255e+00 2.491000000000049397e+00 1.689189189189189255e+00 1.474672000000029293e+00
8.530000000000000000e+02 1.147000000000000000e+03 1.743679163034001833e+00 2.643000000000052196e+00 1.743679163034001833e+00 1.515760500000029820e+00
8.910000000000000000e+02 1.109000000000000000e+03 1.803426510369702473e+00 2.800000000000052669e+00 1.803426510369702473e+00 1.552600000000029068e+00
9.340000000000000000e+02 1.066000000000000000e+03 1.876172607879925014e+00 2.951000000000053358e+00 1.876172607879925014e+00 1.572883000000028453e+00
9.680000000000000000e+02 1.032000000000000000e+03 1.937984496124030898e+00 3.097000000000055930e+00 1.937984496124030898e+00 1.598052000000028894e+00
9.920000000000000000e+02 1.008000000000000000e+03 1.984126984126984183e+00 3.217000000000055593e+00 1.984126984126984183e+00 1.621368000000027898e+00
1.013000000000000000e+03 9.870000000000000000e+02 2.026342451874366901e+00 3.267000000000051863e+00 2.026342451874366901e+00 1.612264500000025524e+00
1.034000000000000000e+03 9.660000000000000000e+02 2.070393374741200887e+00 3.361000000000053500e+00 2.070393374741200887e+00 1.623363000000025869e+00
1.058000000000000000e+03 9.420000000000000000e+02 2.123142250530785535e+00 3.460000000000052367e+00 2.123142250530785535e+00 1.629660000000024755e+00
1.078000000000000000e+03 9.220000000000000000e+02 2.169197396963123747e+00 3.559000000000049901e+00 2.169197396963123747e+00 1.640699000000023000e+00
1.098000000000000000e+03 9.020000000000000000e+02 2.217294900221729481e+00 3.724000000000049049e+00 2.217294900221729481e+00 1.679524000000022221e+00
1.122000000000000000e+03 8.780000000000000000e+02 2.277904328018223179e+00 3.853000000000044167e+00 2.277904328018223179e+00 1.691467000000019372e+00
1.138000000000000000e+03 8.620000000000000000e+02 2.320185614849187949e+00 4.046000000000002927e+00 2.320185614849187949e+00 1.743826000000001208e+00
1.162000000000000000e+03 8.380000000000000000e+02 2.386634844868734895e+00 4.179999999999955307e+00 2.386634844868734895e+00 1.751419999999981325e+00
1.174000000000000000e+03 8.260000000000000000e+02 2.421307506053268721e+00 4.240999999999950809e+00 2.421307506053268721e+00 1.751532999999979801e+00
1.189000000000000000e+03 8.110000000000000000e+02 2.466091245376079044e+00 4.448999999999934118e+00 2.466091245376079044e+00 1.804069499999973125e+00
1.201000000000000000e+03 7.990000000000000000e+02 2.503128911138923662e+00 4.544999999999925322e+00 2.503128911138923662e+00 1.815727499999970185e+00
1.221000000000000000e+03 7.790000000000000000e+02 2.567394094993581621e+00 4.758999999999916852e+00 2.567394094993581621e+00 1.853630499999967540e+00
1.236000000000000000e+03 7.650000000000000000e+02 2.614379084967320299e+00 4.841999999999921478e+00 2.614379084967320299e+00 1.852064999999969874e+00
1.251000000000000000e+03 7.500000000000000000e+02 2.666666666666666519e+00 4.940999999999919901e+00 2.666666666666666519e+00 1.852874999999970074e+00
1.262000000000000000e+03 7.390000000000000000e+02 2.706359945872800932e+00 5.168999999999916994e+00 2.706359945872800932e+00 1.909945499999969432e+00
1.275000000000000000e+03 7.260000000000000000e+02 2.754820936639118312e+00 5.324999999999914913e+00 2.754820936639118312e+00 1.932974999999969246e+00
1.290000000000000000e+03 7.110000000000000000e+02 2.812939521800281284e+00 5.398999999999916533e+00 2.812939521800281284e+00 1.919344499999970255e+00
1.298000000000000000e+03 7.030000000000000000e+02 2.844950213371265857e+00 5.506999999999917961e+00 2.844950213371265857e+00 1.935710499999971246e+00
1.315000000000000000e+03 6.870000000000000000e+02 2.911208151382823850e+00 5.617999999999923944e+00 2.911208151382823850e+00 1.929782999999973825e+00
1.328000000000000000e+03 6.740000000000000000e+02 2.967359050445103730e+00 5.719999999999923368e+00 2.967359050445103730e+00 1.927639999999974263e+00
1.341000000000000000e+03 6.610000000000000000e+02 3.025718608169440049e+00 5.883999999999923958e+00 3.025718608169440049e+00 1.944661999999975022e+00
1.353000000000000000e+03 6.490000000000000000e+02 3.081664098613251301e+00 6.001999999999927837e+00 3.081664098613251301e+00 1.947648999999976427e+00
1.361000000000000000e+03 6.410000000000000000e+02 3.120124804992199685e+00 6.062999999999928669e+00 3.120124804992199685e+00 1.943191499999977090e+00
1.371000000000000000e+03 6.320000000000000000e+02 3.164556962025316444e+00 6.131999999999927731e+00 3.164556962025316444e+00 1.937711999999977230e+00
1.378000000000000000e+03 6.250000000000000000e+02 3.200000000000000178e+00 6.228999999999928150e+00 3.200000000000000178e+00 1.946562499999977547e+00
1.392000000000000000e+03 6.110000000000000000e+02 3.273322422258592379e+00 6.390999999999930736e+00 3.273322422258592379e+00 1.952450499999978994e+00
1.401000000000000000e+03 6.020000000000000000e+02 3.322259136212624586e+00 6.446999999999932562e+00 3.322259136212624586e+00 1.940546999999979594e+00
1.408000000000000000e+03 5.950000000000000000e+02 3.361344537815126099e+00 6.558999999999932662e+00 3.361344537815126099e+00 1.951302499999979956e+00
1.417000000000000000e+03 5.870000000000000000e+02 3.407155025553662675e+00 6.748999999999936605e+00 3.407155025553662675e+00 1.980831499999981427e+00
1.430000000000000000e+03 5.740000000000000000e+02 3.484320557491288994e+00 6.864999999999938041e+00 3.484320557491288994e+00 1.970254999999982326e+00
1.438000000000000000e+03 5.660000000000000000e+02 3.533568904593639370e+00 6.999999999999937828e+00 3.533568904593639370e+00 1.980999999999982553e+00
