step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	-nan
1000	1	4.37048	26222.9	0	5410.28	4358.02	0	25789.1	0	0	0	-nan
2000	2	4.42181	26530.9	0	5260.68	4708.85	0	25537.3	0	0	0	-nan
3000	3	4.45485	26729.1	0	4950.69	4312.09	0	25273.6	0	0	0	-nan
4000	4	4.39945	26396.7	0	5339.78	4474.04	0	25413.3	0	0	0	-nan
5000	5	4.41764	26505.9	0	5299.62	4455.11	0	25317.6	0	0	0	-nan
6000	6	4.47266	26835.9	0	5154.57	4321.73	0	25521.1	0	0	0	-nan
7000	7	4.41139	26468.3	0	5378.64	4295.4	0	25983.9	0	0	0	-nan
8000	8	4.44373	26662.4	0	5168.54	4516.9	0	25479.8	0	0	0	-nan
9000	9	4.32832	25969.9	0	5550.59	4235.28	0	25592.4	0	0	0	-nan
10000	10	4.32761	25965.7	0	5529.45	4380.82	0	25396.4	0	0	0	-nan
11000	11	4.47301	26838	0	5463.39	4613.82	0	25115	0	0	0	-nan
12000	12	4.3753	26251.8	0	4891.3	4375.86	0	25675.8	0	0	0	-nan
13000	13	4.31551	25893.1	0	5082.29	4528.94	0	25424.9	0	0	0	-nan
14000	14	4.54619	27277.1	0	4716.66	4374.7	0	25659.9	0	0	0	-nan
15000	15	4.44405	26664.3	0	5036.57	4317.92	0	25405.3	0	0	0	-nan
16000	16	4.41186	26471.1	0	5340.51	4461.92	0	25364.7	0	0	0	-nan
17000	17	4.41651	26499	0	5261.08	4153.53	0	25599.7	0	0	0	-nan
18000	18	4.42308	26538.5	0	5430.86	4443.42	0	25472.9	0	0	0	-nan
19000	19	4.42156	26529.3	0	5032.94	4206.57	0	25650.4	0	0	0	-nan
20000	20	4.48611	26916.7	0	5305.48	4246.71	0	25535.3	0	0	0	-nan
