step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0
1000	1	4.39311	26358.7	0	4947.87	4529.68	0	25732.2	0	0	0
2000	2	4.36727	26203.6	0	5286.82	4281.87	0	25569.4	0	0	0
3000	3	4.39421	26365.3	0	5023.14	4401.93	0	25487.7	0	0	0
4000	4	4.49114	26946.8	0	5063.83	4657.48	0	25980.8	0	0	0
5000	5	4.42938	26576.3	0	5094.57	4348.98	0	25620.3	0	0	0
6000	6	4.46159	26769.5	0	5190.27	4469.16	0	25745.8	0	0	0
7000	7	4.5432	27259.2	0	5283.9	4421.25	0	25535.1	0	0	0
8000	8	4.37236	26234.1	0	5566.85	4233.82	0	25844.6	0	0	0
9000	9	4.54136	27248.2	0	5300.64	4599.46	0	25867.9	0	0	0
10000	10	4.4279	26567.4	0	5068.12	4404.49	0	25812.3	0	0	0
11000	11	4.43549	26612.9	0	5101.71	4469.77	0	25317.6	0	0	0
12000	12	4.42285	26537.1	0	5045.63	4314.18	0	25535.3	0	0	0
13000	13	4.31961	25917.7	0	5151.33	4403.7	0	25848.8	0	0	0
14000	14	4.38996	26339.8	0	5247.94	4510.6	0	25575.1	0	0	0
15000	15	4.35132	26107.9	0	5161.78	4370.32	0	25733.4	0	0	0
16000	16	4.4929	26957.4	0	5456.73	4356.52	0	25589.8	0	0	0
17000	17	4.43911	26634.7	0	5168.83	4310.76	0	25398.7	0	0	0
18000	18	4.39868	26392.1	0	5031.98	4394.84	0	25639.3	0	0	0
19000	19	4.47184	26831.1	0	4917.88	4430.5	0	25228.2	0	0	0
20000	20	4.43796	26627.8	0	5303.73	4421.1	0	25734.4	0	0	0
21000	21	4.4407	26644.2	0	5348.48	4537.92	0	25632.5	0	0	0
22000	22	4.50779	27046.7	0	4971.17	4421.76	0	25850.7	0	0	0
23000	23	4.31882	25912.9	0	5364.66	4595.91	0	25982.4	0	0	0
24000	24	4.48017	26881	0	5102.25	4474.44	0	25993.5	0	0	0
25000	25	4.34289	26057.4	0	5012.15	4648.43	0	25754.8	0	0	0
26000	26	4.52657	27159.4	0	5193.83	4359.14	0	25857	0	0	0
27000	27	4.54281	27256.8	0	5233.86	4366.13	0	25415.8	0	0	0
28000	28	4.3784	26270.4	0	5020.97	4663.96	0	25431.5	0	0	0
29000	29	4.42502	26550.1	0	5183.17	4475.63	0	25258	0	0	0
30000	30	4.43146	26588.8	0	5181.59	4309.09	0	25366.1	0	0	0
31000	31	4.42203	26532.2	0	5312.3	4525.15	0	25697.7	0	0	0
