# cr len_gsub pn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
8.700000000000000000e+01 1.913000000000000000e+03 1.045478306325143825e+00 1.041628499999942337e+00
1.630000000000000000e+02 1.837000000000000000e+03 1.088731627653783285e+00 1.082911499999942517e+00
2.400000000000000000e+02 1.760000000000000000e+03 1.136363636363636465e+00 1.137839999999944007e+00
3.010000000000000000e+02 1.699000000000000000e+03 1.177163037080635632e+00 1.167212999999946987e+00
3.860000000000000000e+02 1.614000000000000000e+03 1.239157372986369188e+00 1.222604999999950648e+00
4.480000000000000000e+02 1.552000000000000000e+03 1.288659793814433074e+00 1.262551999999954155e+00
5.170000000000000000e+02 1.483000000000000000e+03 1.348617666891436251e+00 1.312454999999957961e+00
5.720000000000000000e+02 1.428000000000000000e+03 1.400560224089635764e+00 1.348031999999961483e+00
6.230000000000000000e+02 1.377000000000000000e+03 1.452432824981844561e+00 1.381130999999965026e+00
6.780000000000000000e+02 1.322000000000000000e+03 1.512859304084720025e+00 1.423794000000011772e+00
7.260000000000000000e+02 1.274000000000000000e+03 1.569858712715855642e+00 1.480388000000032456e+00
7.700000000000000000e+02 1.230000000000000000e+03 1.626016260162601590e+00 1.495680000000032539e+00
8.060000000000000000e+02 1.194000000000000000e+03 1.675041876046901246e+00 1.515186000000033673e+00
8.480000000000000000e+02 1.152000000000000000e+03 1.736111111111111160e+00 1.525824000000036040e+00
8.890000000000000000e+02 1.112000000000000000e+03 1.798561151079136611e+00 1.554020000000034374e+00
9.250000000000000000e+02 1.076000000000000000e+03 1.858736059479553893e+00 1.589252000000033860e+00
9.530000000000000000e+02 1.048000000000000000e+03 1.908396946564885566e+00 1.605012000000032524e+00
9.870000000000000000e+02 1.014000000000000000e+03 1.972386587771203237e+00 1.658904000000032575e+00
1.006000000000000000e+03 9.950000000000000000e+02 2.010050251256281229e+00 1.680057500000031734e+00
1.032000000000000000e+03 9.700000000000000000e+02 2.061855670103092564e+00 1.694590000000030905e+00
1.060000000000000000e+03 9.420000000000000000e+02 2.123142250530785535e+00 1.735164000000029016e+00
1.078000000000000000e+03 9.240000000000000000e+02 2.164502164502164483e+00 1.752828000000028030e+00
1.099000000000000000e+03 9.030000000000000000e+02 2.214839424141749724e+00 1.748659500000026679e+00
1.115000000000000000e+03 8.870000000000000000e+02 2.254791431792559031e+00 1.762025500000025113e+00
1.134000000000000000e+03 8.680000000000000000e+02 2.304147465437787812e+00 1.815421999999978997e+00
1.149000000000000000e+03 8.530000000000000000e+02 2.344665885111371750e+00 1.803668499999977692e+00
1.161000000000000000e+03 8.410000000000000000e+02 2.378121284185493511e+00 1.847256499999973434e+00
1.175000000000000000e+03 8.270000000000000000e+02 2.418379685610640983e+00 1.862403999999969528e+00
1.186000000000000000e+03 8.160000000000000000e+02 2.450980392156862919e+00 1.853135999999969696e+00
1.203000000000000000e+03 7.990000000000000000e+02 2.503128911138923662e+00 1.848885999999970497e+00
1.214000000000000000e+03 7.880000000000000000e+02 2.538071065989847774e+00 1.873469999999971325e+00
1.229000000000000000e+03 7.730000000000000000e+02 2.587322121604139546e+00 1.886892999999970177e+00
1.245000000000000000e+03 7.570000000000000000e+02 2.642007926023778097e+00 1.887579499999970878e+00
1.263000000000000000e+03 7.390000000000000000e+02 2.706359945872800932e+00 1.948742999999969916e+00
1.272000000000000000e+03 7.300000000000000000e+02 2.739726027397260122e+00 1.939244999999970798e+00
1.281000000000000000e+03 7.210000000000000000e+02 2.773925104022191501e+00 1.947060499999970995e+00
1.298000000000000000e+03 7.040000000000000000e+02 2.840909090909090828e+00 1.937055999999972355e+00
1.308000000000000000e+03 6.940000000000000000e+02 2.881844380403458139e+00 1.947363999999973672e+00
1.328000000000000000e+03 6.740000000000000000e+02 2.967359050445103730e+00 1.965720999999973406e+00
1.343000000000000000e+03 6.590000000000000000e+02 3.034901365705614751e+00 1.992156999999974198e+00
1.352000000000000000e+03 6.500000000000000000e+02 3.076923076923077094e+00 1.992249999999975429e+00
1.365000000000000000e+03 6.370000000000000000e+02 3.139717425431711284e+00 2.009416499999976402e+00
1.374000000000000000e+03 6.280000000000000000e+02 3.184713375796178525e+00 2.009599999999977182e+00
1.383000000000000000e+03 6.190000000000000000e+02 3.231017770597738092e+00 2.045175999999978345e+00
1.395000000000000000e+03 6.070000000000000000e+02 3.294892915980230708e+00 2.053177499999978561e+00
1.400000000000000000e+03 6.020000000000000000e+02 3.322259136212624586e+00 2.042886999999979025e+00
1.409000000000000000e+03 5.930000000000000000e+02 3.372681281618886917e+00 2.063046999999979647e+00
1.412000000000000000e+03 5.900000000000000000e+02 3.389830508474576121e+00 2.057624999999979387e+00
1.418000000000000000e+03 5.840000000000000000e+02 3.424657534246575263e+00 2.081375999999979687e+00
1.426000000000000000e+03 5.760000000000000000e+02 3.472222222222222321e+00 2.098079999999980405e+00
1.434000000000000000e+03 5.680000000000000000e+02 3.521126760563380476e+00 2.090239999999981446e+00
1.442000000000000000e+03 5.600000000000000000e+02 3.571428571428571619e+00 2.145639999999982450e+00
1.450000000000000000e+03 5.520000000000000000e+02 3.623188405797101552e+00 2.140931999999982960e+00
1.461000000000000000e+03 5.410000000000000000e+02 3.696857670979667443e+00 2.225944500000017534e+00
1.464000000000000000e+03 5.380000000000000000e+02 3.717472118959107785e+00 2.224899000000018834e+00
1.468000000000000000e+03 5.340000000000000000e+02 3.745318352059924916e+00 2.223576000000021313e+00
1.472000000000000000e+03 5.300000000000000000e+02 3.773584905660377409e+00 2.226795000000020952e+00
1.478000000000000000e+03 5.240000000000000000e+02 3.816793893129771131e+00 2.219926000000020494e+00
1.486000000000000000e+03 5.160000000000000000e+02 3.875968992248061795e+00 2.210802000000021472e+00
