# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
1.500000000000000000e+01 1.985000000000000000e+03 1.500000000000000000e+01 2.000000000000000000e+00 1.007556675062972307e+00 1.014999999999943725e+00 1.007556675062972307e+00 1.007387499999944147e+00
4.600000000000000000e+01 1.954000000000000000e+03 4.400000000000000000e+01 3.000000000000000000e+00 1.023541453428863823e+00 1.047999999999941423e+00 1.023541453428863823e+00 1.023895999999942852e+00
6.700000000000000000e+01 1.933000000000000000e+03 6.300000000000000000e+01 4.000000000000000000e+00 1.034661148473874803e+00 1.071999999999939446e+00 1.034661148473874803e+00 1.036087999999941500e+00
8.200000000000000000e+01 1.918000000000000000e+03 7.800000000000000000e+01 4.000000000000000000e+00 1.042752867570385877e+00 1.086999999999939126e+00 1.042752867570385877e+00 1.042432999999941545e+00
1.030000000000000000e+02 1.897000000000000000e+03 9.600000000000000000e+01 4.000000000000000000e+00 1.054296257248286794e+00 1.110999999999937815e+00 1.054296257248286794e+00 1.053783499999940920e+00
1.140000000000000000e+02 1.886000000000000000e+03 1.070000000000000000e+02 4.000000000000000000e+00 1.060445387062566303e+00 1.121999999999937270e+00 1.060445387062566303e+00 1.058045999999940756e+00
1.260000000000000000e+02 1.874000000000000000e+03 1.190000000000000000e+02 4.000000000000000000e+00 1.067235859124866515e+00 1.133999999999936836e+00 1.067235859124866515e+00 1.062557999999940828e+00
1.450000000000000000e+02 1.855000000000000000e+03 1.360000000000000000e+02 4.000000000000000000e+00 1.078167115902964879e+00 1.154999999999936966e+00 1.078167115902964879e+00 1.071262499999941609e+00
1.590000000000000000e+02 1.841000000000000000e+03 1.480000000000000000e+02 4.000000000000000000e+00 1.086366105377512215e+00 1.171999999999936870e+00 1.086366105377512215e+00 1.078825999999941887e+00
1.730000000000000000e+02 1.827000000000000000e+03 1.610000000000000000e+02 4.000000000000000000e+00 1.094690749863163726e+00 1.186999999999936772e+00 1.094690749863163726e+00 1.084324499999942182e+00
1.910000000000000000e+02 1.809000000000000000e+03 1.770000000000000000e+02 4.000000000000000000e+00 1.105583195135434016e+00 1.206999999999936790e+00 1.105583195135434016e+00 1.091731499999942789e+00
2.040000000000000000e+02 1.796000000000000000e+03 1.890000000000000000e+02 4.000000000000000000e+00 1.113585746102449869e+00 1.220999999999936803e+00 1.113585746102449869e+00 1.096457999999943311e+00
2.170000000000000000e+02 1.783000000000000000e+03 2.000000000000000000e+02 4.000000000000000000e+00 1.121704991587212596e+00 1.235999999999937593e+00 1.121704991587212596e+00 1.101893999999944418e+00
2.320000000000000000e+02 1.768000000000000000e+03 2.110000000000000000e+02 4.000000000000000000e+00 1.131221719457013553e+00 1.254999999999936611e+00 1.131221719457013553e+00 1.109419999999943895e+00
2.500000000000000000e+02 1.750000000000000000e+03 2.220000000000000000e+02 4.000000000000000000e+00 1.142857142857142794e+00 1.280999999999937300e+00 1.142857142857142794e+00 1.120874999999945221e+00
2.650000000000000000e+02 1.735000000000000000e+03 2.280000000000000000e+02 5.000000000000000000e+00 1.152737752161383300e+00 1.307999999999937657e+00 1.152737752161383300e+00 1.134689999999945798e+00
2.790000000000000000e+02 1.721000000000000000e+03 2.370000000000000000e+02 5.000000000000000000e+00 1.162115049389889521e+00 1.326999999999938007e+00 1.162115049389889521e+00 1.141883499999946761e+00
2.920000000000000000e+02 1.708000000000000000e+03 2.470000000000000000e+02 5.000000000000000000e+00 1.170960187353629944e+00 1.342999999999938687e+00 1.170960187353629944e+00 1.146921999999947595e+00
3.150000000000000000e+02 1.685000000000000000e+03 2.600000000000000000e+02 6.000000000000000000e+00 1.186943620178041447e+00 1.380999999999939165e+00 1.186943620178041447e+00 1.163492499999948748e+00
3.300000000000000000e+02 1.670000000000000000e+03 2.710000000000000000e+02 6.000000000000000000e+00 1.197604790419161569e+00 1.399999999999939737e+00 1.197604790419161569e+00 1.168999999999949857e+00
3.460000000000000000e+02 1.654000000000000000e+03 2.800000000000000000e+02 6.000000000000000000e+00 1.209189842805320492e+00 1.424999999999939648e+00 1.209189842805320492e+00 1.178474999999949979e+00
3.580000000000000000e+02 1.642000000000000000e+03 2.910000000000000000e+02 6.000000000000000000e+00 1.218026796589525063e+00 1.437999999999940215e+00 1.218026796589525063e+00 1.180597999999950742e+00
3.720000000000000000e+02 1.628000000000000000e+03 2.990000000000000000e+02 6.000000000000000000e+00 1.228501228501228448e+00 1.459999999999940679e+00 1.228501228501228448e+00 1.188439999999951757e+00
3.870000000000000000e+02 1.613000000000000000e+03 3.070000000000000000e+02 6.000000000000000000e+00 1.239925604463732123e+00 1.486999999999941258e+00 1.239925604463732123e+00 1.199265499999952578e+00
4.020000000000000000e+02 1.598000000000000000e+03 3.160000000000000000e+02 6.000000000000000000e+00 1.251564455569461831e+00 1.511999999999942057e+00 1.251564455569461831e+00 1.208087999999953643e+00
4.190000000000000000e+02 1.581000000000000000e+03 3.260000000000000000e+02 6.000000000000000000e+00 1.265022137887413134e+00 1.536999999999942190e+00 1.265022137887413134e+00 1.214998499999954129e+00
4.290000000000000000e+02 1.571000000000000000e+03 3.300000000000000000e+02 6.000000000000000000e+00 1.273074474856779048e+00 1.556999999999941986e+00 1.273074474856779048e+00 1.223023499999954522e+00
4.440000000000000000e+02 1.556000000000000000e+03 3.390000000000000000e+02 6.000000000000000000e+00 1.285347043701799530e+00 1.583999999999943009e+00 1.285347043701799530e+00 1.232351999999955705e+00
