# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
2.000000000000000000e+01 1.980000000000000000e+03 2.000000000000000000e+01 2.000000000000000000e+00 1.010101010101010166e+00 1.019999999999943396e+00 1.010101010101010166e+00 1.009799999999943854e+00
4.600000000000000000e+01 1.954000000000000000e+03 4.600000000000000000e+01 2.000000000000000000e+00 1.023541453428863823e+00 1.045999999999942087e+00 1.023541453428863823e+00 1.021941999999943507e+00
6.000000000000000000e+01 1.940000000000000000e+03 5.900000000000000000e+01 3.000000000000000000e+00 1.030927835051546282e+00 1.060999999999941767e+00 1.030927835051546282e+00 1.029169999999943519e+00
8.100000000000000000e+01 1.919000000000000000e+03 7.800000000000000000e+01 3.000000000000000000e+00 1.042209484106305428e+00 1.083999999999940123e+00 1.042209484106305428e+00 1.040097999999942457e+00
9.900000000000000000e+01 1.901000000000000000e+03 9.400000000000000000e+01 3.000000000000000000e+00 1.052077853761178350e+00 1.103999999999939030e+00 1.052077853761178350e+00 1.049351999999942109e+00
1.190000000000000000e+02 1.881000000000000000e+03 1.120000000000000000e+02 3.000000000000000000e+00 1.063264221158958023e+00 1.125999999999939272e+00 1.063264221158958023e+00 1.059002999999942851e+00
1.340000000000000000e+02 1.866000000000000000e+03 1.260000000000000000e+02 3.000000000000000000e+00 1.071811361200428747e+00 1.141999999999939286e+00 1.071811361200428747e+00 1.065485999999943312e+00
1.490000000000000000e+02 1.851000000000000000e+03 1.410000000000000000e+02 3.000000000000000000e+00 1.080497028633171208e+00 1.156999999999939188e+00 1.080497028633171208e+00 1.070803499999943842e+00
1.590000000000000000e+02 1.841000000000000000e+03 1.500000000000000000e+02 3.000000000000000000e+00 1.086366105377512215e+00 1.167999999999939309e+00 1.086366105377512215e+00 1.075143999999944144e+00
1.740000000000000000e+02 1.826000000000000000e+03 1.620000000000000000e+02 3.000000000000000000e+00 1.095290251916757995e+00 1.185999999999939325e+00 1.095290251916757995e+00 1.082817999999944547e+00
1.860000000000000000e+02 1.814000000000000000e+03 1.710000000000000000e+02 3.000000000000000000e+00 1.102535832414553552e+00 1.200999999999939449e+00 1.102535832414553552e+00 1.089306999999944958e+00
2.090000000000000000e+02 1.791000000000000000e+03 1.890000000000000000e+02 3.000000000000000000e+00 1.116694584031267423e+00 1.228999999999939030e+00 1.116694584031267423e+00 1.100569499999945355e+00
2.300000000000000000e+02 1.770000000000000000e+03 2.060000000000000000e+02 4.000000000000000000e+00 1.129943502824858781e+00 1.255999999999939831e+00 1.129943502824858781e+00 1.111559999999946813e+00
2.430000000000000000e+02 1.757000000000000000e+03 2.140000000000000000e+02 4.000000000000000000e+00 1.138303927148548667e+00 1.275999999999939849e+00 1.138303927148548667e+00 1.120965999999947060e+00
2.590000000000000000e+02 1.741000000000000000e+03 2.250000000000000000e+02 4.000000000000000000e+00 1.148765077541642698e+00 1.296999999999939535e+00 1.148765077541642698e+00 1.129038499999947431e+00
2.710000000000000000e+02 1.729000000000000000e+03 2.350000000000000000e+02 4.000000000000000000e+00 1.156737998843262005e+00 1.309999999999939879e+00 1.156737998843262005e+00 1.132494999999948071e+00
2.890000000000000000e+02 1.711000000000000000e+03 2.480000000000000000e+02 4.000000000000000000e+00 1.168907071887784976e+00 1.332999999999940677e+00 1.168907071887784976e+00 1.140381499999949089e+00
3.090000000000000000e+02 1.691000000000000000e+03 2.580000000000000000e+02 4.000000000000000000e+00 1.182732111176818535e+00 1.363999999999940815e+00 1.182732111176818535e+00 1.153261999999949827e+00
3.230000000000000000e+02 1.677000000000000000e+03 2.670000000000000000e+02 4.000000000000000000e+00 1.192605843768634433e+00 1.383999999999940833e+00 1.192605843768634433e+00 1.160483999999950333e+00
3.430000000000000000e+02 1.657000000000000000e+03 2.790000000000000000e+02 4.000000000000000000e+00 1.207000603500301805e+00 1.413999999999941748e+00 1.207000603500301805e+00 1.171498999999951662e+00
3.600000000000000000e+02 1.640000000000000000e+03 2.870000000000000000e+02 5.000000000000000000e+00 1.219512195121951192e+00 1.443999999999941775e+00 1.219512195121951192e+00 1.184079999999952282e+00
3.730000000000000000e+02 1.627000000000000000e+03 2.930000000000000000e+02 5.000000000000000000e+00 1.229256299938537245e+00 1.465999999999942016e+00 1.229256299938537245e+00 1.192590999999952883e+00
3.820000000000000000e+02 1.618000000000000000e+03 2.970000000000000000e+02 5.000000000000000000e+00 1.236093943139678686e+00 1.481999999999942697e+00 1.236093943139678686e+00 1.198937999999953652e+00
3.970000000000000000e+02 1.603000000000000000e+03 3.090000000000000000e+02 5.000000000000000000e+00 1.247660636306924475e+00 1.502999999999943492e+00 1.247660636306924475e+00 1.204654499999954664e+00
4.090000000000000000e+02 1.591000000000000000e+03 3.120000000000000000e+02 5.000000000000000000e+00 1.257071024512884883e+00 1.525999999999943624e+00 1.257071024512884883e+00 1.213932999999955298e+00
4.230000000000000000e+02 1.577000000000000000e+03 3.190000000000000000e+02 5.000000000000000000e+00 1.268230818008877714e+00 1.546999999999943309e+00 1.268230818008877714e+00 1.219809499999955138e+00
4.290000000000000000e+02 1.571000000000000000e+03 3.250000000000000000e+02 5.000000000000000000e+00 1.273074474856779048e+00 1.552999999999943981e+00 1.273074474856779048e+00 1.219881499999956098e+00
4.400000000000000000e+02 1.560000000000000000e+03 3.310000000000000000e+02 5.000000000000000000e+00 1.282051282051282159e+00 1.570999999999944663e+00 1.282051282051282159e+00 1.225379999999956837e+00
4.510000000000000000e+02 1.549000000000000000e+03 3.370000000000000000e+02 5.000000000000000000e+00 1.291155584247901889e+00 1.589999999999945457e+00 1.291155584247901889e+00 1.231454999999957778e+00
4.610000000000000000e+02 1.539000000000000000e+03 3.450000000000000000e+02 5.000000000000000000e+00 1.299545159194281929e+00 1.601999999999946134e+00 1.299545159194281929e+00 1.232738999999958729e+00
4.680000000000000000e+02 1.532000000000000000e+03 3.460000000000000000e+02 7.000000000000000000e+00 1.305483028720626715e+00 1.626999999999945601e+00 1.305483028720626715e+00 1.246281999999958146e+00
4.780000000000000000e+02 1.522000000000000000e+03 3.490000000000000000e+02 7.000000000000000000e+00 1.314060446780551894e+00 1.647999999999945731e+00 1.314060446780551894e+00 1.254127999999958609e+00
4.890000000000000000e+02 1.511000000000000000e+03 3.540000000000000000e+02 7.000000000000000000e+00 1.323626737260092723e+00 1.667999999999945970e+00 1.323626737260092723e+00 1.260173999999959049e+00
