# cr len_gsub, pn, pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
5.470000000000000000e+02 1.453000000000000000e+03 1.376462491397109522e+00 1.179109499999965172e+00
9.160000000000000000e+02 1.084000000000000000e+03 1.845018450184501946e+00 1.429796000000020273e+00
1.109000000000000000e+03 8.910000000000000000e+02 2.244668911335577999e+00 1.627411500000017996e+00
1.234000000000000000e+03 7.690000000000000000e+02 2.600780234070220853e+00 1.735248499999976213e+00
1.300000000000000000e+03 7.040000000000000000e+02 2.840909090909090828e+00 1.788511999999974789e+00
1.346000000000000000e+03 6.580000000000000000e+02 3.039513677811550352e+00 1.792391999999978669e+00
1.383000000000000000e+03 6.200000000000000000e+02 3.225806451612903025e+00 1.791179999999980899e+00
1.415000000000000000e+03 5.880000000000000000e+02 3.401360544217686854e+00 1.831619999999983373e+00
1.432000000000000000e+03 5.720000000000000000e+02 3.496503496503496677e+00 1.865577999999983305e+00
1.444000000000000000e+03 5.600000000000000000e+02 3.571428571428571619e+00 1.888879999999984127e+00
1.453000000000000000e+03 5.510000000000000000e+02 3.629764065335753020e+00 1.891307499999985708e+00
1.474000000000000000e+03 5.310000000000000000e+02 3.766478342749528974e+00 1.884518999999986288e+00
1.489000000000000000e+03 5.160000000000000000e+02 3.875968992248061795e+00 1.914617999999986386e+00
1.498000000000000000e+03 5.070000000000000000e+02 3.944773175542406474e+00 1.928881499999986815e+00
1.502000000000000000e+03 5.030000000000000000e+02 3.976143141153081650e+00 1.849279499999987531e+00
1.513000000000000000e+03 4.920000000000000000e+02 4.065040650406504419e+00 1.943399999999987582e+00
1.510000000000000000e+03 4.950000000000000000e+02 4.040404040404040664e+00 1.927034999999987397e+00
1.515000000000000000e+03 4.900000000000000000e+02 4.081632653061224580e+00 1.943094999999987804e+00
1.521000000000000000e+03 4.840000000000000000e+02 4.132231404958677246e+00 1.972784000000011639e+00
1.538000000000000000e+03 4.670000000000000000e+02 4.282655246252677017e+00 1.988719500000015072e+00
1.542000000000000000e+03 4.630000000000000000e+02 4.319654427645787997e+00 1.958721500000013771e+00
1.541000000000000000e+03 4.640000000000000000e+02 4.310344827586207295e+00 1.936272000000011762e+00
1.547000000000000000e+03 4.580000000000000000e+02 4.366812227074236219e+00 2.007643000000016276e+00
1.549000000000000000e+03 4.550000000000000000e+02 4.395604395604395975e+00 2.049320000000018460e+00
1.546000000000000000e+03 4.590000000000000000e+02 4.357298474945533684e+00 2.029239000000017334e+00
1.554000000000000000e+03 4.510000000000000000e+02 4.434589800443458962e+00 2.044608500000018481e+00
1.560000000000000000e+03 4.440000000000000000e+02 4.504504504504504681e+00 2.119212000000018303e+00
1.565000000000000000e+03 4.390000000000000000e+02 4.555808656036446358e+00 2.034765000000017476e+00
1.573000000000000000e+03 4.310000000000000000e+02 4.640371229698375899e+00 2.027855000000016616e+00
1.574000000000000000e+03 4.300000000000000000e+02 4.651162790697674687e+00 2.025945000000015206e+00
1.561000000000000000e+03 4.430000000000000000e+02 4.514672686230248644e+00 2.002138500000015586e+00
1.567000000000000000e+03 4.370000000000000000e+02 4.576659038901602194e+00 2.022654500000016675e+00
1.571000000000000000e+03 4.330000000000000000e+02 4.618937644341801096e+00 2.028388500000015249e+00
1.572000000000000000e+03 4.320000000000000000e+02 4.629629629629629761e+00 2.011824000000015822e+00
1.573000000000000000e+03 4.310000000000000000e+02 4.640371229698375899e+00 2.219434500000016630e+00
1.576000000000000000e+03 4.280000000000000000e+02 4.672897196261682318e+00 1.996620000000015160e+00
1.590000000000000000e+03 4.140000000000000000e+02 4.830917874396135403e+00 2.321298000000015627e+00
1.585000000000000000e+03 4.190000000000000000e+02 4.773269689737469790e+00 2.211272500000014851e+00
1.584000000000000000e+03 4.200000000000000000e+02 4.761904761904761862e+00 2.025660000000014449e+00
1.585000000000000000e+03 4.190000000000000000e+02 4.773269689737469790e+00 2.241650000000015019e+00
1.586000000000000000e+03 4.170000000000000000e+02 4.796163069544364888e+00 2.327902500000014197e+00
1.597000000000000000e+03 4.070000000000000000e+02 4.914004914004913793e+00 2.192916000000014520e+00
1.594000000000000000e+03 4.090000000000000000e+02 4.889975550122249714e+00 2.304510500000013895e+00
1.593000000000000000e+03 4.100000000000000000e+02 4.878048780487804770e+00 2.005515000000013703e+00
1.599000000000000000e+03 4.040000000000000000e+02 4.950495049504950451e+00 2.001618000000012998e+00
1.601000000000000000e+03 4.020000000000000000e+02 4.975124378109452294e+00 2.306676000000013271e+00
1.604000000000000000e+03 3.980000000000000000e+02 5.025125628140703959e+00 2.351185000000013403e+00
1.607000000000000000e+03 3.950000000000000000e+02 5.063291139240506666e+00 2.207655000000011913e+00
1.598000000000000000e+03 4.040000000000000000e+02 4.950495049504950451e+00 2.135948000000012392e+00
1.602000000000000000e+03 4.000000000000000000e+02 5.000000000000000000e+00 2.111600000000012578e+00
1.609000000000000000e+03 3.930000000000000000e+02 5.089058524173028175e+00 2.261125500000012334e+00
1.610000000000000000e+03 3.920000000000000000e+02 5.102040816326530503e+00 2.338084000000013596e+00
1.608000000000000000e+03 3.950000000000000000e+02 5.063291139240506666e+00 2.295345000000012625e+00
1.604000000000000000e+03 3.990000000000000000e+02 5.012531328320801727e+00 2.093353500000013412e+00
1.609000000000000000e+03 3.950000000000000000e+02 5.063291139240506666e+00 1.998700000000012356e+00
1.612000000000000000e+03 3.920000000000000000e+02 5.102040816326530503e+00 2.035460000000012037e+00
1.613000000000000000e+03 3.910000000000000000e+02 5.115089514066496257e+00 2.092632000000012482e+00
1.615000000000000000e+03 3.890000000000000000e+02 5.141388174807198119e+00 2.111103000000012386e+00
1.623000000000000000e+03 3.810000000000000000e+02 5.249343832020997525e+00 2.189226000000012551e+00
1.630000000000000000e+03 3.740000000000000000e+02 5.347593582887700592e+00 2.108051000000012554e+00
1.626000000000000000e+03 3.790000000000000000e+02 5.277044854881266289e+00 2.105345000000010458e+00
1.632000000000000000e+03 3.730000000000000000e+02 5.361930294906166239e+00 2.095887000000010936e+00
1.633000000000000000e+03 3.720000000000000000e+02 5.376344086021505042e+00 2.100684000000011764e+00
1.631000000000000000e+03 3.740000000000000000e+02 5.347593582887700592e+00 2.085611000000011206e+00
1.639000000000000000e+03 3.660000000000000000e+02 5.464480874316939740e+00 2.108892000000011091e+00
1.637000000000000000e+03 3.680000000000000000e+02 5.434782608695652328e+00 2.124096000000010420e+00
1.639000000000000000e+03 3.660000000000000000e+02 5.464480874316939740e+00 2.120421000000010547e+00
1.643000000000000000e+03 3.620000000000000000e+02 5.524861878453038777e+00 2.129103000000010404e+00
1.642000000000000000e+03 3.630000000000000000e+02 5.509641873278236623e+00 2.125909500000010777e+00
1.643000000000000000e+03 3.620000000000000000e+02 5.524861878453038777e+00 2.151366000000009659e+00
1.646000000000000000e+03 3.590000000000000000e+02 5.571030640668523937e+00 2.067122000000009230e+00
1.640000000000000000e+03 3.650000000000000000e+02 5.479452054794520244e+00 2.109152500000010200e+00
1.642000000000000000e+03 3.630000000000000000e+02 5.509641873278236623e+00 2.107941000000010057e+00
1.644000000000000000e+03 3.600000000000000000e+02 5.555555555555555358e+00 2.109420000000008955e+00
1.646000000000000000e+03 3.580000000000000000e+02 5.586592178770949602e+00 2.085887000000008928e+00
1.649000000000000000e+03 3.550000000000000000e+02 5.633802816901408050e+00 2.102132500000009507e+00
1.641000000000000000e+03 3.630000000000000000e+02 5.509641873278236623e+00 2.074908000000009523e+00
1.648000000000000000e+03 3.560000000000000000e+02 5.617977528089888040e+00 2.069784000000008284e+00
1.647000000000000000e+03 3.570000000000000000e+02 5.602240896358543054e+00 2.104693500000008655e+00
1.655000000000000000e+03 3.490000000000000000e+02 5.730659025787965710e+00 2.026119500000006735e+00
1.656000000000000000e+03 3.480000000000000000e+02 5.747126436781608838e+00 2.017356000000007921e+00
1.658000000000000000e+03 3.460000000000000000e+02 5.780346820809248776e+00 1.940714000000006934e+00
1.656000000000000000e+03 3.480000000000000000e+02 5.747126436781608838e+00 2.047110000000006647e+00
1.649000000000000000e+03 3.550000000000000000e+02 5.633802816901408050e+00 2.088997500000008056e+00
1.657000000000000000e+03 3.470000000000000000e+02 5.763688760806916278e+00 2.036716500000006480e+00
1.647000000000000000e+03 3.570000000000000000e+02 5.602240896358543054e+00 1.993131000000008202e+00
1.657000000000000000e+03 3.470000000000000000e+02 5.763688760806916278e+00 2.068987500000007085e+00
1.654000000000000000e+03 3.500000000000000000e+02 5.714285714285714413e+00 2.037875000000006764e+00
1.656000000000000000e+03 3.480000000000000000e+02 5.747126436781608838e+00 2.048676000000007047e+00
1.662000000000000000e+03 3.420000000000000000e+02 5.847953216374269125e+00 2.038662000000007524e+00
1.660000000000000000e+03 3.440000000000000000e+02 5.813953488372092693e+00 1.993136000000007568e+00
1.657000000000000000e+03 3.460000000000000000e+02 5.780346820809248776e+00 1.987943000000007565e+00
1.658000000000000000e+03 3.450000000000000000e+02 5.797101449275362306e+00 2.114160000000007589e+00
1.661000000000000000e+03 3.420000000000000000e+02 5.847953216374269125e+00 2.052000000000007596e+00
1.656000000000000000e+03 3.480000000000000000e+02 5.747126436781608838e+00 2.051634000000007507e+00
1.659000000000000000e+03 3.450000000000000000e+02 5.797101449275362306e+00 2.034292500000006498e+00
1.657000000000000000e+03 3.470000000000000000e+02 5.763688760806916278e+00 2.062915000000007382e+00
1.658000000000000000e+03 3.460000000000000000e+02 5.780346820809248776e+00 2.114406000000006447e+00
1.655000000000000000e+03 3.490000000000000000e+02 5.730659025787965710e+00 1.979528000000007948e+00
1.667000000000000000e+03 3.370000000000000000e+02 5.934718100890207459e+00 2.013238000000007411e+00
1.676000000000000000e+03 3.280000000000000000e+02 6.097560975609756184e+00 2.145940000000007508e+00
1.675000000000000000e+03 3.290000000000000000e+02 6.079027355623100703e+00 2.213018500000007549e+00
1.678000000000000000e+03 3.260000000000000000e+02 6.134969325153374342e+00 2.077598000000006717e+00
1.672000000000000000e+03 3.320000000000000000e+02 6.024096385542168974e+00 2.105710000000007298e+00
1.676000000000000000e+03 3.280000000000000000e+02 6.097560975609756184e+00 2.076076000000006694e+00
1.681000000000000000e+03 3.230000000000000000e+02 6.191950464396285270e+00 2.038614500000006213e+00
1.679000000000000000e+03 3.240000000000000000e+02 6.172839506172839386e+00 2.078136000000005534e+00
1.677000000000000000e+03 3.260000000000000000e+02 6.134969325153374342e+00 2.068796000000006075e+00
1.674000000000000000e+03 3.280000000000000000e+02 6.097560975609756184e+00 2.092804000000006326e+00
1.675000000000000000e+03 3.280000000000000000e+02 6.097560975609756184e+00 2.018840000000006185e+00
