step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	15737.1	0	10063.7	0	0	-nan
1000	1	4.34542	26072.5	0	17308.9	4745.27	0	16399.6	2843.81	8548.42	0.084	168	0
2000	2	4.45352	26721.1	329.371	56628.6	4876.46	276.857	16372.3	2101.4	8113.23	0.1475	295	0.569492
3000	3	4.46689	27726	731.54	76707.1	5056.91	595.442	17449.6	3663.21	7453.36	0.209	418	0.705742
4000	4	4.58376	29269.6	1006.01	72344.6	5015.71	887.396	18393.9	16720.8	7437.64	0.266	532	0.785714
5000	5	4.53194	29693.2	1094.03	161932	4658.18	1099.15	19234.1	11794.9	7008.21	0.3115	623	0.849117
6000	6	4.50875	30265	1445.79	193455	4881.82	1570.11	19657.6	1768.54	6890.1	0.36	720	0.863889
7000	7	4.5043	30924.3	1683.51	437593	5067.93	1853.68	19984.7	2289.3	6758.25	0.4025	805	0.893168
8000	8	4.62566	32402.8	1631.36	440934	4779.74	2059.84	20464.4	46931	6550.69	0.443	886	0.908578
9000	9	4.59683	32786.9	2108.26	461371	5104.76	2564.05	20430.9	4230	6586.14	0.477	954	0.927673
10000	10	4.55279	32998.6	2220.35	457412	5349.95	2926.36	20787.9	4710.44	6392.92	0.505	1010	0.939604
11000	11	4.62515	34008.7	2205.41	442012	4942.47	3015.98	20892.4	1600.23	6511.07	0.529	1058	0.94896
12000	12	4.54707	33823.4	2346.2	220162	4852.63	3133.13	20923.8	6412.59	5995.02	0.549	1098	0.959927
13000	13	4.59986	34561.1	2467.24	325173	4772.37	3350.15	20701.3	588.199	6345	0.567	1134	0.965608
14000	14	4.47691	33966.3	2644.46	333989	5010.34	3542.72	20813.7	3049.26	6222.58	0.5805	1161	0.971576
15000	15	4.55535	34780.1	2640.74	508818	5040.89	3757.13	21223.2	714.037	6097.45	0.593	1186	0.971332
16000	16	4.58118	35217.8	2614.54	363362	4757.5	3745.75	21215.8	763.925	6133.22	0.6075	1215	0.975309
17000	17	4.53654	35078.8	2600.97	681768	5082.99	4021.08	21287.5	523.404	6291.17	0.624	1248	0.967147
18000	18	4.58169	35647.8	2965.64	200471	5004.48	3945.1	21114.8	486.659	6175.83	0.632	1264	0.982595
19000	19	4.53772	35510	2959.62	218606	4647.75	4048.7	21076.7	464.701	6041.63	0.641	1282	0.979719
20000	20	4.42987	34798.8	3007.84	344123	5164.56	4172.96	20847.9	363.686	5998.96	0.6525	1305	0.978544
21000	21	4.4867	35413.5	3118.91	214240	4775.63	4213.15	20914.9	205.927	5879.97	0.6585	1317	0.987092
22000	22	4.52192	35820.4	2808.46	498633	4562.7	4314.69	21000.3	315.763	5855	0.6685	1337	0.982049
23000	23	4.48854	35636.8	3138.98	411675	4766.95	4452.78	20520.6	8908.93	5953.6	0.6785	1357	0.981577
24000	24	4.59782	36614.7	3145.09	198206	4687.58	4491.16	21013.5	441.857	5859.84	0.683	1366	0.988287
25000	25	4.53365	36253.3	2986.53	394032	5026.82	4625.18	21266.6	191.825	5671.53	0.691	1382	0.982634
26000	26	4.54135	36376.3	3054.32	418337	4773.8	4563.66	21090.9	520.14	5813.74	0.701	1402	0.980742
27000	27	4.5517	36568.4	2923.68	220643	4758.2	4763.95	20234.6	2571.67	5836.68	0.7055	1411	0.988661
28000	28	4.52657	36515.9	3296.67	170544	4464.84	4686.32	20741.4	738.229	5805.95	0.712	1424	0.988764
29000	29	4.55718	36810.6	3184.25	302118	4967.64	4771.45	20648.5	310.976	5821.48	0.7185	1437	0.98469
30000	30	4.57958	37060.2	3104.48	400003	5030.04	4671.21	20730.6	1142.05	5740.02	0.7235	1447	0.986869
31000	31	4.51995	36611.6	3157.35	175054	4693.87	4687.93	20669.4	1312.27	6010.35	0.723	1446	0.993084
32000	32	4.5328	36858.4	3251.48	201108	4695.37	4814.76	20624.5	239.379	5867.2	0.725	1450	0.992414
33000	33	4.5361	36912.5	3230.43	98215.7	4740.25	4832.07	20960	142.812	5628.97	0.7245	1449	0.995169
34000	34	4.49662	36638.5	3350.12	228965	4900.78	5042.35	21040.7	69.4405	5592.39	0.729	1458	0.990398
35000	35	4.5782	37220.8	3126.85	507611	4690.04	4903.47	20693.6	126.492	5678.98	0.7265	1453	0.989677
36000	36	4.5334	36877	3303.14	455314	4842.65	5073.42	20855.6	24.7522	6009.85	0.733	1466	0.986357
37000	37	4.57839	37318.4	3291.33	517385	4630.1	5155.67	20699.6	535.561	5859.19	0.74	1480	0.986486
38000	38	4.58303	37356.3	3419.33	173971	4750.25	5025.68	20961.3	1216.59	5837.38	0.7395	1479	0.99121
39000	39	4.49649	36731.9	3151.23	424780	4643.62	5141.76	21025.1	207.633	6104.3	0.744	1488	0.987903
40000	40	4.53689	37095.8	3221.51	394216	4793.27	5184.08	21168.1	141.545	6102.5	0.7475	1495	0.98796
41000	41	4.56494	37386.8	3551.49	184994	4911.42	5266.44	21105	375.348	5747.44	0.75	1500	0.992
42000	42	4.47235	36675.5	3226.66	165868	4744.97	5241.49	20816.1	66.7987	5876.61	0.751	1502	0.992011
43000	43	4.5593	37388.5	3250.82	373760	4928.85	5261.54	21050	7172.92	5780.5	0.752	1504	0.989362
44000	44	4.48605	36801.3	3246.72	271473	4679.46	5264.33	21193.6	294.052	5756.64	0.7545	1509	0.991385
45000	45	4.53106	37238.5	3233.72	365552	4576.23	5396.93	21173.6	445.434	5678.72	0.7575	1515	0.990099
46000	46	4.56833	37524.3	3312.43	164638	4830.72	5277.64	21051.9	200.839	5762.98	0.7575	1515	0.991419
47000	47	4.50727	37110.6	3530.02	321305	4649.85	5225.33	20630.2	168.851	5907.01	0.761	1522	0.992116
48000	48	4.47409	36857.6	3440.47	178401	4621.54	5246.67	21103.9	341.831	5661.9	0.7615	1523	0.993434
49000	49	4.44324	36643.4	3575.32	95449.3	4635.64	5392.21	20949.5	45.6192	5659.8	0.7635	1527	0.992141
50000	50	4.50625	37156.3	3413.92	164247	4877.23	5431.9	20676.2	477.197	5377.52	0.765	1530	0.992157
51000	51	4.47865	36935.4	3476.83	208137	4907.97	5319.32	20817.2	129.7	5550.67	0.767	1534	0.992177
52000	52	4.45443	36755.7	3379.88	76395.7	4786.25	5285.85	21009.8	179.706	5755.83	0.7685	1537	0.98959
53000	53	4.54281	37491.9	3495.7	278778	4538.27	5272.79	20407.9	120.909	5349.54	0.7685	1537	0.992843
54000	54	4.61951	38131.8	3345.18	279163	4641.63	5343.56	20830.8	420.498	5489.87	0.7695	1539	0.990903
55000	55	4.42201	36541.3	3644.27	215497	4813.86	5478.54	21107.8	180.675	5387.91	0.7715	1543	0.992871
56000	56	4.45827	36887.7	3379.03	134223	4820.62	5407.54	21052.3	1271.59	5264.02	0.773	1546	0.993532
57000	57	4.39434	36365.4	3453.93	202182	4457.79	5221.6	21268.7	396.04	5355.65	0.775	1550	0.991613
58000	58	4.4373	36727.6	3432.31	175263	4666.96	5361.24	20741.9	92.9086	5525.17	0.775	1550	0.992903
59000	59	4.49446	37254.6	3664.86	114341	4857.14	5250.51	21121.9	253.187	5510.8	0.778	1556	0.992288
60000	60	4.52329	37527.5	3234.37	269709	4745.28	5403.9	20412.4	166.481	5679.12	0.78	1560	0.991667
61000	61	4.4969	37308.5	3361.96	392760	4919.63	5463.37	20810.2	142.751	5665.6	0.779	1558	0.99294
62000	62	4.50806	37421.4	3687.49	166880	4633.93	5481.28	21250.3	174.528	5770.22	0.781	1562	0.992318
63000	63	4.4516	36939.4	3641.43	230603	4855.77	5498.93	21245.6	775.191	5781.39	0.7825	1565	0.991054
64000	64	4.47798	37178.4	3667.24	96340.5	4584.55	5467.14	21078.3	74.8385	5777.5	0.783	1566	0.994891
65000	65	4.48529	37259.3	3570.74	132302	4566.69	5436.02	20654.5	319.079	5803.56	0.783	1566	0.991699
66000	66	4.46168	37069.9	3539.9	147379	4916.98	5442.12	20512.6	35430.3	5853.89	0.786	1572	0.992366
67000	67	4.53193	37653.6	3606.17	190440	4430.86	5449.01	20619.4	197.821	5866.64	0.7855	1571	0.992998
68000	68	4.35727	36241.6	3652.16	318049	4550.38	5449.42	21351.2	108.658	5767.05	0.7875	1575	0.991111
