# cr len_gsub, pn, pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
5.000000000000000000e+00 1.995000000000000000e+03 1.002506265664160345e+00 1.002487499999945131e+00
6.000000000000000000e+00 1.994000000000000000e+03 1.003009027081243731e+00 1.002981999999945195e+00
9.000000000000000000e+00 1.991000000000000000e+03 1.004520341536916161e+00 1.004459499999944772e+00
1.100000000000000000e+01 1.989000000000000000e+03 1.005530417295123158e+00 1.005439499999944974e+00
1.200000000000000000e+01 1.988000000000000000e+03 1.006036217303822866e+00 1.005927999999944866e+00
1.400000000000000000e+01 1.986000000000000000e+03 1.007049345417925457e+00 1.006901999999944675e+00
1.500000000000000000e+01 1.985000000000000000e+03 1.007556675062972307e+00 1.007387499999944591e+00
1.700000000000000000e+01 1.983000000000000000e+03 1.008572869389813498e+00 1.008355499999944449e+00
1.900000000000000000e+01 1.981000000000000000e+03 1.009591115598182709e+00 1.009319499999944414e+00
2.100000000000000000e+01 1.979000000000000000e+03 1.010611419909045017e+00 1.010279499999944264e+00
2.300000000000000000e+01 1.977000000000000000e+03 1.011633788568538250e+00 1.011235499999943999e+00
2.700000000000000000e+01 1.973000000000000000e+03 1.013684744044602182e+00 1.013135499999943789e+00
3.000000000000000000e+01 1.970000000000000000e+03 1.015228426395939021e+00 1.014549999999943664e+00
3.100000000000000000e+01 1.969000000000000000e+03 1.015744032503808958e+00 1.015019499999943564e+00
3.200000000000000000e+01 1.968000000000000000e+03 1.016260162601626105e+00 1.016471999999942977e+00
3.400000000000000000e+01 1.966000000000000000e+03 1.017293997965412089e+00 1.017404999999942827e+00
3.600000000000000000e+01 1.964000000000000000e+03 1.018329938900203624e+00 1.018333999999943229e+00
3.700000000000000000e+01 1.963000000000000000e+03 1.018848700967906362e+00 1.018796999999943109e+00
3.800000000000000000e+01 1.962000000000000000e+03 1.019367991845055998e+00 1.019258999999943072e+00
4.000000000000000000e+01 1.960000000000000000e+03 1.020408163265306145e+00 1.021159999999943002e+00
4.600000000000000000e+01 1.954000000000000000e+03 1.023541453428863823e+00 1.025849999999942641e+00
4.700000000000000000e+01 1.953000000000000000e+03 1.024065540194572410e+00 1.026301499999942468e+00
4.800000000000000000e+01 1.952000000000000000e+03 1.024590163934426146e+00 1.026751999999942377e+00
5.000000000000000000e+01 1.950000000000000000e+03 1.025641025641025550e+00 1.029599999999942117e+00
5.100000000000000000e+01 1.949000000000000000e+03 1.026167265264237960e+00 1.030046499999942133e+00
5.300000000000000000e+01 1.947000000000000000e+03 1.027221366204416952e+00 1.030936499999942191e+00
5.400000000000000000e+01 1.946000000000000000e+03 1.027749229188078095e+00 1.031379999999942232e+00
5.600000000000000000e+01 1.944000000000000000e+03 1.028806584362139898e+00 1.032263999999942339e+00
5.800000000000000000e+01 1.942000000000000000e+03 1.029866117404737436e+00 1.033143999999942331e+00
6.000000000000000000e+01 1.940000000000000000e+03 1.030927835051546282e+00 1.034019999999942208e+00
6.400000000000000000e+01 1.936000000000000000e+03 1.033057851239669311e+00 1.035759999999941838e+00
6.600000000000000000e+01 1.934000000000000000e+03 1.034126163391933861e+00 1.037590999999941532e+00
6.700000000000000000e+01 1.933000000000000000e+03 1.034661148473874803e+00 1.038020999999941463e+00
