# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
1.700000000000000000e+01 1.983000000000000000e+03 1.008572869389813498e+00 1.016999999999943505e+00 1.008572869389813498e+00 1.008355499999944005e+00
3.600000000000000000e+01 1.964000000000000000e+03 1.018329938900203624e+00 1.035999999999942522e+00 1.018329938900203624e+00 1.017351999999943635e+00
5.600000000000000000e+01 1.944000000000000000e+03 1.028806584362139898e+00 1.057999999999941210e+00 1.028806584362139898e+00 1.028375999999942891e+00
7.700000000000000000e+01 1.923000000000000000e+03 1.040041601664066562e+00 1.081999999999940121e+00 1.040041601664066562e+00 1.040342999999942508e+00
9.000000000000000000e+01 1.910000000000000000e+03 1.047120418848167533e+00 1.096999999999939801e+00 1.047120418848167533e+00 1.047634999999942584e+00
1.080000000000000000e+02 1.892000000000000000e+03 1.057082452431289621e+00 1.116999999999938487e+00 1.057082452431289621e+00 1.056681999999941723e+00
1.300000000000000000e+02 1.870000000000000000e+03 1.069518716577540163e+00 1.140999999999936954e+00 1.069518716577540163e+00 1.066834999999940914e+00
1.480000000000000000e+02 1.852000000000000000e+03 1.079913606911446999e+00 1.160999999999936305e+00 1.079913606911446999e+00 1.075085999999941144e+00
1.640000000000000000e+02 1.836000000000000000e+03 1.089324618736383421e+00 1.180999999999936101e+00 1.089324618736383421e+00 1.084157999999941335e+00
1.840000000000000000e+02 1.816000000000000000e+03 1.101321585903083600e+00 1.206999999999935680e+00 1.101321585903083600e+00 1.095955999999941755e+00
1.990000000000000000e+02 1.801000000000000000e+03 1.110494169905607897e+00 1.227999999999935810e+00 1.110494169905607897e+00 1.105813999999942343e+00
2.130000000000000000e+02 1.787000000000000000e+03 1.119194180190262955e+00 1.248999999999936605e+00 1.119194180190262955e+00 1.115981499999943338e+00
2.280000000000000000e+02 1.772000000000000000e+03 1.128668171557562161e+00 1.267999999999936289e+00 1.128668171557562161e+00 1.123447999999943381e+00
2.440000000000000000e+02 1.756000000000000000e+03 1.138952164009111589e+00 1.298999999999935984e+00 1.138952164009111589e+00 1.140521999999943858e+00
2.540000000000000000e+02 1.746000000000000000e+03 1.145475372279495918e+00 1.314999999999935998e+00 1.145475372279495918e+00 1.147994999999944143e+00
2.780000000000000000e+02 1.722000000000000000e+03 1.161440185830429739e+00 1.341999999999936577e+00 1.161440185830429739e+00 1.155461999999945366e+00
2.920000000000000000e+02 1.708000000000000000e+03 1.170960187353629944e+00 1.356999999999936923e+00 1.170960187353629944e+00 1.158877999999946118e+00
