step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
0	0	2.66784	16007	237.165	5087.16	4467.66	0	0	25793.6	0	0	0
1000	1	4.39896	26393.8	255.802	5039.95	4460.1	0	0	25099.9	0	0	0
2000	2	4.42712	26562.7	256.141	4894.2	4545.08	0	0	25676.2	0	0	0
3000	3	4.52174	27130.5	271.733	5165.91	4525.97	0	0	26324.6	0	0	0
4000	4	4.45691	26741.4	273.606	5339.26	4143.41	0	0	25321.6	0	0	0
5000	5	4.49893	26993.6	264.856	5381.99	4468.62	0	0	25438.2	0	0	0
6000	6	4.45826	26749.6	260.554	5637.68	4348.99	0	0	25692.9	0	0	0
7000	7	4.38935	26336.1	266.273	5222.42	4294.26	0	0	25914.1	0	0	0
8000	8	4.36221	26173.3	268.89	5203.79	4145.04	0	0	25791.7	0	0	0
9000	9	4.40693	26441.6	262.013	5149.33	4455.29	0	0	25837.7	0	0	0
10000	10	4.40544	26432.6	264.145	5168.94	4654.51	0	0	25893.1	0	0	0
11000	11	4.34486	26069.2	264.318	5297.75	4389.55	0	0	25511.7	0	0	0
12000	12	4.3565	26139	256.028	4984.17	4553.53	0	0	25081.4	0	0	0
13000	13	4.4202	26521.2	271.315	5139.31	4437.87	0	0	25271.2	0	0	0
14000	14	4.40473	26428.4	271.105	4861.52	4601.1	0	0	25109.6	0	0	0
15000	15	4.35845	26150.7	266.531	5061.27	4589.78	0	0	25231.8	0	0	0
16000	16	4.47171	26830.3	259.795	5229.57	4588.94	0	0	25942.2	0	0	0
17000	17	4.45509	26730.6	261.113	5040.07	4401.21	0	0	25351.2	0	0	0
18000	18	4.36244	26174.7	267.842	5134.14	4471.15	0	0	25528.8	0	0	0
19000	19	4.40641	26438.4	267.244	5046.8	4166.2	0	0	25831.1	0	0	0
20000	20	4.47221	26833.3	267.931	5081.3	4115.52	0	0	25634.1	0	0	0
21000	21	4.31599	25896	270.361	5341.8	4311.99	0	0	25842.8	0	0	0
22000	22	4.36684	26201	268.486	5475.21	4538.16	0	0	25604.1	0	0	0
