# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
1.000000000000000000e+00 1.999000000000000000e+03 1.000000000000000000e+00 2.000000000000000000e+00 1.000500250125062607e+00 1.000999999999945267e+00 1.000500250125062607e+00 1.000499499999945252e+00
4.000000000000000000e+00 1.996000000000000000e+03 4.000000000000000000e+00 2.000000000000000000e+00 1.002004008016031955e+00 1.003999999999945159e+00 1.002004008016031955e+00 1.001991999999945371e+00
8.000000000000000000e+00 1.992000000000000000e+03 8.000000000000000000e+00 2.000000000000000000e+00 1.004016064257028162e+00 1.007999999999944718e+00 1.004016064257028162e+00 1.003967999999944904e+00
9.000000000000000000e+00 1.991000000000000000e+03 9.000000000000000000e+00 2.000000000000000000e+00 1.004520341536916161e+00 1.008999999999944608e+00 1.004520341536916161e+00 1.004459499999944772e+00
1.200000000000000000e+01 1.988000000000000000e+03 1.200000000000000000e+01 2.000000000000000000e+00 1.006036217303822866e+00 1.011999999999944277e+00 1.006036217303822866e+00 1.005927999999944644e+00
1.500000000000000000e+01 1.985000000000000000e+03 1.500000000000000000e+01 2.000000000000000000e+00 1.007556675062972307e+00 1.014999999999943947e+00 1.007556675062972307e+00 1.007387499999944369e+00
1.700000000000000000e+01 1.983000000000000000e+03 1.700000000000000000e+01 2.000000000000000000e+00 1.008572869389813498e+00 1.016999999999943949e+00 1.008572869389813498e+00 1.008355499999944449e+00
1.700000000000000000e+01 1.983000000000000000e+03 1.700000000000000000e+01 2.000000000000000000e+00 1.008572869389813498e+00 1.016999999999943949e+00 1.008572869389813498e+00 1.008355499999944449e+00
2.200000000000000000e+01 1.978000000000000000e+03 2.200000000000000000e+01 2.000000000000000000e+00 1.011122345803842304e+00 1.021999999999943398e+00 1.011122345803842304e+00 1.010757999999944090e+00
2.500000000000000000e+01 1.975000000000000000e+03 2.500000000000000000e+01 2.000000000000000000e+00 1.012658227848101333e+00 1.024999999999943290e+00 1.012658227848101333e+00 1.012187499999943840e+00
2.600000000000000000e+01 1.974000000000000000e+03 2.600000000000000000e+01 2.000000000000000000e+00 1.013171225937183451e+00 1.025999999999943180e+00 1.013171225937183451e+00 1.012661999999943774e+00
2.800000000000000000e+01 1.972000000000000000e+03 2.800000000000000000e+01 2.000000000000000000e+00 1.014198782961460488e+00 1.027999999999943181e+00 1.014198782961460488e+00 1.013607999999943887e+00
2.900000000000000000e+01 1.971000000000000000e+03 2.900000000000000000e+01 2.000000000000000000e+00 1.014713343480466712e+00 1.028999999999943071e+00 1.014713343480466712e+00 1.014079499999943845e+00
3.300000000000000000e+01 1.967000000000000000e+03 3.300000000000000000e+01 2.000000000000000000e+00 1.016776817488561191e+00 1.032999999999943075e+00 1.016776817488561191e+00 1.015955499999944056e+00
3.600000000000000000e+01 1.964000000000000000e+03 3.600000000000000000e+01 2.000000000000000000e+00 1.018329938900203624e+00 1.035999999999942967e+00 1.018329938900203624e+00 1.017351999999944079e+00
3.600000000000000000e+01 1.964000000000000000e+03 3.600000000000000000e+01 2.000000000000000000e+00 1.018329938900203624e+00 1.035999999999942967e+00 1.018329938900203624e+00 1.017351999999944079e+00
3.800000000000000000e+01 1.962000000000000000e+03 3.800000000000000000e+01 2.000000000000000000e+00 1.019367991845055998e+00 1.037999999999942968e+00 1.019367991845055998e+00 1.018277999999944061e+00
4.100000000000000000e+01 1.959000000000000000e+03 4.100000000000000000e+01 2.000000000000000000e+00 1.020929045431342441e+00 1.040999999999942638e+00 1.020929045431342441e+00 1.019659499999943986e+00
4.100000000000000000e+01 1.959000000000000000e+03 4.100000000000000000e+01 2.000000000000000000e+00 1.020929045431342441e+00 1.040999999999942638e+00 1.020929045431342441e+00 1.019659499999943986e+00
