# t cr num_loops avg_loops
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+03 1.640000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+03 3.210000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+03 4.630000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+03 5.810000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+03 6.880000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+03 7.830000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+03 8.550000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+03 9.190000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+03 9.870000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+04 1.040000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+04 1.078000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+04 1.113000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+04 1.143000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+04 1.170000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.203000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+04 1.232000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+04 1.258000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+04 1.285000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+04 1.302000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+04 1.312000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+04 1.338000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.200000000000000000e+04 1.355000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.300000000000000000e+04 1.375000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.400000000000000000e+04 1.383000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.500000000000000000e+04 1.397000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.600000000000000000e+04 1.422000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
2.700000000000000000e+04 1.434000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
2.800000000000000000e+04 1.445000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
2.900000000000000000e+04 1.458000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.000000000000000000e+04 1.466000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.100000000000000000e+04 1.477000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.200000000000000000e+04 1.479000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.300000000000000000e+04 1.482000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.400000000000000000e+04 1.490000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.500000000000000000e+04 1.502000000000000000e+03 3.000000000000000000e+00 1.200000000000000000e+01
3.600000000000000000e+04 1.510000000000000000e+03 4.000000000000000000e+00 1.200000000000000000e+01
3.700000000000000000e+04 1.513000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
3.800000000000000000e+04 1.518000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
3.900000000000000000e+04 1.524000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.000000000000000000e+04 1.529000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.100000000000000000e+04 1.532000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.200000000000000000e+04 1.544000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.300000000000000000e+04 1.547000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.400000000000000000e+04 1.549000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.500000000000000000e+04 1.554000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.600000000000000000e+04 1.561000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.700000000000000000e+04 1.564000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.800000000000000000e+04 1.570000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
4.900000000000000000e+04 1.572000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
5.000000000000000000e+04 1.575000000000000000e+03 5.000000000000000000e+00 1.119999999999999929e+01
5.100000000000000000e+04 1.580000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
5.200000000000000000e+04 1.584000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
5.300000000000000000e+04 1.587000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
5.400000000000000000e+04 1.589000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
5.500000000000000000e+04 1.591000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
5.600000000000000000e+04 1.598000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01
5.700000000000000000e+04 1.601000000000000000e+03 5.000000000000000000e+00 1.200000000000000000e+01
5.800000000000000000e+04 1.605000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
5.900000000000000000e+04 1.606000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.000000000000000000e+04 1.608000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.100000000000000000e+04 1.611000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.200000000000000000e+04 1.614000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.300000000000000000e+04 1.615000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.400000000000000000e+04 1.617000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.500000000000000000e+04 1.623000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.600000000000000000e+04 1.624000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.700000000000000000e+04 1.625000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.800000000000000000e+04 1.626000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
6.900000000000000000e+04 1.626000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
7.000000000000000000e+04 1.626000000000000000e+03 6.000000000000000000e+00 1.133333333333333393e+01
