step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
0	0	2.66784	16007	0	5087.16	4467.66	0	12000.8	13800	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
250	0.25	4.38375	26302.5	0	4819.77	4370.37	0	11749.1	13607	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
500	0.5	4.33564	26013.8	0	4998.4	4400.36	0	11733.9	13751.3	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
750	0.75	4.35261	26115.6	0	5224.65	4497.22	0	11606.5	13563.2	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
1000	1	4.09331	24559.9	217199	35293.3	4997.32	1448.25	16665.4	7607.25	13512.7	0.2835	567	1433	567	433	0	567	483	0	0	0	0	0	1517	0	0	0	1517
1250	1.25	6.2108	37264.8	2349.85	9444.02	9829.53	1025.76	17308.9	8221.81	224475	0.2835	567	1433	567	433	0	567	514	0	0	0	0	0	1486	0	0	0	1486
1500	1.5	4.83604	29016.2	1434.94	6779.01	4735.05	1001.13	16583.3	8079.8	410325	0.2835	567	1433	567	433	0	567	523	0	0	0	0	0	1477	0	0	0	1477
1750	1.75	4.66047	27962.8	1327.91	6642.63	4593.93	855.587	16585	7967.82	15610.6	0.2835	567	1433	567	433	0	567	532	0	0	0	0	0	1468	0	0	0	1468
2000	2	4.36361	26181.7	156484	42970.8	5171.13	4327.81	19176.6	5223.05	13811.7	0.4835	967	1033	967	272	239	489	880	0	0	0	0	0	1120	0	0	0	1120
2250	2.25	5.77823	38855.7	4381.38	10598	8156.03	3601.65	22276.3	5390.9	740685	0.4835	967	1033	967	272	239	489	422	483	0	0	0	0	1095	0	0	0	1095
2500	2.5	4.69266	31774	2315.79	8470.56	4914.84	3198.51	21141.5	5216.68	44941.5	0.4835	967	1033	967	272	239	489	396	514	0	0	0	0	1090	0	0	0	1090
2750	2.75	4.56304	30957.9	2522.17	7506.67	5018.65	3066.38	21213.9	5417.05	3461.36	0.4835	967	1033	967	272	239	489	391	523	0	0	0	0	1086	0	0	0	1086
3000	3	4.5616	30667.6	90577.6	123143	5066.93	4585.45	22132.2	4362.06	95013.9	0.571	1142	858	1142	208	351	441	574	482	0	50	0	0	894	0	0	50	894
3250	3.25	5.82629	42211.5	4648.85	10973.3	8749.15	4346.91	25055.2	4523.73	441157	0.571	1142	858	1142	208	351	441	246	830	0	50	0	0	874	0	0	50	874
3500	3.5	4.7579	34649.4	2955.06	8627.14	4892	4016.78	23677.7	4386.38	4334.39	0.571	1142	858	1142	208	351	441	231	855	0	50	0	0	864	0	0	50	864
3750	3.75	4.61832	33667.6	2807.45	8125.77	4990.29	3899.27	23697.4	4255.45	2134.33	0.571	1142	858	1142	208	351	441	233	860	0	50	0	0	857	0	0	50	857
4000	4	4.67866	33553	57511.6	233782	5186.55	4730.75	23620.4	3929.63	4077.85	0.6025	1205	795	1205	190	398	412	356	781	0	110	0	0	753	0	0	110	753
4250	4.25	6.61223	49343.7	5525.76	11725.3	11247.4	4575.53	25515.5	4315.53	263118	0.6025	1205	795	1205	190	398	412	180	975	0	110	0	0	735	0	0	110	735
4500	4.5	4.79129	35884.4	2967.77	8695.39	5053.46	4249.31	24437.8	4048.49	3366.45	0.6025	1205	795	1205	190	398	412	168	993	0	110	0	0	729	0	0	110	729
4750	4.75	4.62842	34733.9	2805.87	7921.37	4700.23	4267.11	23630.3	4009.83	1980.56	0.6025	1205	795	1205	190	398	412	165	1003	0	110	0	0	722	0	0	110	722
5000	5	4.64134	34134.7	54229	388674	4656.54	4532.53	24319.8	3602.93	9029.85	0.6175	1235	765	1235	174	417	409	269	903	0	190	0	0	638	0	0	190	638
5250	5.25	7.41881	55974.9	5525.23	13333.1	12113.1	4680.67	27717	4203.52	594400	0.6175	1235	765	1235	174	417	409	158	1030	0	184	0	0	628	0	0	184	628
5500	5.5	4.87318	36899.8	3191.5	9192.48	5226.75	4355.18	25009.2	3898.4	5123.22	0.6175	1235	765	1235	174	417	409	145	1048	0	184	0	0	623	0	0	184	623
5750	5.75	4.63047	35103.6	2857.32	8201.56	4410.9	4201.22	24126.4	3656.23	5866.37	0.6175	1235	765	1235	174	417	409	147	1054	0	182	0	0	617	0	0	182	617
6000	6	4.66053	34765.2	49815.2	312090	4842.73	4921.23	24726.9	3448.79	9329.13	0.64	1280	720	1280	160	449	391	254	973	0	209	0	0	564	0	0	209	564
6250	6.25	6.25228	47679.9	5195.5	12098.2	10191.2	4977.81	26712.9	3781.44	134429	0.64	1280	720	1280	160	449	391	160	1084	0	205	0	0	551	0	0	205	551
6500	6.5	4.86281	37200.5	3268.5	8508.08	5268.97	4674.2	25195.1	3530.37	9428.01	0.64	1280	720	1280	160	449	391	150	1100	0	203	0	0	547	0	0	203	547
6750	6.75	4.66733	35740.1	3037.6	8197.15	5085.88	4556.37	24613.7	3453.44	941.934	0.64	1280	720	1280	160	449	391	146	1105	0	203	0	0	546	0	0	203	546
7000	7	4.5993	34584.5	47869	432777	5087.66	5062.48	24446.3	3316.88	3675.02	0.6485	1297	703	1297	155	464	381	243	1013	0	252	0	0	492	0	0	252	492
7250	7.25	7.41467	57055.9	7661.38	13314.3	14140.7	4956.76	27846.5	3598.37	22590.7	0.6485	1297	703	1297	155	464	381	134	1130	0	249	0	0	487	0	0	249	487
7500	7.5	4.90824	37872	3537.04	9082.68	5456.03	4513.46	25185.9	3446.23	12727.2	0.6485	1297	703	1297	155	464	381	124	1144	0	247	0	0	485	0	0	247	485
7750	7.75	4.66112	36007.2	3097.85	7964.62	4725.11	4532.48	24988.3	3385.48	863.285	0.6485	1297	703	1297	155	464	381	120	1150	0	247	0	0	483	0	0	247	483
8000	8	4.71951	35842.3	50727.8	337020	5119.7	5189.64	25059.5	3121.71	20642.4	0.663	1326	674	1326	150	491	359	217	1063	0	274	0	0	446	0	0	274	446
8250	8.25	7.10637	55120.6	8285.49	12737.2	10518.7	5272.42	27387.9	3575.9	75939.6	0.663	1326	674	1326	150	491	359	116	1171	0	269	0	0	444	0	0	269	444
8500	8.5	4.76092	36963.8	3563.65	9129.25	5024.49	4963.79	25670.7	3427.27	1233.68	0.663	1326	674	1326	150	491	359	113	1176	0	267	0	0	444	0	0	267	444
8750	8.75	4.64103	36060.8	3018.94	7966.34	5138.86	4981.36	25087.8	3418.61	3564.91	0.663	1326	674	1326	150	491	359	111	1180	0	266	0	0	443	0	0	266	443
