step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
0	0	2.66784	16007	0	5087.16	4467.66	0	12000.8	13800	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
250	0.25	4.38375	26302.5	0	4819.77	4370.37	0	11749.1	13607	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
500	0.5	4.33564	26013.8	0	4998.4	4400.36	0	11733.9	13751.3	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
750	0.75	4.35261	26115.6	0	5224.65	4497.22	0	11606.5	13563.2	0	0	0	2000	0	1000	0	0	0	0	0	0	0	0	2000	0	0	0	2000
1000	1	4.09331	24559.9	217199	35293.3	4997.32	1448.25	16665.4	7607.25	13512.7	0.2835	567	1433	567	433	0	567	483	0	0	0	0	0	1517	0	0	0	1517
1250	1.25	6.2108	37264.8	2349.85	9444.02	9829.53	1025.76	17308.9	8221.81	224475	0.2835	567	1433	567	433	0	567	514	0	0	0	0	0	1486	0	0	0	1486
1500	1.5	4.83604	29016.2	1434.94	6779.01	4735.05	1001.13	16583.3	8079.8	410325	0.2835	567	1433	567	433	0	567	523	0	0	0	0	0	1477	0	0	0	1477
1750	1.75	4.66047	27962.8	1327.91	6642.63	4593.93	855.587	16585	7967.82	15610.6	0.2835	567	1433	567	433	0	567	532	0	0	0	0	0	1468	0	0	0	1468
2000	2	4.36361	26181.7	156484	42970.8	5171.13	4327.81	19176.6	5223.05	13811.7	0.4835	967	1033	967	272	239	489	880	0	0	0	0	0	1120	0	0	0	1120
2250	2.25	5.77823	38855.7	4381.38	10598	8156.03	3601.65	22276.3	5390.9	740685	0.4835	967	1033	967	272	239	489	422	483	0	0	0	0	1095	0	0	0	1095
2500	2.5	4.69266	31774	2315.79	8470.56	4914.84	3198.51	21141.5	5216.68	44941.5	0.4835	967	1033	967	272	239	489	396	514	0	0	0	0	1090	0	0	0	1090
2750	2.75	4.56304	30957.9	2522.17	7506.67	5018.65	3066.38	21213.9	5417.05	3461.36	0.4835	967	1033	967	272	239	489	391	523	0	0	0	0	1086	0	0	0	1086
3000	3	4.59363	30448.9	90577.6	245320	5050.95	4158.87	21524.1	4720.48	94966.7	0.5395	1079	921	1079	230	311	459	574	419	0	113	0	0	894	0	0	113	894
3250	3.25	6.35104	45413.1	4938.89	12452.7	9759.98	3879.6	24774.5	5022.33	201136	0.5395	1079	921	1079	230	311	459	241	767	0	113	0	0	879	0	0	113	879
3500	3.5	4.82019	34647.5	2586.1	8765.7	5114.97	3770.64	23036.2	4772.5	31406	0.5395	1079	921	1079	230	311	459	224	792	0	113	0	0	871	0	0	113	871
3750	3.75	4.66946	33599.1	2533.52	8227.22	4651.26	3546.64	22417.7	4684.1	3069.1	0.5395	1079	921	1079	230	311	459	225	797	0	113	0	0	865	0	0	113	865
4000	4	4.68265	32682.6	67713.4	269371	5230.62	4051.82	22367.6	4515.36	12286.9	0.548	1096	904	1096	225	328	447	367	653	0	223	0	0	757	0	0	223	757
4250	4.25	6.70813	48771.5	5146.63	11999.6	10357.6	3992.28	25573.1	4982.69	64370.7	0.548	1096	904	1096	225	328	447	187	847	0	222	0	0	744	0	0	222	744
4500	4.5	4.84921	35350.7	2498.5	8858.55	5076.52	3715.99	23641.5	4651.29	2132.69	0.548	1096	904	1096	225	328	447	179	860	0	221	0	0	740	0	0	221	740
4750	4.75	4.60778	33646	2757.04	7775.14	4601.34	3670.33	23082.5	4529.2	15796.7	0.548	1096	904	1096	225	328	447	178	868	0	221	0	0	733	0	0	221	733
5000	5	4.67544	33025	70988.8	412925	4611.18	4357.94	22690.6	4409.04	5901.64	0.554	1108	892	1108	223	345	432	326	709	0	315	0	0	650	0	0	315	650
5250	5.25	7.38593	53788.1	4971.3	14177.1	10489.7	4330.64	24791.8	5076.27	176717	0.554	1108	892	1108	223	345	432	194	855	0	311	0	0	640	0	0	311	640
5500	5.5	4.82363	35229.4	2912.17	8903.99	4909.29	3887.81	23257.2	4663.76	58843.2	0.554	1108	892	1108	223	345	432	186	869	0	310	0	0	635	0	0	310	635
5750	5.75	4.66307	34091.7	2736.83	8501.88	5129.94	3950.62	22874.5	4673.35	1475.68	0.554	1108	892	1108	223	345	432	183	874	0	310	0	0	633	0	0	310	633
6000	6	4.7073	33193.5	73427.6	542879	5070.97	4376.81	22625.4	4562.21	6338.59	0.551	1102	898	1102	217	343	440	326	701	0	407	0	0	566	0	0	407	566
6250	6.25	8.50481	61936.3	7253.4	16861.6	13311.8	4302.59	27295.3	5262.75	285866	0.551	1102	898	1102	217	343	440	185	855	0	400	0	0	560	0	0	400	560
6500	6.5	4.9647	36259.7	3093.27	9723.14	5289.55	3919.86	24085.2	4861.13	8043.34	0.551	1102	898	1102	217	343	440	174	869	0	398	0	0	559	0	0	398	559
6750	6.75	4.66856	34138.8	2620.87	8046.41	4998.69	3736.43	23520.6	4767.33	1221.22	0.551	1102	898	1102	217	343	440	169	875	0	397	0	0	559	0	0	397	559
7000	7	4.63057	32687.2	78193.7	617221	5055.81	4433.28	23149.2	4420.58	3749.3	0.562	1124	876	1124	205	361	434	326	706	0	471	0	0	497	0	0	471	497
7250	7.25	9.40692	68548.2	9757.26	15619.2	18959.8	4498.1	29074.3	5163.88	986124	0.562	1124	876	1124	205	361	434	196	858	0	458	0	0	488	0	0	458	488
7500	7.5	5.00142	36527.9	3117.35	9523.05	5390.16	4108.14	24752.9	4777.62	27379.9	0.562	1124	876	1124	205	361	434	188	869	0	457	0	0	486	0	0	457	486
7750	7.75	4.57169	33409.9	2498.73	8277.48	4908.02	3824.32	23646.6	4607.35	1988.04	0.562	1124	876	1124	205	361	434	189	872	0	456	0	0	483	0	0	456	483
8000	8	4.67612	33177.1	72119.6	353463	4966.42	4439.88	23254.9	4215.3	27915.3	0.581	1162	838	1162	196	392	412	337	730	0	495	0	0	438	0	0	495	438
8250	8.25	7.14391	52443.4	5850.59	13856.4	10095.7	4294.4	25545.4	4732.72	129835	0.581	1162	838	1162	196	392	412	198	894	0	479	0	0	429	0	0	479	429
8500	8.5	4.88788	36006.6	3169.91	9273.55	5438.33	4077.05	23902.5	4266.92	17682.9	0.581	1162	838	1162	196	392	412	188	911	0	472	0	0	429	0	0	472	429
8750	8.75	4.70289	34665	2819.66	8395.05	4955.94	3802.59	23301.3	4306.41	1381.13	0.581	1162	838	1162	196	392	412	185	914	0	472	0	0	429	0	0	472	429
