# mol_id D +/-
0.000000000000000000e+00 -3.453999999999999848e-01 4.508000000000000007e+00
1.000000000000000000e+00 3.322700000000000209e+00 2.441800000000000193e+00
2.000000000000000000e+00 1.519999999999999962e-01 8.015999999999999792e-01
3.000000000000000000e+00 8.730000000000000260e-02 7.860000000000000320e-02
4.000000000000000000e+00 -1.932000000000000106e-01 3.986999999999999988e-01
5.000000000000000000e+00 1.000000000000000021e-02 3.050999999999999823e-01
6.000000000000000000e+00 5.635500000000000398e+00 1.406300000000000106e+00
7.000000000000000000e+00 1.126000000000000056e-01 3.924000000000000266e-01
8.000000000000000000e+00 1.865249999999999986e+01 1.797660000000000124e+01
9.000000000000000000e+00 -5.303999999999999826e-01 7.300999999999999712e-01
1.000000000000000000e+01 7.285000000000000364e-01 2.937300000000000022e+00
1.100000000000000000e+01 5.148200000000000109e+00 5.850299999999999834e+00
1.200000000000000000e+01 4.916599999999999859e+00 4.375300000000000189e+00
1.300000000000000000e+01 -6.304999999999999494e-01 1.038000000000000034e+00
1.400000000000000000e+01 2.573799999999999866e+00 3.608200000000000074e+00
1.500000000000000000e+01 6.054100000000000037e+00 4.266700000000000159e+00
1.600000000000000000e+01 1.029600000000000071e+00 4.391999999999999793e-01
1.700000000000000000e+01 1.173000000000000015e-01 4.338899999999999757e+00
1.800000000000000000e+01 4.460000000000000075e-01 4.258000000000000118e-01
1.900000000000000000e+01 1.585299999999999931e+00 3.387999999999999901e-01
2.000000000000000000e+01 -6.658000000000000029e-02 7.552999999999999992e-02
2.100000000000000000e+01 4.814999999999999836e-01 9.869999999999999885e-01
2.200000000000000000e+01 1.471010000000000062e+01 8.071400000000000574e+00
2.300000000000000000e+01 -3.810000000000000053e-01 8.168999999999999595e-01
2.400000000000000000e+01 1.613999999999999879e-01 6.864999999999999991e-01
2.500000000000000000e+01 3.511699999999999822e+00 1.897199999999999998e+00
2.600000000000000000e+01 3.209999999999999659e-02 6.401000000000000023e-01
2.700000000000000000e+01 1.464999999999999913e-01 3.271000000000000019e-01
2.800000000000000000e+01 1.933899999999999952e+00 8.146999999999999797e-01
2.900000000000000000e+01 -2.137999999999999901e-01 4.009999999999999787e+00
3.000000000000000000e+01 2.215000000000000024e-01 6.095000000000000417e-01
3.100000000000000000e+01 2.253699999999999815e+00 4.420000000000000040e-01
3.200000000000000000e+01 5.958999999999999853e-01 4.546999999999999931e-01
3.300000000000000000e+01 1.080000000000000057e-02 4.565000000000000169e-01
3.400000000000000000e+01 1.270100000000000007e+00 4.080799999999999983e+00
3.500000000000000000e+01 4.810999999999999943e+00 4.627699999999999925e+00
3.600000000000000000e+01 7.219999999999999751e+00 7.138300000000000090e+00
3.700000000000000000e+01 3.125100000000000211e+00 1.874000000000000110e-01
3.800000000000000000e+01 1.765600000000000058e+00 2.118500000000000050e+00
3.900000000000000000e+01 -3.590999999999999748e-01 1.481000000000000094e+00
4.000000000000000000e+01 -6.048000000000000043e-01 1.020000000000000018e+00
4.100000000000000000e+01 1.948999999999999899e-01 3.386000000000000121e-01
4.200000000000000000e+01 1.805219999999999914e+01 7.914799999999999613e+00
4.300000000000000000e+01 -1.111999999999999933e-01 9.831999999999999629e-01
4.400000000000000000e+01 -1.213000000000000050e-01 2.207999999999999963e-01
4.500000000000000000e+01 9.091000000000000192e-01 1.583399999999999919e+00
4.600000000000000000e+01 4.112000000000000099e-01 5.896000000000000130e-01
4.700000000000000000e+01 6.062999999999999501e-01 9.579999999999999627e-02
4.800000000000000000e+01 1.072899999999999965e+00 4.585000000000000187e-01
4.900000000000000000e+01 1.303800000000000070e+00 7.994999999999999885e-01
5.000000000000000000e+01 1.868500000000000050e+00 2.569100000000000161e+00
5.100000000000000000e+01 1.978699999999999903e+00 2.748999999999999777e-01
5.200000000000000000e+01 -1.683000000000000121e-02 5.657999999999999696e-01
5.300000000000000000e+01 -1.294999999999999927e-03 1.231000000000000094e+00
5.400000000000000000e+01 -2.511999999999999789e-01 2.430000000000000160e+00
5.500000000000000000e+01 1.908800000000000052e+00 3.357000000000000206e+00
5.600000000000000000e+01 4.402599999999999625e+00 5.391000000000000236e-01
5.700000000000000000e+01 9.656000000000000583e+00 4.996000000000000441e+00
5.800000000000000000e+01 -8.830999999999999961e-02 5.219000000000000306e-01
5.900000000000000000e+01 5.403800000000000381e+00 3.064299999999999802e+00
6.000000000000000000e+01 4.200499999999999901e+00 9.448999999999999622e-01
6.100000000000000000e+01 5.449999999999999983e-02 2.500000000000000000e-01
6.200000000000000000e+01 -2.731999999999999984e-01 9.909999999999999920e-01
6.300000000000000000e+01 1.060970000000000013e+01 4.805100000000000371e+00
6.400000000000000000e+01 4.677999999999999936e+00 6.268299999999999983e+00
6.500000000000000000e+01 4.276099999999999568e+00 3.351000000000000090e-01
6.600000000000000000e+01 -7.137000000000000011e-01 7.402000000000000135e+00
6.700000000000000000e+01 3.351199999999999957e+00 4.314499999999999780e+00
6.800000000000000000e+01 5.231499999999999595e+00 2.728499999999999925e+00
6.900000000000000000e+01 7.499999999999999722e-02 1.085299999999999931e+00
7.000000000000000000e+01 1.290999999999999925e-01 3.654999999999999916e-01
7.100000000000000000e+01 6.546499999999999986e+00 4.855000000000000426e+00
7.200000000000000000e+01 -8.987000000000000544e-01 4.075999999999999623e+00
7.300000000000000000e+01 -2.872999999999999998e-01 1.903000000000000025e+00
7.400000000000000000e+01 5.373599999999999710e+00 3.825299999999999923e+00
7.500000000000000000e+01 9.693400000000000460e+00 4.200000000000000178e+00
7.600000000000000000e+01 6.995599999999999596e+00 2.514699999999999935e+00
7.700000000000000000e+01 7.322199999999999598e+00 2.975999999999999979e+00
7.800000000000000000e+01 3.495299999999999851e+00 2.743100000000000094e+00
7.900000000000000000e+01 3.042899999999999938e+00 8.416000000000000147e-01
8.000000000000000000e+01 -1.370000000000000107e-01 1.110999999999999988e+00
8.100000000000000000e+01 1.237500000000000044e+00 5.506400000000000183e+00
8.200000000000000000e+01 1.116999999999999937e-01 1.764000000000000012e-01
8.300000000000000000e+01 2.820600000000000218e+00 1.010299999999999976e+00
8.400000000000000000e+01 5.460000000000000270e-02 1.489000000000000046e-01
8.500000000000000000e+01 -3.341000000000000220e-02 8.249999999999999556e-01
8.600000000000000000e+01 2.782099999999999795e+00 3.051800000000000068e+00
8.700000000000000000e+01 -3.244000000000000217e-01 5.389999999999999680e+00
8.800000000000000000e+01 1.154000000000000026e-01 5.810999999999999499e-01
8.900000000000000000e+01 1.346600000000000019e+00 1.200499999999999901e+00
9.000000000000000000e+01 -1.322000000000000119e-01 8.561000000000000554e-02
9.100000000000000000e+01 9.766000000000000236e-01 1.751500000000000057e+00
9.200000000000000000e+01 5.412000000000000144e-01 1.799000000000000044e-01
9.300000000000000000e+01 4.501599999999999824e+00 2.426200000000000134e+00
9.400000000000000000e+01 4.389400000000000190e+00 5.267299999999999649e+00
9.500000000000000000e+01 -1.648999999999999910e-01 5.417000000000000287e-02
9.600000000000000000e+01 -1.534000000000000086e-01 6.810000000000000081e-03
9.700000000000000000e+01 5.230000000000000204e-01 6.699000000000000510e-01
9.800000000000000000e+01 1.743800000000000017e+00 3.138300000000000090e+00
9.900000000000000000e+01 3.062199999999999811e+00 1.715400000000000036e+00
1.000000000000000000e+02 5.012599999999999945e+00 3.181999999999999829e-01
1.010000000000000000e+02 1.376000000000000001e-01 1.799999999999999933e-01
1.020000000000000000e+02 1.607799999999999896e+00 1.414400000000000102e+00
1.030000000000000000e+02 3.559699999999999864e+00 2.466200000000000170e+00
1.040000000000000000e+02 3.714199999999999946e+00 1.424800000000000066e+00
1.050000000000000000e+02 7.109999999999999654e-02 6.356000000000000538e-01
1.060000000000000000e+02 1.792499999999999982e+00 2.810000000000000275e-01
1.070000000000000000e+02 3.551000000000000267e-01 1.407599999999999962e+00
1.080000000000000000e+02 3.210300000000000153e+00 1.848899999999999988e+00
