# mol_id D +/-
0.000000000000000000e+00 3.602999999999999866e-03 6.786999999999999977e-02
1.000000000000000000e+00 9.890000000000000180e-02 3.910000000000000281e-02
2.000000000000000000e+00 4.539999999999999765e-03 7.996999999999999768e-04
3.000000000000000000e+00 1.160000000000000059e-01 3.799999999999999992e-03
4.000000000000000000e+00 3.109999999999999917e-02 1.529999999999999936e-02
5.000000000000000000e+00 1.213000000000000102e-03 2.664000000000000135e-03
6.000000000000000000e+00 5.180000000000000143e-04 1.390999999999999930e-04
7.000000000000000000e+00 2.240999999999999936e-03 2.354000000000000190e-03
8.000000000000000000e+00 1.301000000000000073e-03 1.307000000000000002e-02
9.000000000000000000e+00 6.900000000000000577e-02 1.799999999999999933e-01
1.000000000000000000e+01 6.230000000000000121e-02 2.010000000000000120e-01
1.100000000000000000e+01 1.221000000000000080e-03 3.724999999999999839e-02
1.200000000000000000e+01 -5.067000000000000106e-04 2.892999999999999847e-04
1.300000000000000000e+01 2.081000000000000072e-01 3.790000000000000313e-02
1.400000000000000000e+01 7.734999999999999905e-04 1.734999999999999997e-03
1.500000000000000000e+01 -1.653000000000000064e-04 1.434999999999999991e-02
1.600000000000000000e+01 -2.937000000000000027e-02 3.558000000000000052e-01
1.700000000000000000e+01 1.759000000000000008e-01 1.175999999999999962e-01
1.800000000000000000e+01 8.210000000000000631e-02 3.230000000000000232e-02
1.900000000000000000e+01 3.775000000000000022e-01 9.009999999999999953e-02
2.000000000000000000e+01 2.029999999999999860e-02 5.279999999999999971e-02
2.100000000000000000e+01 2.259999999999999856e-02 2.829999999999999877e-02
2.200000000000000000e+01 5.229999999999999927e-02 9.339999999999999691e-02
2.300000000000000000e+01 1.358000000000000040e-01 5.269999999999999685e-02
2.400000000000000000e+01 5.098000000000000101e-03 9.048000000000000487e-03
2.500000000000000000e+01 8.415999999999999870e-03 9.813000000000000542e-03
2.600000000000000000e+01 2.840000000000000163e-02 2.259999999999999856e-02
2.700000000000000000e+01 7.000000000000000146e-03 4.918999999999999762e-02
2.800000000000000000e+01 1.864999999999999991e-01 1.590000000000000024e-01
2.900000000000000000e+01 1.469999999999999953e-02 3.180000000000000188e-02
3.000000000000000000e+01 5.639999999999999875e-02 2.189999999999999933e-02
3.100000000000000000e+01 2.210000000000000159e-02 4.039999999999999841e-02
3.200000000000000000e+01 4.737000000000000217e-04 9.561000000000000108e-05
3.300000000000000000e+01 2.259999999999999856e-02 2.560000000000000123e-02
3.400000000000000000e+01 4.019999999999999962e-02 6.260000000000000286e-02
3.500000000000000000e+01 4.340000000000000108e-02 1.499999999999999944e-02
3.600000000000000000e+01 2.719999999999999848e-02 3.780000000000000027e-02
3.700000000000000000e+01 8.956999999999999793e-05 2.783999999999999908e-04
3.800000000000000000e+01 3.150000000000000022e-02 4.499999999999999660e-03
3.900000000000000000e+01 2.860000000000000042e-02 2.889999999999999861e-02
4.000000000000000000e+01 8.530000000000000082e-02 5.160000000000000003e-02
4.100000000000000000e+01 9.750000000000000333e-02 2.799999999999999972e-03
4.200000000000000000e+01 -1.212999999999999940e-04 1.051999999999999984e-03
4.300000000000000000e+01 7.330000000000000404e-02 6.529999999999999694e-02
4.400000000000000000e+01 2.879999999999999921e-02 6.799999999999999621e-03
4.500000000000000000e+01 1.129999999999999928e-02 4.490000000000000241e-02
4.600000000000000000e+01 1.779999999999999985e-02 6.900000000000000577e-02
4.700000000000000000e+01 6.710000000000000686e-02 3.710000000000000103e-02
4.800000000000000000e+01 -7.169999999999999724e-04 5.690999999999999878e-03
4.900000000000000000e+01 4.179999999999999688e-02 4.320000000000000229e-02
5.000000000000000000e+01 2.960000000000000131e-02 1.880000000000000074e-02
5.100000000000000000e+01 4.179999999999999688e-02 4.909999999999999781e-02
5.200000000000000000e+01 2.009999999999999981e-02 3.070000000000000159e-02
5.300000000000000000e+01 6.410000000000000420e-02 6.990000000000000380e-02
5.400000000000000000e+01 1.060000000000000005e-02 4.130000000000000338e-02
5.500000000000000000e+01 3.570000000000000256e-02 1.988999999999999935e-01
5.600000000000000000e+01 3.173000000000000039e-03 1.975999999999999979e-02
5.700000000000000000e+01 1.200000000000000025e-02 1.609999999999999973e-02
5.800000000000000000e+01 5.460000000000000270e-02 1.072000000000000036e-01
5.900000000000000000e+01 1.609999999999999973e-02 9.420000000000000595e-02
6.000000000000000000e+01 2.059999999999999887e-01 9.859999999999999321e-02
6.100000000000000000e+01 5.407999999999999613e-03 2.633999999999999883e-02
6.200000000000000000e+01 1.099999999999999936e-02 1.239999999999999956e-02
6.300000000000000000e+01 3.219999999999999946e-02 1.170000000000000033e-02
6.400000000000000000e+01 2.989999999999999949e-02 1.909999999999999892e-02
6.500000000000000000e+01 8.659999999999999643e-02 1.096000000000000030e-01
6.600000000000000000e+01 1.039999999999999952e-02 5.929999999999999855e-02
6.700000000000000000e+01 4.479999999999999954e-02 1.474000000000000032e-01
6.800000000000000000e+01 -1.103999999999999947e-03 8.026999999999999413e-03
6.900000000000000000e+01 5.357999999999999916e-03 1.022999999999999951e-02
7.000000000000000000e+01 -4.950999999999999672e-03 1.898999999999999994e-02
7.100000000000000000e+01 2.520000000000000018e-02 1.108999999999999986e-01
7.200000000000000000e+01 1.111000000000000043e-01 8.669999999999999929e-02
7.300000000000000000e+01 2.040000000000000147e-02 2.860000000000000042e-02
7.400000000000000000e+01 -3.763999999999999985e-03 5.476999999999999924e-02
7.500000000000000000e+01 2.910000000000000087e-02 1.700000000000000122e-02
7.600000000000000000e+01 6.489999999999999936e-02 1.176999999999999991e-01
7.700000000000000000e+01 7.485999999999999599e-03 1.348000000000000066e-02
7.800000000000000000e+01 1.439999999999999961e-02 3.200000000000000153e-03
7.900000000000000000e+01 1.165000000000000020e-03 3.742000000000000187e-02
8.000000000000000000e+01 -3.321999999999999866e-03 1.617000000000000035e-02
8.100000000000000000e+01 2.970000000000000070e-02 3.330000000000000321e-02
8.200000000000000000e+01 9.458999999999999526e-04 1.311000000000000099e-03
8.300000000000000000e+01 6.969999999999999633e-03 1.128999999999999969e-02
8.400000000000000000e+01 1.980000000000000163e-02 3.280000000000000276e-02
8.500000000000000000e+01 3.009999999999999828e-02 5.160000000000000003e-02
8.600000000000000000e+01 1.429999999999999882e-01 2.184000000000000108e-01
8.700000000000000000e+01 6.230000000000000121e-02 4.769999999999999934e-02
8.800000000000000000e+01 -3.169000000000000050e-04 1.850000000000000082e-03
8.900000000000000000e+01 1.755999999999999965e-03 1.052999999999999900e-03
9.000000000000000000e+01 3.691999999999999752e-04 2.486000000000000254e-04
9.100000000000000000e+01 2.259999999999999856e-03 3.415000000000000067e-03
9.200000000000000000e+01 6.429999999999999605e-02 7.100000000000000408e-03
9.300000000000000000e+01 1.590000000000000094e-02 3.700000000000000164e-03
9.400000000000000000e+01 6.143000000000000240e-04 2.350999999999999791e-03
9.500000000000000000e+01 1.609999999999999973e-02 1.379999999999999977e-02
9.600000000000000000e+01 1.695000000000000118e-01 1.572999999999999954e-01
9.700000000000000000e+01 7.180000000000000271e-02 8.390000000000000235e-02
9.800000000000000000e+01 8.798000000000000265e-04 1.817999999999999955e-03
9.900000000000000000e+01 -2.204999999999999929e-03 4.363000000000000211e-02
1.000000000000000000e+02 1.040999999999999981e-01 1.189999999999999947e-01
1.010000000000000000e+02 8.160999999999999852e-03 5.675999999999999622e-03
1.020000000000000000e+02 1.181999999999999999e-04 1.445000000000000104e-03
1.030000000000000000e+02 -9.317999999999999894e-04 6.331999999999999955e-03
1.040000000000000000e+02 -3.917999999999999608e-03 5.326000000000000179e-02
1.050000000000000000e+02 1.190000000000000085e-02 3.000000000000000062e-03
1.060000000000000000e+02 1.087999999999999939e-01 4.939999999999999947e-02
1.070000000000000000e+02 1.450000000000000074e-02 2.709999999999999909e-02
1.080000000000000000e+02 3.275000000000000133e-03 8.652999999999999993e-05
1.090000000000000000e+02 -5.509000000000000008e-03 7.835000000000000298e-02
1.100000000000000000e+02 9.239999999999999603e-02 1.285000000000000031e-01
1.110000000000000000e+02 2.312999999999999952e-03 4.735999999999999932e-02
1.120000000000000000e+02 1.454000000000000015e-01 1.365000000000000102e-01
1.130000000000000000e+02 9.227000000000000826e-03 1.178000000000000019e-01
1.140000000000000000e+02 4.750000000000000056e-02 4.209999999999999853e-02
1.150000000000000000e+02 7.586999999999999994e-03 3.193999999999999791e-03
1.160000000000000000e+02 3.504999999999999869e-03 3.131000000000000102e-03
1.170000000000000000e+02 2.210000000000000159e-03 3.706000000000000093e-03
1.180000000000000000e+02 2.060000000000000026e-02 2.160000000000000114e-02
1.190000000000000000e+02 3.090000000000000038e-02 1.519999999999999997e-02
1.200000000000000000e+02 1.990000000000000102e-02 3.359999999999999792e-02
1.210000000000000000e+02 1.244999999999999996e-01 8.800000000000000530e-03
1.220000000000000000e+02 9.299999999999999933e-02 5.279999999999999971e-02
1.230000000000000000e+02 1.400000000000000029e-02 6.090000000000000274e-02
1.240000000000000000e+02 9.639999999999999958e-02 9.760000000000000620e-02
1.250000000000000000e+02 -9.065999999999999406e-03 6.743000000000000382e-02
1.260000000000000000e+02 -4.395000000000000035e-04 1.157000000000000042e-03
1.270000000000000000e+02 3.660000000000000059e-02 1.000000000000000048e-04
1.280000000000000000e+02 4.209999999999999853e-02 1.733000000000000096e-01
1.290000000000000000e+02 2.440000000000000155e-02 1.200000000000000025e-02
1.300000000000000000e+02 2.630000000000000046e-02 3.490000000000000047e-02
1.310000000000000000e+02 2.220000000000000098e-02 3.309999999999999748e-02
1.320000000000000000e+02 3.590000000000000135e-02 4.920000000000000068e-02
1.330000000000000000e+02 -4.461999999999999821e-03 5.756000000000000005e-02
1.340000000000000000e+02 4.120000000000000051e-02 1.510000000000000057e-02
1.350000000000000000e+02 6.569999999999999452e-02 5.700000000000000205e-02
1.360000000000000000e+02 1.039999999999999952e-02 1.460000000000000013e-02
1.370000000000000000e+02 8.684000000000000746e-03 6.458000000000000199e-03
