     step      W-W            
       0       None           
       1       3.627          
       2       0.7352         
       3       0.4431         
       4       0.2994         
       5       0.1624         
       6       0.1655         
       7       0.1292         
       8       0.1219         
       9       0.1033         
      10       0.08976        
      11       0.09659        
      12       0.0901         
      13       0.08087        
      14       0.07422        
      15       0.06638        
      16       0.05768        
      17       0.06961        
      18       0.06557        
      19       0.06655        
      20       0.06767        
      21       0.05876        
      22       0.06824        
      23       0.07078        
      24       0.06339        
      25       0.04204        
      26       0.05974        
      27       0.06227        
      28       0.06138        
      29       0.05799        
      30       0.07516        
      31       0.08204        
      32       0.05885        
      33       0.0551         
      34       0.04946        
      35       0.07144        
      36       0.05144        
      37       0.05388        
      38       0.04436        
      39       0.05411        
      40       0.05487        
      41       0.05143        
      42       0.04393        
      43       0.05129        
      44       0.06729        
      45       0.05392        
      46       0.04679        
      47       0.05056        
      48       0.05681        
      49       0.05779        
      50       0.05548        
      51       0.05291        
      52       0.06022        
      53       0.04372        
      54       0.05955        
      55       0.04923        
      56       0.04365        
      57       0.05188        
      58       0.06552        
      59       0.05131        
      60       0.05152        
      61       0.0558         
      62       0.05833        
      63       0.06694        
      64       0.05872        
      65       None           
